genes	GSE104766
ENSG00000176194	4.05156727927878
ENSG00000214822	3.70914171118292
ENSG00000282049	3.39500397568561
ENSG00000254480	3.34111371108437
ENSG00000176635	3.17719092796722
ENSG00000187545	3.14095825944326
ENSG00000282663	3.14095825944326
ENSG00000276971	3.00298102864164
ENSG00000109182	2.84284626111986
ENSG00000249364	2.75206605563181
ENSG00000224015	2.71090478839056
ENSG00000204949	2.69765532840138
ENSG00000205702	2.6653285353209
ENSG00000099769	2.62427117803312
ENSG00000225765	2.6044776133077
ENSG00000243319	2.49900583247586
ENSG00000160202	2.49413574241113
ENSG00000276076	2.48707987923787
ENSG00000101405	2.46619883063317
ENSG00000257057	2.45415525173839
ENSG00000198077	2.44115361087303
ENSG00000044012	2.41707464667408
ENSG00000283187	2.40993938366555
ENSG00000198650	2.40516050820683
ENSG00000139445	2.38196708953119
ENSG00000166183	2.38018534390049
ENSG00000265258	2.32829660285515
ENSG00000189410	2.29020117371803
ENSG00000080709	2.26795440643863
ENSG00000255980	2.26786043348351
ENSG00000106688	2.26257920732151
ENSG00000253199	2.2467992141374
ENSG00000168389	2.23661145067673
ENSG00000254607	2.22962541055353
ENSG00000019169	2.22660753028798
ENSG00000223784	2.21386162861341
ENSG00000277196	2.20214639302771
ENSG00000255974	2.20178352846702
ENSG00000253147	2.19420450911674
ENSG00000282937	2.1833051678672
ENSG00000122787	2.18217830191534
ENSG00000106633	2.16813490149478
ENSG00000162482	2.1628187456023
ENSG00000175003	2.16063053277811
ENSG00000129965	2.1585604476657
ENSG00000254584	2.15429793219656
ENSG00000196711	2.14628508197097
ENSG00000241119	2.14288132852477
ENSG00000150656	2.1322459358868
ENSG00000230921	2.12609076501706
ENSG00000228842	2.12395553482731
ENSG00000253311	2.11053580484582
ENSG00000197353	2.10527854408371
ENSG00000113600	2.09719880060017
ENSG00000227729	2.09196144805883
ENSG00000156885	2.07842632237776
ENSG00000268472	2.07617270431577
ENSG00000007001	2.06960977012127
ENSG00000138115	2.06909294959058
ENSG00000135094	2.06095108791973
ENSG00000157168	2.05997097614767
ENSG00000125551	2.04993664955019
ENSG00000204583	2.03737642973158
ENSG00000233694	2.03179853041083
ENSG00000281261	2.02876185190823
ENSG00000197487	2.02789231557605
ENSG00000105251	2.01393887895741
ENSG00000159650	2.00452187611065
ENSG00000262635	2.00433973874967
ENSG00000151790	2.00433374831657
ENSG00000187823	1.98621526201982
ENSG00000168702	1.98414634975421
ENSG00000126838	1.98355859333496
ENSG00000116882	1.97303925344284
ENSG00000039139	1.96829507913827
ENSG00000235448	1.95933612170174
ENSG00000172425	1.95774115895562
ENSG00000167798	1.95641428976601
ENSG00000176919	1.95607188489185
ENSG00000180176	1.95562058528988
ENSG00000100197	1.94836058664119
ENSG00000117594	1.9231965790444
ENSG00000109758	1.91567133692583
ENSG00000129151	1.91168976184663
ENSG00000167612	1.90943862880814
ENSG00000140505	1.90478838540463
ENSG00000152760	1.9035921899948
ENSG00000203900	1.90177402206166
ENSG00000110975	1.89361753356147
ENSG00000142748	1.89123099478634
ENSG00000278817	1.88703083809664
ENSG00000124713	1.88566580595643
ENSG00000162896	1.88022192673304
ENSG00000084110	1.87910408072332
ENSG00000205358	1.87863120853861
ENSG00000179914	1.87764747931509
ENSG00000263761	1.869844435606
ENSG00000206235	1.86698472809154
ENSG00000124107	1.85949613228204
ENSG00000115665	1.83924028568453
ENSG00000244474	1.83781321539487
ENSG00000138678	1.82944827450023
ENSG00000101204	1.82658615311542
ENSG00000167701	1.82223406363112
ENSG00000203896	1.81834937054469
ENSG00000072315	1.8158352345578
ENSG00000165140	1.81559920832348
ENSG00000224511	1.80911420062824
ENSG00000188833	1.80657984160611
ENSG00000170509	1.80213748023962
ENSG00000189108	1.79866833643478
ENSG00000138079	1.79243214126609
ENSG00000135423	1.79082607053764
ENSG00000175336	1.78352588937952
ENSG00000250056	1.77581538997971
ENSG00000205364	1.77562464668151
ENSG00000119125	1.77560660850562
ENSG00000158825	1.77466111566186
ENSG00000275003	1.76973699082039
ENSG00000228812	1.76837670845914
ENSG00000262243	1.76596918612396
ENSG00000248144	1.7622794589022
ENSG00000105697	1.76190398536212
ENSG00000188676	1.76114762146112
ENSG00000239265	1.76056424008662
ENSG00000133636	1.75113928203323
ENSG00000125144	1.75087189780509
ENSG00000099977	1.75086925122294
ENSG00000162897	1.75054111834689
ENSG00000197408	1.75010924141807
ENSG00000169738	1.74984548116115
ENSG00000005001	1.74295435919706
ENSG00000101981	1.74017691493419
ENSG00000139410	1.73490245829715
ENSG00000173702	1.73120252637674
ENSG00000218819	1.72357845686975
ENSG00000197580	1.72292232459417
ENSG00000074803	1.72248870730671
ENSG00000151365	1.72036851202751
ENSG00000182566	1.71890101280591
ENSG00000100012	1.71257048230498
ENSG00000090512	1.70864398474307
ENSG00000137875	1.70820004494095
ENSG00000257017	1.70558981640468
ENSG00000130751	1.70442586550021
ENSG00000164120	1.70069005462727
ENSG00000151025	1.69486127702672
ENSG00000204610	1.69300469516589
ENSG00000123689	1.69219344147803
ENSG00000110169	1.69204174308783
ENSG00000166741	1.6892973165119
ENSG00000237463	1.68879602219016
ENSG00000009694	1.68708213258668
ENSG00000165682	1.68457887500217
ENSG00000197444	1.68365121867825
ENSG00000260549	1.68326523430802
ENSG00000249948	1.68120266040315
ENSG00000112299	1.67979082021428
ENSG00000011347	1.67639577816227
ENSG00000101746	1.6715142464074
ENSG00000273079	1.66164911998999
