genes	GSE133039
ENSG00000233348	22.9139362050119
ENSG00000262993	9.6993512099842
ENSG00000120669	8.74124764710028
ENSG00000164816	8.37605064655541
ENSG00000172016	8.23084135539989
ENSG00000163092	8.02779199691219
ENSG00000274577	7.85183281871931
ENSG00000181234	7.76317841225517
ENSG00000145920	7.711805387809
ENSG00000115386	7.19525883819657
ENSG00000156076	7.10252338302212
ENSG00000188803	7.03527458937293
ENSG00000104371	6.99962949974362
ENSG00000273706	6.92223164322785
ENSG00000011677	6.91348964758018
ENSG00000203783	6.88381755931184
ENSG00000164093	6.82577772992247
ENSG00000186895	6.74610854710452
ENSG00000170373	6.67996289302881
ENSG00000164822	6.64226676790901
ENSG00000282049	6.47056698621509
ENSG00000164458	6.41743234419432
ENSG00000217236	6.39880683685475
ENSG00000183036	6.3931472979087
ENSG00000176887	6.36388890143016
ENSG00000107831	6.35900515556272
ENSG00000101441	6.24187371787113
ENSG00000231213	6.219369517655
ENSG00000064195	6.20411427485808
ENSG00000181195	6.1879802659514
ENSG00000089225	6.13866254195439
ENSG00000170374	6.12102096528506
ENSG00000182601	6.11594877581191
ENSG00000112818	6.10927227009455
ENSG00000117598	6.10073925113171
ENSG00000075891	6.08125347098392
ENSG00000101951	5.89486565893327
ENSG00000005073	5.82594584844199
ENSG00000154143	5.81339534091303
ENSG00000228314	5.79545850008043
ENSG00000106038	5.77545572701497
ENSG00000182747	5.71658030895674
ENSG00000164651	5.69434826271228
ENSG00000255399	5.67528042992102
ENSG00000105880	5.67489040148266
ENSG00000181552	5.64097724176877
ENSG00000171951	5.63149561664738
ENSG00000152977	5.62164366773474
ENSG00000152592	5.60088366834841
ENSG00000145721	5.59946831927878
ENSG00000109205	5.58803666072911
ENSG00000159387	5.54648746294166
ENSG00000029559	5.54465210227185
ENSG00000115297	5.52488224445088
ENSG00000275896	5.50795279209421
ENSG00000130675	5.50472601995496
ENSG00000281998	5.49856850365232
ENSG00000137251	5.49611146320744
ENSG00000132031	5.48279731481211
ENSG00000120149	5.45393555757548
