genes	GSE151347
ENSG00000202198	23.7595314160175
ENSG00000172551	8.22282605011061
ENSG00000170893	7.98167871863244
ENSG00000274577	7.77512613449058
ENSG00000231213	7.77338942389657
ENSG00000172016	7.24778766699699
ENSG00000188803	7.24705669348018
ENSG00000112818	7.06475289494909
ENSG00000164362	7.04321912351464
ENSG00000182601	6.93901436064078
ENSG00000170373	6.9040577838807
ENSG00000164651	6.87911565730625
ENSG00000132031	6.86864036247858
ENSG00000186895	6.579724004135
ENSG00000181552	6.54669448563561
ENSG00000273706	6.48376262322911
ENSG00000115386	6.41701355441068
ENSG00000188162	6.37167540770283
ENSG00000153930	6.22680233465985
ENSG00000100373	6.06435619419808
ENSG00000137868	5.91467468461935
ENSG00000130675	5.78945911755975
ENSG00000078814	5.75167885674812
ENSG00000162728	5.68772479365819
ENSG00000176842	5.68185901590529
ENSG00000081051	5.63004828572358
ENSG00000106038	5.53927186486042
ENSG00000281998	5.53743965354807
ENSG00000104371	5.51064750395503
ENSG00000226887	5.44725756352292
ENSG00000163092	5.39633608576054
ENSG00000121075	5.33967343081287
ENSG00000159387	5.33938888805493
ENSG00000261092	5.33614142538409
ENSG00000253405	5.32707157406603
ENSG00000143954	5.30944825308077
ENSG00000130829	5.28279224994962
ENSG00000274588	5.25094196565338
ENSG00000232237	5.20123929254303
ENSG00000149948	5.16690072508002
ENSG00000101198	5.14135115274255
ENSG00000165685	5.11846609506025
ENSG00000163331	5.08161166634927
ENSG00000249853	5.06878658640247
ENSG00000092758	5.01179515663835
ENSG00000089225	4.97234681489776
ENSG00000107984	4.94901942232537
ENSG00000166407	4.89090022448937
ENSG00000164816	4.79950687558568
ENSG00000134323	4.79464975680459
ENSG00000179477	4.77625388165934
ENSG00000177551	4.77141213368827
ENSG00000186973	4.76777296058574
ENSG00000235054	4.76446310347978
ENSG00000275713	4.63853963312611
ENSG00000152669	4.61821069651262
ENSG00000130701	4.60839709708537
ENSG00000101951	4.60805816246088
ENSG00000184160	4.60521919331952
ENSG00000275620	4.58823757646678
ENSG00000187772	4.58588354715203
ENSG00000185002	4.50895224622568
ENSG00000096088	4.49483906846886
ENSG00000164076	4.49271942062466
ENSG00000147255	4.48682706224804
ENSG00000144045	4.4752634671658
ENSG00000206557	4.4508615471805
ENSG00000105929	4.43929800398692
ENSG00000152931	4.43771677815654
ENSG00000178522	4.43598843808211
ENSG00000188784	4.43069677215702
ENSG00000105370	4.40094047053054
ENSG00000089199	4.39057665462691
ENSG00000015413	4.37080348011555
ENSG00000078579	4.35699469751865
ENSG00000214999	4.30797327228277
ENSG00000145721	4.29193184889383
ENSG00000101144	4.28929154328531
ENSG00000206447	4.22953783337046
ENSG00000226923	4.22953783337046
ENSG00000231975	4.22953783337046
ENSG00000238238	4.22953783337046
ENSG00000138795	4.19885669582357
ENSG00000182459	4.17686111789321
ENSG00000086159	4.15455635021229
ENSG00000168505	4.12913601224915
ENSG00000181562	4.1288050518488
ENSG00000078898	4.12626286989416
ENSG00000131142	4.12605138230352
ENSG00000103546	4.12273661688318
ENSG00000183134	4.10802884896764
ENSG00000144354	4.08641467297017
ENSG00000066032	4.07409520582009
ENSG00000268089	4.06398420991959
ENSG00000175329	4.0415337468954
ENSG00000167971	4.01904796467447
ENSG00000077327	4.01129273626774
ENSG00000168748	4.00286182855382
ENSG00000135222	3.97211224296255
ENSG00000283030	3.97211224296255
ENSG00000134443	3.97162395583493
ENSG00000166450	3.96742099622044
ENSG00000147378	3.95191242948913
ENSG00000130540	3.94992259501597
ENSG00000178882	3.93844683106561
ENSG00000141744	3.93608215914708
ENSG00000147488	3.93244117488517
ENSG00000158525	3.93243030841354
ENSG00000236289	3.93161271906174
ENSG00000282164	3.92032186742467
ENSG00000225127	3.90806965859446
ENSG00000140600	3.90352771354754
ENSG00000179546	3.90099514849505
ENSG00000140481	3.88437245709416
ENSG00000137142	3.88366187423408
ENSG00000227145	3.86798964533043
ENSG00000091704	3.86116380269757
ENSG00000183248	3.85409606947567
ENSG00000200279	3.84671314649952
ENSG00000011083	3.83241061868493
ENSG00000181218	3.81922520199813
ENSG00000137473	3.81398080867804
ENSG00000196549	3.80840021841868
ENSG00000116035	3.8074149022805
ENSG00000124721	3.79937529840409
ENSG00000139219	3.78647414554762
ENSG00000177508	3.77893231663532
ENSG00000177807	3.76658519928483
ENSG00000229653	3.7454828472314
ENSG00000122711	3.72939731421647
ENSG00000175229	3.72851429178622
ENSG00000273046	3.71406126485875
ENSG00000156076	3.70645490011227
ENSG00000121742	3.70404642330489
ENSG00000167434	3.69485043181291
ENSG00000124205	3.6947876053208
ENSG00000230930	3.68998098380974
ENSG00000204248	3.68989326600502
ENSG00000165816	3.68511874168164
ENSG00000131969	3.67429213357408
ENSG00000169064	3.66879977270068
ENSG00000126778	3.65695285042506
ENSG00000199575	3.6533042342169
ENSG00000006377	3.64289198579431
ENSG00000183072	3.64211814094618
ENSG00000250433	3.63908597186184
ENSG00000158516	3.63434853840304
ENSG00000198822	3.63073752721949
ENSG00000241749	3.61871531128333
ENSG00000141576	3.61803469053861
ENSG00000091138	3.58607421199541
ENSG00000272342	3.56658761591572
ENSG00000185818	3.56435758761104
ENSG00000058335	3.55859624527025
ENSG00000165556	3.55659159431665
ENSG00000101311	3.54764738773074
ENSG00000027644	3.53959133265943
ENSG00000248472	3.53769511179235
ENSG00000181143	3.53041521959625
ENSG00000142789	3.52672742604261
ENSG00000197085	3.51946851544079
ENSG00000228662	3.51666353441975
ENSG00000169427	3.49459838007944
ENSG00000075461	3.49437419868204
ENSG00000262406	3.48565822188556
ENSG00000018625	3.48545501900666
ENSG00000129654	3.46891592879819
ENSG00000185155	3.46841280502378
ENSG00000163536	3.46758346849038
ENSG00000179097	3.46661564500027
ENSG00000169783	3.46506127324882
ENSG00000142449	3.45529309202731
ENSG00000171864	3.44534788257005
ENSG00000281371	3.44019163277342
ENSG00000231599	3.44001475028918
ENSG00000064195	3.4371128254402
ENSG00000201700	3.43197549279438
ENSG00000117724	3.41753139583671
ENSG00000236366	3.38815715657537
ENSG00000259230	3.38430498732136
ENSG00000132677	3.38050094018073
ENSG00000183888	3.37636396352914
ENSG00000173391	3.36555974307811
ENSG00000147257	3.36396154504426
ENSG00000178531	3.3489306202066
ENSG00000168785	3.34089216036072
ENSG00000154856	3.33524438266267
ENSG00000212384	3.32821374930682
ENSG00000185559	3.32675760702916
ENSG00000176490	3.3183062655858
ENSG00000233776	3.31748982623232
ENSG00000159224	3.31613762402648
ENSG00000171246	3.31388584661271
ENSG00000174599	3.30474517491369
ENSG00000167910	3.30384300132837
ENSG00000172116	3.29079995285036
ENSG00000108576	3.28718379729231
ENSG00000112486	3.28652896935956
ENSG00000120262	3.2835480577299
ENSG00000100095	3.27848130579322
ENSG00000266524	3.27050682961138
ENSG00000201672	3.26581591610018
ENSG00000226603	3.26319387802072
ENSG00000236902	3.26319387802072
ENSG00000207805	3.25512715015151
ENSG00000181984	3.250931145841
ENSG00000128645	3.24979586984125
ENSG00000174498	3.22348538925583
ENSG00000164266	3.22298959396505
ENSG00000154545	3.22250134391016
ENSG00000150551	3.21078299621892
ENSG00000188508	3.20817641293476
ENSG00000110492	3.20180203496552
ENSG00000177494	3.1969588898889
ENSG00000163501	3.18346601765571
ENSG00000108018	3.18260600519557
ENSG00000225746	3.17934279975437
ENSG00000126733	3.16585257074929
ENSG00000168243	3.16520973443787
ENSG00000282972	3.16520973443787
ENSG00000211574	3.15326269748613
ENSG00000183010	3.14350421459919
ENSG00000232480	3.14302679522118
ENSG00000145920	3.14129815887292
ENSG00000120149	3.12421983977072
ENSG00000204335	3.1215681785709
ENSG00000126562	3.12122302049496
ENSG00000117586	3.11576022093637
ENSG00000116039	3.11428670084614
ENSG00000074211	3.11233166025727
ENSG00000183844	3.10282981785563
ENSG00000104833	3.09407435744844
ENSG00000159217	3.08884660810345
ENSG00000162931	3.0763843907862
ENSG00000281327	3.072140237631
ENSG00000204424	3.06717165388395
ENSG00000239741	3.06717165388395
ENSG00000240008	3.06717165388395
ENSG00000240957	3.06717165388395
ENSG00000243003	3.06717165388395
ENSG00000175063	3.0671057412319
ENSG00000167780	3.06672106657611
ENSG00000223980	3.06591180968117
ENSG00000189120	3.05817608340474
ENSG00000101197	3.05757629611941
ENSG00000114113	3.0535456539817
ENSG00000165152	3.05164837665648
ENSG00000189431	3.05045757409649
ENSG00000066279	3.04289161098482
ENSG00000171004	3.03905966217166
ENSG00000278500	3.02895517366698
ENSG00000144278	3.02837854850099
ENSG00000170374	3.02343421220153
ENSG00000197472	3.0228379552973
ENSG00000235026	3.01827707813078
ENSG00000129195	3.01694914126381
ENSG00000198353	3.01430823733942
ENSG00000103599	3.00739020219861
ENSG00000181577	2.99013702780586
ENSG00000229176	2.98515243669496
ENSG00000178796	2.98215969000318
ENSG00000185130	2.98009460535373
ENSG00000233198	2.96905224045964
ENSG00000188959	2.96875875166205
ENSG00000171658	2.96675925927081
ENSG00000087250	2.96194296950024
ENSG00000187243	2.95603728665838
ENSG00000233392	2.95236295910912
ENSG00000221932	2.9522359044282
ENSG00000162630	2.94976379298289
ENSG00000146555	2.94578631598653
ENSG00000248685	2.94555196481962
ENSG00000100346	2.93420706343047
ENSG00000136943	2.92933222398594
ENSG00000251372	2.92599230031958
