"Name","Score"
"REG3A",8.37619852930706e-07
"SST",0.000104702481616338
"LHX1",0.000158024691358025
"SHISA6",0.000196697312724125
"PGC",0.000214133211400701
"EDDM3B",0.000215089163237311
"HS3ST4",0.000314800792562109
"DEFA6",0.000334448160535117
"SP8",0.000394626458317021
"CST1",0.000398222222222222
"EDDM3A",0.000474338667885993
"PLSCR5",0.000576756359746823
"MNX1",0.000628404603975347
"KRT31",0.000668896321070234
"EVX1",0.000685871056241426
"DKK4",0.000741838134430727
"MEP1A",0.000743986219033045
"MUCL1",0.000752564288990056
"FGF3",0.00082921018137479
"XIRP2",0.000860356652949246
"DLX5",0.00087716893725501
"TBX4",0.000922908093278463
"IRX6",0.000987654320987655
"SOHLH2",0.00100334448160535
"SP7",0.00102350586862043
"REG1A",0.00110288065843621
"TBX5",0.00118142256077932
"TRH",0.00119215668728538
"DEFA5",0.00133779264214047
"STRA6",0.00154114607219159
"EVX1-AS",0.00157850583326808
"KRT16P3",0.00164744645799012
"DKK1",0.0019358024691358
"ANKFN1",0.00201899307614009
"UPK3A",0.00228207738168477
"NHLH2",0.00232208504801097
"MATN3",0.00248869295417262
"CCNO",0.00252839506172839
"PAGE4",0.00263484224965706
"TMEM132C",0.00267558528428094
"RFX6",0.0032
"TMEM52B",0.00322144047605732
"CIDEA",0.00329489291598023
"DLX3",0.00387321810699589
"KCNJ9",0.00401695730472813
"PLA2G2E",0.00435555555555556
"CHGB",0.00449492455418382
"REG3G",0.00451091151105692
"FLJ16779",0.00463887428552253
"FGF20",0.00478024691358025
"DLK1",0.00480940344459686
"HORMAD2",0.00494233937397035
"LIX1",0.00507434842249657
"SLC7A3",0.00516862227491862
"DUSP9",0.00529013991769547
"ALOX12B",0.00530553349515106
"GABRA3",0.00535117056856187
"TEX19",0.00537722908093278
"PRR9",0.00568561872909699
"PITX2",0.00635451505016722
"NKAIN4",0.00654153756669389
"PRAMEF10",0.00658978583196046
"CDCA7",0.00667654320987654
"DPEP1",0.00669545083388329
"PCP4",0.00702341137123746
"LIN28B",0.0071679287703717
"ZIC4",0.00735785953177257
"CASKIN1",0.00737887517146776
"SP9",0.00769230769230769
"HMGA2",0.00775719745799128
"CSN2",0.00792866941015089
"CTNNA2",0.00799118578091968
"PRTG",0.00811632373113855
"SH2D5",0.00823723228995058
"MYCN",0.00833301640921242
"MSX2",0.00836335924401768
"IRX5",0.00847446802617328
"LMO1",0.00859408731445957
"ATP6V1B1",0.00863025514403293
"PNMT",0.00869245541838134
"SOX11",0.00869565217391304
"ASCL5",0.00877037169606604
"CST4",0.00903010033444816
"PRSS56",0.00926509689975604
"PENK",0.00936454849498328
"LEF1",0.00977192648851803
"ERVMER34-1",0.00984254214570186
"LOC101928858",0.00988467874794069
"HTR1D",0.0099039780521262
"DGKK",0.00995984384962137
"IGDCC3",0.0101913207506079
"CPA1",0.010500624939813
"PLPPR5",0.0110367892976589
"PAX2",0.011371237458194
"AFP",0.0114170323274236
"FAM83A-AS1",0.0115321252059308
"SPINK1",0.0118014042101614
"VAX2",0.0120987654320988
"KCNU1",0.0123029603998462
"HOXA11",0.0123745819397993
"IRX3",0.012564060356653
"IGFBPL1",0.0126718940504021
"PANX3",0.0127090301003345
"CYP2D7",0.0131795716639209
"CPLX2",0.0133555553069876
"GJB6",0.0137657064471879
"MME",0.0139819465106654
"CA4",0.0140126200274348
"PART1",0.0140940257938949
"TBX5-AS1",0.01438127090301
"ZIC1",0.0147157190635451
"IGFALS",0.014827018121911
"MCCD1",0.0151228733459357
"SCG2",0.0153846153846154
"ODAM",0.0157190635451505
"DMP1",0.0160535117056856
"SIX1",0.0160669410150892
"NKX2-5",0.0163336076817558
"FGF14-IT1",0.0164744645799012
"DLX6",0.0166024691358025
"COL11A2",0.0168735253772291
"TLX2",0.017056856187291
"SLC6A2",0.0176644556548584
"RASGRF1",0.0179796982167352
"TINAG",0.0180602006688963
"CRYAA",0.0181219110378913
"CPA2",0.0181709376852608
"HS6ST2",0.0183874310115349
"TAC3",0.018459727512177
"PRSS2",0.0187290969899666
"LINC00616",0.0190635451505017
"INSRR",0.019120987654321
"CYP11B1",0.0196078431372549
"C11orf97",0.0197693574958814
"CCL25",0.0204033511929397
"KCNK9",0.0205969821673525
"TERT",0.0206869684499314
"ATP1A2",0.0208987654320988
"MMP12",0.021202743484225
"OXT",0.0214168039538715
"SPINK4",0.0214986409547992
"AMBN",0.0217391304347826
"FZD10",0.0219292234313752
"ADAMTS19",0.0224080267558528
"LINGO1",0.0224406035665295
"FDCSP",0.022742474916388
"IGSF1",0.0227650697419492
"SULT4A1",0.0230514200064876
"CYP2A7",0.0230642504118616
"PNCK",0.0234113712374582
"EDN3",0.0236250068349428
"FBN3",0.0240677397344549
"LOC153910",0.0246913580246913
"GUCA2B",0.0247116968698517
"KRTAP3-1",0.0247491638795987
"CPA5",0.0248071050659389
"PLPPR4",0.0250836120401338
"ADAMTS20",0.0254180602006689
"ABHD12B",0.0257091083992349
"EMX2",0.025752508361204
"KRT28",0.0260869565217391
"UGT1A7",0.0261437908496732
"TAT",0.0263591433278418
"CHRNA1",0.0264214046822742
"APCDD1",0.0267061728395062
"GRPR",0.0267558528428094
"HTR1F",0.0270903010033445
"SP6",0.027555045149372
"DIRAS1",0.0277432098765432
"FOXN4",0.028006589785832
"FGF4",0.0287625418060201
"SALL3",0.0294314381270903
"TRIM71",0.029640831758034
"ASPG",0.0296540362438221
"CD8B",0.0298765432098766
"MYH7B",0.0299598417546675
"SEZ6L",0.0309728395061728
