"","NT","NT","NT","T","T","T","T","T","T","T","T","T","T"
"ABCG2",4.50536860684264,5.79357949183077,0.473981660508858,34.8143185672483,14.5591912581914,72.7777279308049,0,20.5924404793845,109.66097625058,5.05700516009892,0,2.77140071353625,4.50536860684264
"ABCG4",0,5.79357949183077,0,0,0,0,0.938026518767311,0,0,0,0,0,0
"ABCG5",172.330349211731,5.79357949183077,12.7975048337392,236.737366257288,0.90994945363696,4.21028178112095,283.753021927112,12.3554642876307,26.8511443905741,678.361120761841,337.236353519435,44.34241141658,172.330349211731
"ABCG8",20.2741587307919,1.44839487295769,0.473981660508858,181.034456549691,2.72984836091088,0.601468825874421,192.764449606682,6.17773214381536,5.18971698305214,80.9120825615828,1.55887374508213,40.1853103462756,20.2741587307919
"ABHD1",1.12634215171066,168.013805263092,100.958093688387,10.4442955701745,9.0994945363696,82.4012291447956,41.2731668257617,0,12.6358326543878,62.8513498469438,19.2261095226796,19.3998049947538,1.12634215171066
"ABHD10",0,212.914046324781,99.0621670463513,0,1.81989890727392,197.883243712684,7.03519889075483,6.17773214381536,56.8612469447452,2.16728792575668,11.951365378963,12.4713032109131,0
"ABHD11",2.25268430342132,0,0.947963321017715,24.3700229970738,26.3885341554718,172.020084200084,691.794557590892,74.1327857257843,110.337895857065,7.2242930858556,4.15699665355235,5.5428014270725,2.25268430342132
"ABHD12",92.3600564402741,0,99.5361487068601,0,196.549081985583,113.677608090266,37.9900740100761,465.38915483409,46.9330927162976,318.591325086232,233.311437180626,27.7140071353625,92.3600564402741
"ABHD12B",1.12634215171066,7.24197436478846,161.62774623352,3.48143185672483,148.776735669643,9.62350121399073,100.368837508102,18.5331964314461,3.83587777008202,0.72242930858556,803.859227880687,23.5569060650581,1.12634215171066
"ABHD13",357.050462092279,2.89678974591538,5.68777992610629,0,0,39.0954736818374,0,22.651684527323,0.225639868828354,15.1710154802968,11.431740797269,38.7996099895075,357.050462092279
"ABHD14A",3.37902645513198,88.3520872504192,7.10972490763287,0,0.90994945363696,40.8998801594606,187.136290494079,61.7773214381536,0.225639868828354,57.0719153782593,17.1476111959035,8.31420214060875,3.37902645513198
"ABHD14A-ACY1",0,4.34518461887307,66.8314141317489,0,0,10.2249700398652,306.734671636911,2.05924404793845,0.676919606485062,38.2887533550347,7.79436872541067,0,0
"ABHD14B",259.058694893452,564.8740004535,5.68777992610629,3.48143185672483,13.1942670777359,24.0587530349768,547.338473700726,245.050041704676,223.609110008899,475.358485049299,185.505975664774,30.4854078488988,259.058694893452
"ABHD15",83.3493192265889,308.508107939988,0.473981660508858,125.331546842094,0,61.9512890650653,52.9984983103531,2.05924404793845,35.4254594060516,208.059640872641,54.0409564961806,12.4713032109131,83.3493192265889
"ABHD16A",13.5161058205279,0,25.1210280069695,0,25.9335594286533,55.9366008063211,116.78430158653,0,0.676919606485062,0,58.197953149733,4.15710107030438,13.5161058205279
"ABHD16B",0,0,0,0,0.45497472681848,0,11.2563182252077,0,0,0,0.519624581694044,0,0
"ABHD17A",4.50536860684264,53.5906102994346,421.843677852883,52.2214778508724,405.837456322084,93.2276680105352,114.908248548996,842.230815606827,39.4869770449619,22.3953085661524,48.3250860975461,26.3283067785944,4.50536860684264
"ABHD17B",51.8117389786904,34.7614769509846,0.947963321017715,34.8143185672483,85.0802739150557,19.8484712538559,47.8393524571329,187.391208362399,42.6459352085589,65.0186377727004,87.2969297245995,9.69990249737688,51.8117389786904
"ABHD17C",0,0,6.63574324712401,0,30.9382814236566,90.2203238811631,5.15914585322021,6.17773214381536,17.3742698997833,0,93.0128001232339,6.92850178384063,0
"ABHD18",13.5161058205279,4.34518461887307,0.473981660508858,268.070252967812,8.18954508273264,1.80440647762326,28.609808822403,2.05924404793845,31.3639417671412,119.923265225203,2.59812290847022,70.6707181951744,13.5161058205279
"ABHD2",1850.58015526061,6722.00060539665,8.05768822865058,3.48143185672483,454.064777364843,307.350570021829,28.1407955630193,86.488250013415,337.782883636046,213.839075341326,29.6186011565605,390.767500608611,1850.58015526061
"ABHD3",32.6639223996091,1.44839487295769,0.473981660508858,0,72.3409815641383,22.855815383228,284.222035186495,0,113.271214151834,59.239203304016,93.0128001232339,38.7996099895075,32.6639223996091
"ABHD4",2.25268430342132,2.89678974591538,66.3574324712401,0,446.330207008929,422.832584589718,31.8929016380886,0,119.814770347856,10.8364396287834,83.6595576527411,47.1138121301163,2.25268430342132
"ABHD5",101.370793653959,2.89678974591538,0.473981660508858,0,1.36492418045544,0,2.81407955630193,10.2962202396923,1.35383921297012,20.9504499489813,0,8.31420214060875,101.370793653959
"ABHD6",99.1181093505381,2.89678974591538,46.4502027298681,0,11.8293428972805,16.2396582986094,12.6633580033587,72.0735416778459,55.0561279941184,415.396852436697,115.876281717772,66.51361712487,99.1181093505381
"ABHD8",1.12634215171066,5.79357949183077,75.8370656814172,20.888591140349,63.2414870277687,48.7189748958281,21.5746099316482,72.0735416778459,19.4050287192384,62.1289205383582,3.11774749016427,15.2427039244494,1.12634215171066
"ABI1",390.840726643599,2.89678974591538,2.84388996305315,0,109.648909163254,7.21762591049305,54.8745513478877,245.050041704676,94.0918253014236,1.44485861717112,158.485497416684,67.8993174816382,390.840726643599
"ABI2",6.75805291026396,8.69036923774615,2.84388996305315,1309.01837812854,27.2984836091088,30.6749101195955,1191.76269209387,494.218571505229,116.655812184259,394.446402487716,508.192840896775,23.5569060650581,6.75805291026396
"ABI3",111.507873019355,23.1743179673231,0.473981660508858,6.96286371344966,31.3932561504751,0,590.018680304639,0,1.12819934414177,3.6121465429278,1.55887374508213,6.92850178384063,111.507873019355
"ABI3BP",32.6639223996091,0,40.7624228037618,87.0357964181207,0,10.8264388657396,7.50421215013849,193.568940506215,75.1380763198419,57.0719153782593,21.3046078494558,51.2709132004207,32.6639223996091
"ABL1",1117.33141449697,23.1743179673231,228.933142025778,3.48143185672483,13.1942670777359,5.41321943286979,143.518057371399,6.17773214381536,229.927026336093,36.121465429278,1.03924916338809,162.126941741871,1117.33141449697
"ABL2",91.2337142885635,65.1777692830961,66.8314141317489,490.881891798201,103.279262987795,600.265888222672,318.929016380886,0,130.871123920445,5.77943446868448,22.863481594538,199.54085137461,91.2337142885635
"ABLIM1",140.792768963833,903.798400725599,72.0452123973464,3.48143185672483,576.907953605832,70.9733214531817,14.0703977815097,30.8886607190768,185.250332308079,109.809254905005,487.927482210708,311.782580272828,140.792768963833
"ABLIM2",1.12634215171066,0,21.3291747228986,0,20.4738627068316,0.601468825874421,15.4774375596606,0,39.7126169137903,18.060732714639,0.519624581694044,16.6284042812175,1.12634215171066
"ABLIM3",1769.48352033745,11.5871589836615,16.1153764573012,215.848775116939,79.620577193234,232.768435613401,15.008424300277,271.820214327876,80.5534331717224,400.948266264986,184.98635108308,23.5569060650581,1769.48352033745
"ABO",3.37902645513198,2.89678974591538,3.79185328407086,3.48143185672483,0,0.601468825874421,0.469013259383656,0,0.902559475313416,0.72242930858556,1.03924916338809,5.5428014270725,3.37902645513198
"ABR",1.12634215171066,1.44839487295769,1103.42930566462,90.5172282748456,0,21.6528777314792,189.95037005038,10.2962202396923,224.060389746556,6.50186377727004,0.519624581694044,160.741241385103,1.12634215171066
"ABRA",0,2.89678974591538,0,0,1.36492418045544,0,1.87605303753462,0,0,0,0,1.38570035676813,0
"ABRACL",1.12634215171066,0,8.53166988915944,0,0,0,45.4942861602146,6.17773214381536,8.79995488430581,144.485861717112,5.71587039863449,5.5428014270725,1.12634215171066
"ABT1",73.2122398611929,15.9323436025346,2.36990830254429,0,80.0755519200524,132.323141692373,11.7253314845914,2.05924404793845,64.5330024849092,24.5625964919091,108.601537574055,13.8570035676813,73.2122398611929
"ABTB1",45.0536860684264,18.82913334845,217.083600513057,0,6.8246209022772,37.8925360300885,117.253314845914,51.4811011984613,99.2815422844757,180.60732714639,2.07849832677618,19.3998049947538,45.0536860684264
"ABTB2",0,341.821190018015,41.2364044642706,100.96152384502,17.7440143459207,307.952038847703,0.469013259383656,8.23697619175381,0,36.121465429278,0.519624581694044,33.256808562435,0
"ACAA1",19.1478165790812,228.846389927315,50.2420560139389,10.4442955701745,2.72984836091088,467.341277704425,2114.7807865609,2184.8579348627,412.244040349403,1968.61986589565,35.8540961368891,60.9708156977975,19.1478165790812
"ACAA2",777.176084680356,27.5195025861961,114.703561843144,0,326.21687912885,359.678357872904,22.9816497097991,12.3554642876307,122.973728511453,245.625964919091,122.631401279794,54.0423139139569,777.176084680356
"ACACA",58.5697918889543,217.259230943654,3.317871623562,229.774502543839,127.847898235993,73.3791967566793,7.50421215013849,0,4.96407711422379,47.680334366647,192.78071980849,221.7120570829,58.5697918889543
"ACACB",1792.01036337166,3329.85981292973,108.541800256528,1604.94008595015,2.2748736340924,161.795114160219,141.642004333864,59.7180773902151,10.1537940972759,10.8364396287834,7.79436872541067,713.635683735585,1792.01036337166
"ACAD10",45.0536860684264,139.045907803938,1.42194498152657,114.887251271919,11.8293428972805,42.7042866370839,34.7069811943905,4.11848809587691,4.96407711422379,72.242930858556,681.227826600892,169.055443525711,45.0536860684264
"ACAD11",1935.05581663891,392.515010571534,639.401260026449,0,1.36492418045544,394.56354977362,8.91125192828945,12.3554642876307,479.936000997909,26.0074551090802,84.1791822344352,117.784530325291,1935.05581663891
"ACAD8",25.9058694893452,440.312041379138,0.473981660508858,55.7029097075973,25.0236099750164,6.61615708461863,46.4323126789819,0,2.48203855711189,72.9653601671416,21.8242324311499,27.7140071353625,25.9058694893452
"ACAD9",400.977806008995,320.09526692365,100.010130367369,0,58.2367650327654,11.427907691614,0.938026518767311,170.917255978892,61.825324058969,303.420309605935,1.55887374508213,60.9708156977975,400.977806008995
"ACADL",22.5268430342132,117.319984709573,16.1153764573012,6.96286371344966,12.7392923509174,13.2323141692373,5.62815911260387,39.1256369108306,41.7433757332455,0,3.11774749016427,2.77140071353625,22.5268430342132
"ACADM",647.64673723363,2770.77939196806,119.443378448232,55.7029097075973,298.463420792923,134.127548169996,113.970222030228,354.189976245414,437.741345527007,0,138.73976331231,74.8278192654788,647.64673723363
"ACADS",337.902645513198,1281.82946256756,19.4332480808632,17.4071592836241,25.0236099750164,351.859263136536,0.938026518767311,123.554642876307,0.676919606485062,215.283933958497,14.0298637057392,29.0997074921306,337.902645513198
"ACADSB",2272.95846215211,25063.0248816599,327.99530907213,45.2586141374228,1155.18083139212,697.703838014328,29.5478353411703,1163.47288708523,100.184101759789,16.6158740974679,371.531575911242,387.996099895075,2272.95846215211
"ACADVL",601.466709013493,20.2775282214077,5242.23716522797,856.432236754308,13.6492418045544,3227.48171964214,7333.02231046345,33794.254070718,1658.4530358884,8542.00414471567,4305.60928391685,490.537926295917,601.466709013493
"ACAN",0,0,0,0,20.0188879800131,7.81909473636747,39.8661270476107,0,92.5123462196251,0,146.014507456026,5.5428014270725,0
"ACAP1",72.0858977094823,0,2.36990830254429,34.8143185672483,2.72984836091088,9.62350121399073,607.372170901834,236.813065512922,86.6457096300879,28.8971723434224,0,99.7704256873051,72.0858977094823
"ACAP2",759.154610252985,91.2488769963346,112.807635201108,3.48143185672483,0,261.638939255373,50.6534320134348,146.20632740363,368.469905796702,194.333484009516,146.53413203772,403.238803819525,759.154610252985
"ACAP3",153.18253263265,7.24197436478846,428.953402760516,295.92170782161,135.127493865089,774.09037890038,1021.5108789376,102.962202396923,15.7947908179848,10.8364396287834,869.331925174136,33.256808562435,153.18253263265
"ACAT1",3005.08086076404,2145.07280685034,21.3291747228986,100.96152384502,66.4263101154981,184.049460717573,34.2379679350069,1111.99178588676,78.0713946146105,775.889077420892,158.485497416684,65.1279167681019,3005.08086076404
"ACAT2",256.806010590031,10.1387641107038,16.58935811781,0,4.5497472681848,6.01468825874421,0.469013259383656,49.4218571505229,49.4151312734095,546.878986599269,178.231231521057,90.0705231899282,256.806010590031
"ACBD3",4839.89222590071,787.926810888984,81.0508639470147,212.367343260215,308.927839509748,87.8144485776654,21.1055966722645,24.7109285752614,152.983831065624,15.1710154802968,1.55887374508213,397.696002392452,4839.89222590071
"ACBD4",102.49713580567,270.849841243088,69.6753040948021,41.777182280698,41.8576748673001,65.5601020203119,38.4590872694598,148.265571451569,79.8765135652373,730.376030980002,175.633108612587,23.5569060650581,102.49713580567
"ACBD5",31.5375802478985,5.79357949183077,25.5950096674783,0,242.046554667431,50.5233813734514,6.56618563137118,436.559738162952,59.3432855018571,255.017545930703,53.5213319144866,99.7704256873051,31.5375802478985
"ACBD6",2.25268430342132,0,3.317871623562,13.9257274268993,258.880619559715,303.741757066583,995.246136412117,8.23697619175381,2.48203855711189,15.8934447888823,100.287544266951,80.3706206925513,2.25268430342132
"ACBD7",9.01073721368528,0,2.84388996305315,10.4442955701745,1.81989890727392,0.601468825874421,3.75210607506924,2.05924404793845,2.48203855711189,1.44485861717112,2.59812290847022,9.69990249737688,9.01073721368528
"ACCS",0,30.4162923321115,421.843677852883,90.5172282748456,43.6775737745741,247.203687434387,30.9548751193213,10.2962202396923,0.225639868828354,286.804435508467,0.519624581694044,24.9426064218263,0
"ACD",1.12634215171066,0,149.30422306029,24.3700229970738,5.00472199500328,1.20293765174884,275.310783258206,0,49.4151312734095,24.5625964919091,23.383106176232,4.15710107030438,1.12634215171066
