	Size	liver_PPI
ClusterID:1	2	1
ClusterID:2	5	4
ClusterID:3	4	3
ClusterID:4	4	4
ClusterID:5	1	0
ClusterID:6	1	0
ClusterID:7	1	0
ClusterID:8	1	0
ClusterID:9	1	0
ClusterID:10	1	0
ClusterID:11	1	0
ClusterID:12	1	0
ClusterID:13	1	0
ClusterID:14	2	1
ClusterID:15	1	0
ClusterID:16	2	1
ClusterID:17	1	0
ClusterID:18	1	0
ClusterID:19	1	0
ClusterID:20	1	0
ClusterID:21	1	0
ClusterID:22	1	0
ClusterID:23	1	0
ClusterID:24	1	0
ClusterID:25	1	0
ClusterID:26	1	0
ClusterID:27	1	0
ClusterID:28	1	0
ClusterID:29	1	0
ClusterID:30	1	0
ClusterID:31	1	0
ClusterID:32	1	0
ClusterID:33	1	0
ClusterID:34	12	35
ClusterID:35	1	0
ClusterID:36	2	1
ClusterID:37	2	1
ClusterID:38	1	0
ClusterID:39	1	0
ClusterID:40	1	0
ClusterID:41	5	6
ClusterID:42	1	0
ClusterID:43	1	0
ClusterID:44	1	0
ClusterID:45	1	0
ClusterID:46	4	4
ClusterID:47	2	1
ClusterID:48	1	0
ClusterID:49	1	0
ClusterID:50	1	0
ClusterID:51	1	0
ClusterID:52	3	2
ClusterID:53	28	195
ClusterID:54	3	2
ClusterID:55	32	300
ClusterID:56	4	3
ClusterID:57	2	1
ClusterID:58	1	0
ClusterID:59	3	2
ClusterID:60	1	0
ClusterID:61	1	0
ClusterID:62	1	0
ClusterID:63	6	5
ClusterID:64	1	0
ClusterID:65	2	1
ClusterID:66	6	8
ClusterID:67	4	4
ClusterID:68	1	0
ClusterID:69	27	279
ClusterID:70	3	2
ClusterID:71	7	16
ClusterID:72	1	0
ClusterID:73	6	10
ClusterID:74	1	0
ClusterID:75	1	0
ClusterID:76	1	0
ClusterID:77	2	1
ClusterID:78	26	313
ClusterID:79	2	1
ClusterID:80	19	109
ClusterID:81	1	0
ClusterID:82	1	0
ClusterID:83	10	30
ClusterID:84	9	22
ClusterID:85	2	1
ClusterID:86	1	0
ClusterID:87	17	65
ClusterID:88	9	18
ClusterID:89	2	1
ClusterID:90	1	0
ClusterID:91	1	0
ClusterID:92	8	19
ClusterID:93	1	0
ClusterID:94	1	0
ClusterID:95	1	0
ClusterID:96	2	1
ClusterID:97	7	7
ClusterID:98	8	17
ClusterID:99	2	1
ClusterID:100	1	0
ClusterID:101	1	0
ClusterID:102	1	0
ClusterID:103	3	2
ClusterID:104	1	0
ClusterID:105	1	0
ClusterID:106	1	0
ClusterID:107	3	3
ClusterID:108	4	4
ClusterID:109	14	71
ClusterID:110	1	0
ClusterID:111	11	43
ClusterID:112	1	0
ClusterID:113	5	4
ClusterID:114	2	1
ClusterID:115	7	6
ClusterID:116	4	5
ClusterID:117	3	3
ClusterID:118	2	1
ClusterID:119	1	0
ClusterID:120	2	1
ClusterID:121	1	0
ClusterID:122	2	1
ClusterID:123	5	6
ClusterID:124	2	1
ClusterID:125	2	1
ClusterID:126	2	1
ClusterID:127	10	32
ClusterID:128	1	0
ClusterID:129	4	3
ClusterID:130	11	24
ClusterID:131	3	2
ClusterID:132	3	3
ClusterID:133	3	3
ClusterID:134	1	0
ClusterID:135	1	0
ClusterID:136	7	15
ClusterID:137	1	0
ClusterID:138	31	291
ClusterID:139	1	0
ClusterID:140	50	643
ClusterID:141	2	1
ClusterID:142	3	2
ClusterID:143	1	0
ClusterID:144	1	0
ClusterID:145	3	3
ClusterID:146	6	12
ClusterID:147	2	1
ClusterID:148	1	0
ClusterID:149	13	51
ClusterID:150	1	0
ClusterID:151	4	4
ClusterID:152	3	2
ClusterID:153	2	1
ClusterID:154	6	10
ClusterID:155	2	1
ClusterID:156	1	0
ClusterID:157	1	0
ClusterID:158	4	4
ClusterID:159	23	115
ClusterID:160	1	0
ClusterID:161	1	0
ClusterID:162	3	2
ClusterID:163	3	2
ClusterID:164	3	2
ClusterID:165	2	1
ClusterID:166	5	7
ClusterID:167	8	27
ClusterID:168	1	0
ClusterID:169	1	0
ClusterID:170	1	0
ClusterID:171	38	350
ClusterID:172	6	5
ClusterID:173	2	1
ClusterID:174	1	0
ClusterID:175	17	55
ClusterID:176	7	10
ClusterID:177	2	1
ClusterID:178	1	0
ClusterID:179	3	3
ClusterID:180	3	2
ClusterID:181	1	0
ClusterID:182	1	0
ClusterID:183	1	0
ClusterID:184	4	3
ClusterID:185	7	17
ClusterID:186	1	0
ClusterID:187	1	0
ClusterID:188	1	0
ClusterID:189	3	2
ClusterID:190	1	0
ClusterID:191	1	0
ClusterID:192	2	1
ClusterID:193	3	3
ClusterID:194	21	161
ClusterID:195	6	12
ClusterID:196	2	1
ClusterID:197	1	0
ClusterID:198	2	1
ClusterID:199	8	16
ClusterID:200	1	0
ClusterID:201	1	0
ClusterID:202	1	0
ClusterID:203	4	6
ClusterID:204	6	11
ClusterID:205	3	3
ClusterID:206	3	2
ClusterID:207	3	3
ClusterID:208	1	0
ClusterID:209	1	0
ClusterID:210	1	0
ClusterID:211	4	3
ClusterID:212	1	0
ClusterID:213	1	0
ClusterID:214	1	0
ClusterID:215	1	0
ClusterID:216	14	77
ClusterID:217	3	2
ClusterID:218	4	6
ClusterID:219	18	99
ClusterID:220	4	5
ClusterID:221	2	1
ClusterID:222	22	179
ClusterID:223	4	3
ClusterID:224	10	22
ClusterID:225	1	0
ClusterID:226	3	2
ClusterID:227	6	7
ClusterID:228	1	0
ClusterID:229	2	1
ClusterID:230	6	12
ClusterID:231	13	33
ClusterID:232	3	2
ClusterID:233	2	1
ClusterID:234	1	0
ClusterID:235	1	0
ClusterID:236	1	0
ClusterID:237	10	28
ClusterID:238	1	0
ClusterID:239	1	0
ClusterID:240	3	2
ClusterID:241	2	1
ClusterID:242	6	5
ClusterID:243	4	6
ClusterID:244	12	46
ClusterID:245	1	0
ClusterID:246	1	0
ClusterID:247	13	16
ClusterID:248	12	38
ClusterID:249	1	0
ClusterID:250	1	0
ClusterID:251	1	0
ClusterID:252	9	31
ClusterID:253	1	0
ClusterID:254	1	0
ClusterID:255	1	0
ClusterID:256	4	4
ClusterID:257	2	1
ClusterID:258	6	10
ClusterID:259	3	3
ClusterID:260	2	1
ClusterID:261	3	2
ClusterID:262	34	284
ClusterID:263	4	5
ClusterID:264	9	25
ClusterID:265	5	10
ClusterID:266	18	89
ClusterID:267	6	10
ClusterID:268	21	159
ClusterID:269	2	1
ClusterID:270	5	7
ClusterID:271	2	1
ClusterID:272	5	9
ClusterID:273	2	1
ClusterID:274	4	3
ClusterID:275	2	1
ClusterID:276	4	3
ClusterID:277	9	36
ClusterID:278	1	0
ClusterID:279	2	1
ClusterID:280	4	6
ClusterID:281	3	3
ClusterID:282	1	0
ClusterID:283	6	8
ClusterID:284	2	1
ClusterID:285	17	98
ClusterID:286	5	8
ClusterID:287	1	0
ClusterID:288	1	0
ClusterID:289	1	0
ClusterID:290	2	1
ClusterID:291	2	1
ClusterID:292	1	0
ClusterID:293	1	0
ClusterID:294	3	3
ClusterID:295	2	1
ClusterID:296	18	99
ClusterID:297	1	0
ClusterID:298	1	0
ClusterID:299	1	0
ClusterID:300	2	1
ClusterID:301	2	1
ClusterID:302	1	0
ClusterID:303	1	0
ClusterID:304	2	1
ClusterID:305	1	0
ClusterID:306	6	10
ClusterID:307	7	18
ClusterID:308	2	1
ClusterID:309	3	2
ClusterID:310	2	1
ClusterID:311	3	2
ClusterID:312	1	0
ClusterID:313	4	4
ClusterID:314	2	1
ClusterID:315	1	0
ClusterID:316	3	2
ClusterID:317	1	0
ClusterID:318	3	2
ClusterID:319	3	3
ClusterID:320	1	0
ClusterID:321	1	0
ClusterID:322	1	0
ClusterID:323	2	1
ClusterID:324	1	0
ClusterID:325	4	3
ClusterID:326	5	5
ClusterID:327	8	16
ClusterID:328	1	0
ClusterID:329	21	188
ClusterID:330	1	0
ClusterID:331	2	1
ClusterID:332	4	3
ClusterID:333	3	3
ClusterID:334	2	1
ClusterID:335	3	2
ClusterID:336	3	2
ClusterID:337	1	0
ClusterID:338	9	19
ClusterID:339	3	2
ClusterID:340	10	35
ClusterID:341	1	0
ClusterID:342	1	0
ClusterID:343	19	139
ClusterID:344	1	0
ClusterID:345	8	15
ClusterID:346	1	0
ClusterID:347	1	0
ClusterID:348	1	0
ClusterID:349	1	0
ClusterID:350	16	81
ClusterID:351	1	0
ClusterID:352	2	1
ClusterID:353	1	0
ClusterID:354	4	5
ClusterID:355	15	101
ClusterID:356	7	9
ClusterID:357	1	0
ClusterID:358	2	1
ClusterID:359	4	4
ClusterID:360	2	1
ClusterID:361	1	0
ClusterID:362	4	6
ClusterID:363	11	50
ClusterID:364	1	0
ClusterID:365	1	0
ClusterID:366	4	5
ClusterID:367	1	0
ClusterID:368	1	0
ClusterID:369	2	1
ClusterID:370	1	0
ClusterID:371	1	0
ClusterID:372	7	17
ClusterID:373	1	0
ClusterID:374	2	1
ClusterID:375	1	0
ClusterID:376	1	0
ClusterID:377	5	4
ClusterID:378	11	30
ClusterID:379	11	26
ClusterID:380	11	48
ClusterID:381	3	2
ClusterID:382	22	152
ClusterID:383	4	4
ClusterID:384	14	72
ClusterID:385	1	0
ClusterID:386	3	2
ClusterID:387	12	33
ClusterID:388	6	7
ClusterID:389	1	0
ClusterID:390	1	0
ClusterID:391	1	0
ClusterID:392	12	50
ClusterID:393	1	0
ClusterID:394	3	2
ClusterID:395	5	10
ClusterID:396	16	87
ClusterID:397	1	0
ClusterID:398	1	0
ClusterID:399	4	6
ClusterID:400	8	25
ClusterID:401	3	3
ClusterID:402	1	0
ClusterID:403	10	27
ClusterID:404	22	122
ClusterID:405	4	5
ClusterID:406	1	0
ClusterID:407	1	0
ClusterID:408	1	0
ClusterID:409	4	4
ClusterID:410	1	0
ClusterID:411	4	5
ClusterID:412	9	27
ClusterID:413	1	0
ClusterID:414	3	2
ClusterID:415	1	0
ClusterID:416	5	9
ClusterID:417	1	0
ClusterID:418	2	1
ClusterID:419	1	0
ClusterID:420	49	217
ClusterID:421	2	1
ClusterID:422	1	0
ClusterID:423	8	18
ClusterID:424	5	10
ClusterID:425	10	27
ClusterID:426	2	1
ClusterID:427	1	0
ClusterID:428	2	1
ClusterID:429	2	1
ClusterID:430	1	0
ClusterID:431	14	41
ClusterID:432	1	0
ClusterID:433	2	1
ClusterID:434	5	6
ClusterID:435	1	0
ClusterID:436	3	3
ClusterID:437	10	15
ClusterID:438	17	59
ClusterID:439	1	0
ClusterID:440	7	10
ClusterID:441	1	0
ClusterID:442	3	3
ClusterID:443	2	1
ClusterID:444	2	1
ClusterID:445	2	1
ClusterID:446	1	0
ClusterID:447	5	8
ClusterID:448	1	0
ClusterID:449	4	6
ClusterID:450	3	3
ClusterID:451	1	0
ClusterID:452	3	2
ClusterID:453	1	0
ClusterID:454	20	112
ClusterID:455	1	0
ClusterID:456	1	0
ClusterID:457	1	0
ClusterID:458	2	1
ClusterID:459	5	7
ClusterID:460	3	2
ClusterID:461	4	6
ClusterID:462	4	3
ClusterID:463	2	1
ClusterID:464	3	3
ClusterID:465	3	2
ClusterID:466	7	9
ClusterID:467	3	2
ClusterID:468	3	2
ClusterID:469	2	1
ClusterID:470	1	0
ClusterID:471	18	83
ClusterID:472	10	33
ClusterID:473	2	1
ClusterID:474	2	1
ClusterID:475	1	0
ClusterID:476	1	0
ClusterID:477	24	215
ClusterID:478	1	0
ClusterID:479	6	9
ClusterID:480	1	0
ClusterID:481	1	0
ClusterID:482	1	0
ClusterID:483	2	1
ClusterID:484	1	0
ClusterID:485	2	1
ClusterID:486	1	0
ClusterID:487	1	0
ClusterID:488	3	2
ClusterID:489	1	0
ClusterID:490	9	22
ClusterID:491	8	21
ClusterID:492	8	9
ClusterID:493	1	0
ClusterID:494	1	0
ClusterID:495	1	0
ClusterID:496	3	3
ClusterID:497	9	36
ClusterID:498	2	1
ClusterID:499	7	20
ClusterID:500	1	0
ClusterID:501	1	0
ClusterID:502	3	2
ClusterID:503	2	1
ClusterID:504	1	0
ClusterID:505	1	0
ClusterID:506	4	4
ClusterID:507	2	1
ClusterID:508	1	0
ClusterID:509	2	1
ClusterID:510	1	0
ClusterID:511	1	0
ClusterID:512	2	1
ClusterID:513	2	1
ClusterID:514	1	0
ClusterID:515	1	0
ClusterID:516	1	0
ClusterID:517	1	0
ClusterID:518	10	45
ClusterID:519	4	3
ClusterID:520	1	0
ClusterID:521	1	0
ClusterID:522	3	3
ClusterID:523	3	3
ClusterID:524	1	0
ClusterID:525	1	0
ClusterID:526	1	0
ClusterID:527	1	0
ClusterID:528	3	2
ClusterID:529	1	0
ClusterID:530	2	1
ClusterID:531	20	173
ClusterID:532	7	20
ClusterID:533	1	0
ClusterID:534	1	0
ClusterID:535	5	7
ClusterID:536	5	8
ClusterID:537	6	11
ClusterID:538	4	5
ClusterID:539	1	0
ClusterID:540	1	0
ClusterID:541	1	0
ClusterID:542	1	0
ClusterID:543	2	1
ClusterID:544	1	0
ClusterID:545	13	52
ClusterID:546	7	14
ClusterID:547	1	0
ClusterID:548	5	6
ClusterID:549	1	0
ClusterID:550	7	15
ClusterID:551	1	0
ClusterID:552	4	3
ClusterID:553	1	0
ClusterID:554	6	7
ClusterID:555	2	1
ClusterID:556	2	1
ClusterID:557	3	2
ClusterID:558	1	0
ClusterID:559	12	34
ClusterID:560	1	0
ClusterID:561	41	376
ClusterID:562	2	1
ClusterID:563	7	12
ClusterID:564	1	0
ClusterID:565	5	8
ClusterID:566	1	0
ClusterID:567	6	12
ClusterID:568	3	2
ClusterID:569	2	1
ClusterID:570	1	0
ClusterID:571	1	0
ClusterID:572	1	0
ClusterID:573	1	0
ClusterID:574	1	0
ClusterID:575	4	3
ClusterID:576	6	10
ClusterID:577	36	433
ClusterID:578	9	13
ClusterID:579	1	0
ClusterID:580	38	74
ClusterID:581	1	0
ClusterID:582	2	1
ClusterID:583	1	0
ClusterID:584	4	3
ClusterID:585	3	2
ClusterID:586	3	2
ClusterID:587	2	1
ClusterID:588	12	15
ClusterID:589	1	0
ClusterID:590	2	1
ClusterID:591	5	10
ClusterID:592	3	2
ClusterID:593	1	0
ClusterID:594	1	0
ClusterID:595	6	9
ClusterID:596	11	44
ClusterID:597	1	0
ClusterID:598	2	1
ClusterID:599	4	3
ClusterID:600	2	1
ClusterID:601	2	1
ClusterID:602	3	2
ClusterID:603	4	4
ClusterID:604	1	0
ClusterID:605	1	0
ClusterID:606	12	58
ClusterID:607	2	1
ClusterID:608	1	0
ClusterID:609	4	6
ClusterID:610	8	28
ClusterID:611	21	111
ClusterID:612	4	3
ClusterID:613	4	6
ClusterID:614	4	6
ClusterID:615	5	8
ClusterID:616	3	3
ClusterID:617	1	0
ClusterID:618	6	13
ClusterID:619	37	304
ClusterID:620	5	8
ClusterID:621	12	14
ClusterID:622	1	0
ClusterID:623	2	1
ClusterID:624	9	13
ClusterID:625	1	0
ClusterID:626	1	0
ClusterID:627	1	0
ClusterID:628	4	5
ClusterID:629	4	3
ClusterID:630	1	0
ClusterID:631	4	3
ClusterID:632	1	0
ClusterID:633	1	0
ClusterID:634	2	1
ClusterID:635	3	3
