"Name","Score"
"SLITRK3",2.46517849775446e-05
"FGF14-IT1",8.28573883967473e-05
"CYP2A7",0.000273908721972718
"MYH4",0.00036224428480892
"LOC101929427",0.000575893087947639
"KRT16P3",0.000585137507314219
"SAA2",0.00072562358276644
"CYP2A6",0.000937452600951628
"ADH1C",0.00101347426022751
"DEFA5",0.00108932461873638
"SAA1",0.00117539026629936
"GSTA2",0.00120793746389969
"CYP26A1",0.00131162868352951
"CYP2C19",0.00171192951232949
"FCAMR",0.00216315578501444
"UGT1A9",0.00216487697007178
"DEFA6",0.00217864923747277
"SLC22A1",0.00228031708551189
"CYP1A2",0.00252019265006278
"CNDP1",0.00264462809917355
"ARL14",0.0027178592937743
"PGC",0.00326797385620915
"SEC14L3",0.00331178201308071
"CXorf66",0.0034542081295328
"LOC102467222",0.00374981040380651
"HSD11B1",0.00409596255119953
"WIF1",0.00435729847494553
"CYP2B7P",0.00460440561636139
"CYP2B6",0.00470156106519743
"BBOX1",0.00471739296417514
"HSD17B13",0.00487097318266149
"HRG",0.00494747629063222
"CYP2A13",0.00504338374468245
"C2CD4A",0.00526623756582797
"SST",0.00544662309368192
"SLC3A1",0.00557860609808662
"SOX10",0.00606060606060606
"HORMAD2",0.00618006553950945
"SAA2-SAA4",0.00653061224489796
"PRAME",0.0065359477124183
"PCDH9-AS2",0.00692640692640693
"PLGLB2",0.00734618916437098
"MT1H",0.00760678759508484
"DMP1",0.00762527233115468
"C3P1",0.00777196829144881
"FAM83A-AS1",0.00819192510239907
"CRYAA",0.0084331253162422
"HAO2-IT1",0.00858977752106443
"CYP2C8",0.0086595078802871
"TMEM132C",0.00871459694989107
"ROS1",0.00877706260971328
"LINC01564",0.00889929437689361
"HS3ST4",0.00980392156862745
"TRIM40",0.00994733762434172
"LINC00659",0.0100807706002511
"CIDEA",0.0105324751316559
"AMBN",0.0108932461873638
"RNF165",0.01139528760587
"THRSP",0.011609977324263
"DLX3",0.0119825708061002
"IL1RAPL2",0.012415059687787
"TTC36",0.012966773486254
"CYP1A1",0.0130407942531211
"PANX3",0.0130718954248366
"CAMK2B",0.0132471280523229
"NAT2",0.0138168325181312
"MUC5B",0.0138528138528138
"SRD5A2",0.0141061824178707
"MUCL1",0.014161220043573
"LINC01043",0.0147186147186147
"GREM2",0.0149922227844306
"IBSP",0.0152505446623094
"GBP7",0.0152935664623976
"LOC101928858",0.0155979085849216
"FGF23",0.0157987126974839
"SLC10A1",0.0162155881636401
"NKX2-5",0.0163398692810458
"SP7",0.0174291938997821
"GLYAT",0.0174869286557598
"HAO2",0.0181937020852329
"GBA3",0.0184719176926969
"IRX5",0.0185185185185185
"AKR7A3",0.0186805748385394
"SLPI",0.0188062442607897
"SEZ6L",0.0196078431372549
"CLRN3",0.0200234123480106
"HAMP",0.0201735349787298
"MT1G",0.0204798127559977
"USP2",0.0204945353498037
"DKK4",0.0206971677559913
"PRSS22",0.0207252487771968
"MFSD2A",0.0209711365260362
"ASCL1",0.02158880080958
"ADAMTS20",0.0217864923747277
"MT1JP",0.0219501133786848
"CST1",0.022875816993464
"RDH16",0.0234253481006728
"FETUB",0.0234363150237907
"PON1",0.023801652892562
"STRA6",0.0239651416122004
"LINC01018",0.0245632578100111
"GLS2",0.0249485579355709
"TRH",0.0250544662309368
"ANXA10",0.0253368565056877
"MAJIN",0.0261224489795918
"REG1A",0.0261437908496732
"ADCY8",0.0268398268398268
"SNORD114-20",0.0272331154684096
"BCO2",0.0273233260246247
"GABRA2",0.0277056277056277
"CRP",0.0280866003510825
"ASPG",0.0281389029440977
"LIX1",0.028322440087146
"BMP10",0.0284974634340416
"SDS",0.0285511890706696
"LGSN",0.0289664736417983
"PLET1",0.0293417870695225
"SCG2",0.0294117647058823
"ZG16",0.0296259673685692
"XDH",0.0298060381177264
"NNMT",0.0298420128730252
"PPP1R1A",0.0299115172112257
"SERPINB2",0.0303030303030303
"XIRP2",0.0305010893246187
"IDO2",0.0306575963718821
"ALDOB",0.0315211484042653
"SIX1",0.0315904139433551
"ANKRD1",0.032034632034632
"TBX15",0.0322452195224333
"ADAMTS19",0.0326797385620915
"NRG1",0.0327677004095963
"LOC100132686",0.0332842338037143
"UGT1A3",0.0333528379169105
"ALOX12B",0.0337690631808279
"GUCA2B",0.0339379754242247
"VNN1",0.0341837671707802
"TRPM8",0.0346665726246721
"SFRP2",0.0348583877995643
"SLC1A1",0.0351082504388531
"SAA4",0.0355555555555556
"MT1M",0.0356933879461673
"FZD10",0.0359477124183006
"NDST4",0.037037037037037
"TDO2",0.0374265849590525
"INSM1",0.0381263616557734
"PGLYRP1",0.0384615384615385
"REG3A",0.0392156862745098
"APOF",0.0393455894754596
"UGT1A4",0.0397893504973669
"FA2H",0.0398268398268398
"F9",0.0398328367159536
"PLPPR5",0.0403050108932462
"CFHR3",0.0403744880046811
"SIX2",0.0413943355119826
"MLIP-IT1",0.0415447630193095
"HPGD",0.0417772430470839
"HS3ST5",0.042483660130719
"MOGAT2",0.0434857487003887
"SNORD113-2",0.0435729847494553
"PI16",0.0441558441558442
"CHRNA3",0.0446623093681917
"NPTX2",0.0447682764565881
"CYP3A4",0.0448702235715223
"LOC107985075",0.0457516339869281
"PIGR",0.0459136822773187
"C11orf97",0.0462258630778233
"HABP2",0.0464399092970522
"PLP1",0.0467532467532467
"CLEC1B",0.0468110005851375
"SHISA6",0.0468409586056645
"OGDHL",0.0469691347613426
"LONRF2",0.0473649809753273
"BCL2L10",0.0475013586701898
"SLC22A12",0.0479302832244009
"PGLYRP2",0.048036581023594
