"","tissue"
"GSM2388498","Normal"
"GSM2388499","Normal"
"GSM2388500","Normal"
"GSM2388501","Hepatoblastoma"
"GSM2388502","Hepatoblastoma"
"GSM2388503","Hepatoblastoma"
"GSM2388504","Hepatoblastoma"
"GSM2388505","Hepatoblastoma"
"GSM2388506","Hepatoblastoma"
"GSM2388507","Hepatoblastoma"
"GSM2388508","Hepatoblastoma"
"GSM2388509","Hepatoblastoma"
"GSM2388510","Hepatoblastoma"
