,tissue
GSM3898697,Tumor liver tissue
GSM3898698,Tumor liver tissue
GSM3898699,Tumor liver tissue
GSM3898700,Tumor liver tissue
GSM3898701,Tumor liver tissue
GSM3898702,Tumor liver tissue
GSM3898703,Tumor liver tissue
GSM3898704,Tumor liver tissue
GSM3898705,Tumor liver tissue
GSM3898706,Tumor liver tissue
GSM3898707,Tumor liver tissue
GSM3898708,Tumor liver tissue
GSM3898709,Tumor liver tissue
GSM3898710,Tumor liver tissue
GSM3898711,Tumor liver tissue
GSM3898712,Tumor liver tissue
GSM3898713,Tumor liver tissue
GSM3898714,Tumor liver tissue
GSM3898715,Tumor liver tissue
GSM3898716,Tumor liver tissue
GSM3898717,Tumor liver tissue
GSM3898718,Tumor liver tissue
GSM3898719,Tumor liver tissue
GSM3898720,Tumor liver tissue
GSM3898721,Tumor liver tissue
GSM3898722,Tumor liver tissue
GSM3898723,Tumor liver tissue
GSM3898724,Tumor liver tissue
GSM3898725,Tumor liver tissue
GSM3898726,Tumor liver tissue
GSM3898727,Tumor liver tissue
GSM3898728,Tumor liver tissue
GSM3898729,Normal liver tissue
GSM3898730,Normal liver tissue
GSM3898731,Normal liver tissue
GSM3898732,Normal liver tissue
GSM3898733,Normal liver tissue
GSM3898734,Normal liver tissue
GSM3898735,Normal liver tissue
GSM3898736,Normal liver tissue
GSM3898737,Normal liver tissue
GSM3898738,Normal liver tissue
GSM3898739,Normal liver tissue
GSM3898740,Normal liver tissue
GSM3898741,Normal liver tissue
GSM3898742,Normal liver tissue
GSM3898743,Normal liver tissue
GSM3898744,Normal liver tissue
GSM3898745,Normal liver tissue
GSM3898746,Normal liver tissue
GSM3898747,Normal liver tissue
GSM3898748,Normal liver tissue
GSM3898749,Normal liver tissue
GSM3898750,Normal liver tissue
GSM3898751,Normal liver tissue
GSM3898752,Normal liver tissue
GSM3898753,Normal liver tissue
GSM3898754,Normal liver tissue
GSM3898755,Normal liver tissue
GSM3898756,Normal liver tissue
GSM3898757,Normal liver tissue
GSM3898758,Normal liver tissue
GSM3898759,Normal liver tissue
GSM3898760,Normal liver tissue
GSM3898761,Tumor liver tissue
GSM3898762,Tumor liver tissue
