"",gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
ENSG00000003756,RBM5,2.7534,316.9475,96.9939,94.34,0,0,445.5888,1352.3613,19.2485,1795.5393,28.73,1304.1601,249.335
ENSG00000003987,MTMR7,0,40.9795,100.5371,0,2.4607,0,0,13.9782,0.5801,0,0,0,4.6533
ENSG00000003989,SLC7A2,305.2265,385.2551,15313.7488,29.112,527.9174,46.8118,1014.5601,124.1218,231.1615,577.2753,1082.6496,470.1396,469.4481
ENSG00000004059,ARF5,11.3437,316.1583,34.008,1185.5694,40.5316,688.4981,971.3102,194.2521,274.2244,338.1891,227.728,786.3943,25.768
ENSG00000004139,SARM1,0,10.5863,256.7352,11.6332,55.6555,0.9366,2.142,2802.7374,19.0604,521.7397,6.5988,8.3012,33.3358
ENSG00000004142,POLDIP2,124.0737,1575.1803,207.4495,527.0573,76.122,124.7883,1520.0488,1989.8792,172.8112,1151.7334,258.0766,798.6209,49.9992
ENSG00000004399,PLXND1,27.6096,157.8021,50.5918,1246.868,0,3.4092,1060.7421,1382.0007,2295.7805,2704.9991,48.9958,288.3769,115.9434
ENSG00000004455,AK2,5569.3943,115.737,155.9881,2800.1258,10.7294,1312.1707,2275.1131,6310.4275,115.6811,1978.1429,45.812,971.5612,19.4044
ENSG00000004468,CD38,1.3858,230.6585,0.6423,0.4552,0,75.1361,0,69.805,0,3.2359,0,0,18.6239
ENSG00000004478,FKBP4,1871.621,623.3892,204.7979,344.3018,39.6851,1062.7896,50.369,236.0008,3.9317,549.864,0.3928,815.7639,233.0575
ENSG00000004487,KDM1A,310.4703,85.8317,63.4493,631.9642,79.0848,1174.255,0.9591,15755.0085,0.4116,680.3783,44.0927,1073.1469,24.0727
ENSG00000004534,RBM6,7.0042,226.2713,113.0307,1232.1934,0,5.7766,5219.8329,992.575,1347.797,6602.0695,27.5369,552.095,154.7132
ENSG00000004660,CAMKK1,14.7356,6.1759,0,30.9197,1.3067,13.2512,0.8049,0.6582,28.5702,3.8141,137.862,13.1712,8.0646
ENSG00000004700,RECQL,10.0555,85.2508,10.1813,205.99,3.1624,0.9263,0,179.0935,0,0,142.7067,0,37.5698
ENSG00000004766,VPS50,271.6101,343.8351,1.6428,228.4927,67.6547,53.9901,347.8666,63.5655,0,436.344,8.1774,171.5214,54.7314
ENSG00000004776,HSPB6,0,0,15.8882,133.4393,1.5758,614.2212,0,87.0742,61.9102,18.2034,89.148,16.7413,75.4853
ENSG00000004777,ARHGAP33,0,0,0,1.0199,25.8577,39.3346,0,45.7701,0,4.8392,2.3612,12.4023,14.3925
ENSG00000004779,NDUFAB1,6.6178,343.6274,0.8972,22.9108,3.2707,3.3635,395.8841,154.3003,31.432,1.085,198.0381,185.0503,6.4805
ENSG00000004799,PDK4,155.766,2846.8618,127.1058,3493.6655,279.0024,985.4296,165.3747,364.0459,66.7258,2554.6837,661.0475,6.3196,300.2705
ENSG00000004809,SLC22A16,0,0,0.6415,0.4509,0,0,1.8638,19.3487,8.2864,0.6192,0,0.486,1.4132
ENSG00000004838,ZMYND10,0,0,5.0954,1.5678,0,0.5781,1.0631,2.3047,0,116.6011,0,2.4917,0
ENSG00000004846,ABCB5,0,0,0,0.65,3.9353,0,0,0,0,6.4097,1.2932,0,9.9011
ENSG00000004848,ARX,0,0,0,0,0,0,0,0.6889,0,3.1274,0,0.578,0
ENSG00000004864,SLC25A13,643.5868,1724.9076,11.9664,115.8254,88.6266,392.8519,502.3221,108.8583,61.3233,153.2311,452.8582,22.6808,54.5498
ENSG00000004866,ST7,4.9661,507.8863,312.7019,1080.5807,52.3698,245.0564,229.574,48.5499,15.9236,117.1124,3.4491,17.2666,23.6979
ENSG00000004897,CDC27,44.7888,2103.0322,625.2427,34.9198,87.2298,1168.312,348.8648,10.8553,483.4308,1066.6774,168.1762,833.3891,156.4243
ENSG00000004939,SLC4A1,0,8.7511,4.5717,112.8042,10.7703,239.774,226.5832,1.1478,2.3245,2.4449,1.5043,2.847,75.6114
ENSG00000004948,CALCR,0,2.4319,0,0.6662,0,0,0,0.537,0,1.2689,0,0,2.8803
ENSG00000004961,HCCS,1.0666,159.3016,2.5583,199.482,0,199.8492,0,21.3517,0.9717,4.9646,4.0931,1.1924,6.8687
ENSG00000004975,DVL2,20.744,7.156,0,421.9559,19.8338,5.3421,1.9952,106.4398,0,291.9087,63.7193,166.6698,76.2908
ENSG00000005001,PRSS22,0,0,0,0.3383,0,0,19.0313,0,0,33.4448,0,0,0
ENSG00000005007,UPF1,14.3277,7.233,108.6024,225.4294,75.4288,657.8322,338.5237,1128.2555,17.5575,362.378,458.0868,336.1064,129.0405
ENSG00000005020,SKAP2,14.3687,19.3664,489.2431,28.4757,29.6595,8.6497,94.8363,121.4187,0.4204,223.1856,1.6143,85.5839,111.981
ENSG00000005022,SLC25A5,115.8963,623.3603,337.1761,453.4621,0.7403,2069.4301,61.865,1541.3167,658.3568,923.1043,1146.7435,176.015,50.0107
ENSG00000005059,MCUB,0.1565,0,0,24.2265,3.9222,0,0,5.4912,0,85.2476,0,0,0
ENSG00000005073,HOXA11,0,0,0,0,0,0,0,0,0,0,0,0,5.2756
ENSG00000005075,POLR2J,32.9201,391.732,0,38.4004,9.4833,520.5782,290.8155,4319.282,42.7207,280.2886,641.869,2.4663,7.0252
ENSG00000005100,DHX33,0.7278,75.102,133.965,6.6159,74.4872,2.4081,3.0999,156.6182,60.8811,11.7182,171.6957,195.7805,56.5973
ENSG00000005102,MEOX1,0,0.6887,0,4.6016,0,1.3122,0,2.1337,0,65.058,4.944,1.1832,1.3808
ENSG00000005108,THSD7A,22.8234,41.4373,287.2032,175.9065,12.3511,0,124.6377,0.7886,0.3837,340.4126,0.7629,0,69.1556
ENSG00000005156,LIG3,590.2717,547.5947,145.8715,59.6636,130.3747,5.3809,58.6898,64.2426,121.0646,19.873,97.5315,890.0317,314.0378
ENSG00000005175,RPAP3,130.9359,173.1182,179.7954,5.9071,0,90.9836,10.6212,277.0522,96.5316,111.2687,1.9868,355.8656,99.0785
