T,NT,Study
287.7682570924653,232.03566969434735,Study A
123.93880323176998,175.7282331596464,Study A
203.27619526904581,152.4248695874092,Study A
20.731605431828186,15.34211116862374,Study A
0.3953687825425075,0.28417131245242727,Study A
11.667957155668898,9.235100688013123,Study A
1721.2447058542361,3437.585497491529,Study A
27564.358313079858,20775.205981171188,Study A
264.09299717811615,436.5192875675819,Study A
587.6308082132412,1030.5028871261254,Study A
42230.531487324915,63733.16900887646,Study A
6.18652703762513,5.111711303737471,Study A
171.11761370949068,123.39068557777203,Study A
14.989011089979362,11.53178412865228,Study A
47.441303596451306,54.24650469431577,Study A
214.91742622109817,288.5150498069108,Study A
3152.3726517139485,2603.7569022575335,Study A
9.320207486251716,6.9136362234894735,Study A
972.3719669690239,1380.013477839346,Study A
49.95364650546332,43.38070761548157,Study A
6.552932343537985,57.27826344113426,Study A
24.927978453919398,24.7979165774052,Study A
966.4279469576155,1360.1992103289506,Study A
933.5340378382153,708.4604139542736,Study A
2.1690080949176154,1.600343608643651,Study A
83.06683674758357,61.12537575676902,Study A
80.48872813903272,124.61389316555002,Study A
14.993391565286379,21.07935250147197,Study A
524.5959679145777,902.3208101185724,Study A
51.85077709249173,43.874944293454845,Study A
0.06863118226264565,2.304814011148223,Study A
4.165173085605372,3.462567280057167,Study A
2.12848529542029,2.8891362417828557,Study A
45.16188494124925,70.51205133729096,Study A
2024.0588265045033,2967.3384394971004,Study A
135.3921563963338,117.63662841637651,Study A
4.936044293729096,3.5891508765394033,Study A
70.5351302391262,53.378404063909365,Study A
82.07935563998808,141.9254419614128,Study A
48.003204350756,37.65376329183767,Study A
15.025390306794527,12.115365106353007,Study A
34.51672427808571,42.0911429164249,Study A
135.35587618411722,120.1013360245605,Study A
121.36320195231893,93.83949705387887,Study A
353.34723970002796,304.141093364306,Study A
270.9613630100845,208.96333501717675,Study A
946.0928130591586,1495.495588946097,Study A
181.8077129735874,181.83703898049328,Study A
9.219285986046748,15.497423409715253,Study A
27.250498535540167,24.400832948907528,Study A
0.7975310692278604,0.5870151361480631,Study A
129.33534593085977,217.22672932281372,Study A
44.251550777238265,42.921716721492444,Study A
89.90774675594507,132.93166853765945,Study A
147.24713274478643,113.92870577040765,Study A
3707.097278772284,2843.164528147773,Study A
1011.6948405329556,814.3893095546459,Study A
22.619145091199357,17.402053985964226,Study A
9.1151442967464,7.387991715843654,Study A
21.17404032824685,16.567270808574243,Study A
46.75540836866668,45.543690179657695,Study A
880.8165867998413,672.8561999926309,Study A
69.41321857861534,50.07525673869335,Study A
22804.52799719867,35746.49931764267,Study A
14.400589002480102,18.500602879606507,Study A
7.141611055580505,5.622507427948582,Study A
1360.7282405723638,1115.7412659178444,Study A
108.6620620640532,78.54292771211817,Study A
70.48990693870611,57.17933731752337,Study A
0.3338967600462413,0.4338925167155466,Study A
21.362258130996956,15.354123031654062,Study A
409.16490878990345,442.9609340298871,Study A
555.2649823650344,1194.294815723326,Study A
27.71122285087815,124.82001271429132,Study A
12.606249916591695,21.52584284752132,Study A
9399.550230552577,14165.017831087102,Study A
1249.5834031015531,2570.28860095448,Study A
8828.501324560055,12296.947447204328,Study A
841.4960622787097,2185.027050435958,Study A
667.0246383549269,1362.861309740251,Study A
6362.9801040029915,8881.198956661705,Study A
52.963173322204916,45.06408738430105,Study A
15620.829791648746,33217.04141716412,Study A
334.64800989586865,267.4430169141019,Study A
14.009042517294048,11.33438929728834,Study A
762.95314998874,679.9717955430937,Study A
38.72181224237543,37.78982416575754,Study A
131.92179956010474,104.2672167236106,Study A
102.36274438043371,79.3613494067185,Study A
28.883582953325572,23.121996649417294,Study A
1217.21615865174,982.4729360021405,Study A
795.2641995859211,597.3756471896612,Study A
14829.227463305235,10910.50275724206,Study A
27.216775799855682,19.699954407551655,Study A
6.118018685273329,4.452484650602359,Study A
59.45245583349537,43.12528815641061,Study A
28.21300379676335,20.622838482437118,Study A
111.52952172716995,80.85132774843032,Study A
59.9429079659128,46.53519698644789,Study A
94.37695659381473,67.90238595250702,Study A
1429.286853046358,1107.0407044477336,Study A
35.69066366114064,28.13480693174175,Study A
153.47230066116802,114.83479767389919,Study A
180.76021086592218,130.03171900100588,Study A
2036.0099284874238,1562.517491094432,Study A
15.61984877381335,13.285096395244741,Study A
35.483709371215944,26.71740796292884,Study A
8.727913424333538,6.700667858096422,Study A
133.23277820835784,104.0388904009816,Study A
35.56972128755392,28.759798393949175,Study A
321.91145686113015,261.1391222754926,Study A
49.023389674301164,36.92821498403554,Study A
6.916274982047056,5.4675011284057025,Study A
2175.4002785556363,3158.5592003088286,Study A
36.99665822651307,27.215045307544667,Study A
12.76772256165204,9.397435473436017,Study A
274.04953214769387,289.97436986098387,Study A
86.41944394759273,70.36833410213879,Study A
39.350406970928944,177.3077600816077,Study A
4.089500563016926,3.2289118126197214,Study A
833.3242427453355,1530.7484660145672,Study A
2.328132762846162,5.454927468461724,Study A
34.58128197988579,27.585534764391475,Study A
328.84672601886507,415.27886195293814,Study A
55.066197515203896,43.4950986239657,Study A
39.209348116388966,28.940151366384185,Study A
287.5947752894666,210.09713430126806,Study A
60.71174278675216,44.20194201374019,Study A
45.446660600689704,36.599942566824595,Study A
20.05960433840731,26.965976217358556,Study A
129.53586883952545,105.96852058310937,Study A
4.149121038403373,6.061678232527693,Study A
32.156742857381694,24.705112500495385,Study A
14.864132728237616,11.905909205184793,Study A
8.409893429351284,6.20661006237805,Study A
230.04131168302138,337.05346389714737,Study A
147.89278652566958,247.6318317794866,Study A
7.210770839474441,5.624011305369483,Study A
