	Size	liver_PPI
ClusterID:1	7	6
ClusterID:2	1	0
ClusterID:3	1	0
ClusterID:4	1	0
ClusterID:5	1	0
ClusterID:6	1	0
ClusterID:7	1	0
ClusterID:8	1	0
ClusterID:9	1	0
ClusterID:10	1	0
ClusterID:11	1	0
ClusterID:12	1	0
ClusterID:13	1	0
ClusterID:14	1	0
ClusterID:15	1	0
ClusterID:16	1	0
ClusterID:17	1	0
ClusterID:18	1	0
ClusterID:19	1	0
ClusterID:20	1	0
ClusterID:21	3	2
ClusterID:22	2	1
ClusterID:23	1	0
ClusterID:24	2	1
ClusterID:25	1	0
ClusterID:26	1	0
ClusterID:27	1	0
ClusterID:28	1	0
ClusterID:29	10	37
ClusterID:30	8	23
ClusterID:31	1	0
ClusterID:32	1	0
ClusterID:33	48	526
ClusterID:34	2	1
ClusterID:35	35	358
ClusterID:36	1	0
ClusterID:37	3	2
ClusterID:38	10	10
ClusterID:39	1	0
ClusterID:40	1	0
ClusterID:41	5	4
ClusterID:42	9	8
ClusterID:43	7	21
ClusterID:44	29	317
ClusterID:45	5	5
ClusterID:46	7	20
ClusterID:47	30	400
ClusterID:48	1	0
ClusterID:49	2	1
ClusterID:50	17	73
ClusterID:51	12	46
ClusterID:52	2	1
ClusterID:53	18	77
ClusterID:54	1	0
ClusterID:55	12	35
ClusterID:56	2	1
ClusterID:57	2	1
ClusterID:58	14	50
ClusterID:59	3	2
ClusterID:60	4	4
ClusterID:61	1	0
ClusterID:62	2	1
ClusterID:63	6	9
ClusterID:64	5	5
ClusterID:65	2	1
ClusterID:66	1	0
ClusterID:67	1	0
ClusterID:68	18	105
ClusterID:69	2	1
ClusterID:70	17	76
ClusterID:71	1	0
ClusterID:72	4	4
ClusterID:73	4	4
ClusterID:74	4	3
ClusterID:75	1	0
ClusterID:76	5	7
ClusterID:77	2	1
ClusterID:78	5	4
ClusterID:79	2	1
ClusterID:80	15	69
ClusterID:81	2	1
ClusterID:82	34	415
ClusterID:83	11	21
ClusterID:84	4	6
ClusterID:85	1	0
ClusterID:86	38	306
ClusterID:87	61	761
ClusterID:88	3	3
ClusterID:89	3	2
ClusterID:90	9	27
ClusterID:91	13	46
ClusterID:92	3	3
ClusterID:93	1	0
ClusterID:94	1	0
ClusterID:95	3	2
ClusterID:96	1	0
ClusterID:97	1	0
ClusterID:98	1	0
ClusterID:99	1	0
ClusterID:100	3	2
ClusterID:101	2	1
ClusterID:102	25	168
ClusterID:103	2	1
ClusterID:104	6	12
ClusterID:105	45	447
ClusterID:106	1	0
ClusterID:107	7	12
ClusterID:108	1	0
ClusterID:109	1	0
ClusterID:110	1	0
ClusterID:111	1	0
ClusterID:112	2	1
ClusterID:113	26	239
ClusterID:114	12	48
ClusterID:115	4	3
ClusterID:116	2	1
ClusterID:117	2	1
ClusterID:118	11	32
ClusterID:119	3	2
ClusterID:120	7	15
ClusterID:121	2	1
ClusterID:122	17	65
ClusterID:123	1	0
ClusterID:124	9	19
ClusterID:125	1	0
ClusterID:126	1	0
ClusterID:127	1	0
ClusterID:128	17	86
ClusterID:129	4	4
ClusterID:130	1	0
ClusterID:131	18	99
ClusterID:132	13	25
ClusterID:133	1	0
ClusterID:134	3	2
ClusterID:135	2	1
ClusterID:136	6	15
ClusterID:137	4	6
ClusterID:138	1	0
ClusterID:139	1	0
ClusterID:140	12	36
ClusterID:141	8	16
ClusterID:142	1	0
ClusterID:143	2	1
ClusterID:144	15	44
ClusterID:145	3	3
ClusterID:146	1	0
ClusterID:147	10	32
ClusterID:148	1	0
ClusterID:149	2	1
ClusterID:150	4	4
ClusterID:151	10	32
ClusterID:152	1	0
ClusterID:153	38	298
ClusterID:154	1	0
ClusterID:155	3	3
ClusterID:156	1	0
ClusterID:157	4	4
ClusterID:158	26	286
ClusterID:159	42	306
ClusterID:160	19	96
ClusterID:161	2	1
ClusterID:162	2	1
ClusterID:163	2	1
ClusterID:164	2	1
ClusterID:165	3	2
ClusterID:166	2	1
ClusterID:167	5	10
ClusterID:168	1	0
ClusterID:169	2	1
ClusterID:170	6	8
ClusterID:171	1	0
ClusterID:172	1	0
ClusterID:173	1	0
ClusterID:174	1	0
ClusterID:175	1	0
ClusterID:176	3	2
ClusterID:177	2	1
ClusterID:178	2	1
ClusterID:179	2	1
ClusterID:180	18	99
ClusterID:181	1	0
ClusterID:182	3	2
ClusterID:183	1	0
ClusterID:184	8	21
ClusterID:185	1	0
ClusterID:186	5	5
ClusterID:187	1	0
ClusterID:188	1	0
ClusterID:189	1	0
ClusterID:190	3	2
ClusterID:191	1	0
ClusterID:192	1	0
ClusterID:193	4	4
ClusterID:194	11	19
ClusterID:195	18	89
ClusterID:196	23	229
ClusterID:197	1	0
ClusterID:198	2	1
ClusterID:199	4	3
ClusterID:200	2	1
ClusterID:201	1	0
ClusterID:202	11	47
ClusterID:203	13	55
ClusterID:204	6	9
ClusterID:205	3	2
ClusterID:206	2	1
ClusterID:207	8	11
ClusterID:208	1	0
ClusterID:209	1	0
ClusterID:210	2	1
ClusterID:211	8	20
ClusterID:212	9	28
ClusterID:213	2	1
ClusterID:214	5	9
ClusterID:215	18	111
ClusterID:216	2	1
ClusterID:217	3	2
ClusterID:218	2	1
ClusterID:219	5	10
ClusterID:220	2	1
ClusterID:221	1	0
ClusterID:222	17	47
ClusterID:223	2	1
ClusterID:224	1	0
ClusterID:225	1	0
ClusterID:226	8	16
ClusterID:227	1	0
ClusterID:228	13	31
ClusterID:229	10	44
ClusterID:230	8	13
ClusterID:231	25	184
ClusterID:232	18	109
ClusterID:233	15	50
ClusterID:234	5	4
ClusterID:235	1	0
ClusterID:236	4	6
ClusterID:237	3	2
ClusterID:238	1	0
ClusterID:239	7	21
ClusterID:240	1	0
ClusterID:241	1	0
ClusterID:242	5	10
ClusterID:243	8	24
ClusterID:244	25	131
ClusterID:245	5	6
ClusterID:246	4	6
ClusterID:247	1	0
ClusterID:248	1	0
ClusterID:249	1	0
ClusterID:250	1	0
ClusterID:251	12	55
ClusterID:252	1	0
ClusterID:253	1	0
ClusterID:254	3	2
ClusterID:255	1	0
ClusterID:256	10	26
ClusterID:257	13	36
ClusterID:258	4	4
ClusterID:259	1	0
ClusterID:260	2	1
ClusterID:261	2	1
ClusterID:262	1	0
ClusterID:263	29	99
ClusterID:264	1	0
ClusterID:265	9	26
ClusterID:266	1	0
ClusterID:267	12	47
ClusterID:268	1	0
ClusterID:269	2	1
ClusterID:270	13	32
ClusterID:271	2	1
ClusterID:272	1	0
ClusterID:273	3	2
ClusterID:274	2	1
ClusterID:275	1	0
ClusterID:276	3	3
ClusterID:277	5	8
ClusterID:278	6	6
ClusterID:279	2	1
ClusterID:280	1	0
ClusterID:281	1	0
ClusterID:282	5	5
ClusterID:283	26	195
ClusterID:284	1	0
ClusterID:285	28	268
ClusterID:286	3	2
ClusterID:287	1	0
ClusterID:288	10	26
ClusterID:289	6	7
ClusterID:290	16	55
ClusterID:291	6	6
ClusterID:292	12	38
ClusterID:293	2	1
ClusterID:294	7	13
ClusterID:295	31	308
ClusterID:296	1	0
ClusterID:297	1	0
ClusterID:298	2	1
ClusterID:299	2	1
ClusterID:300	1	0
ClusterID:301	7	6
ClusterID:302	1	0
ClusterID:303	6	5
ClusterID:304	5	6
ClusterID:305	13	38
ClusterID:306	2	1
ClusterID:307	1	0
ClusterID:308	1	0
ClusterID:309	1	0
ClusterID:310	1	0
ClusterID:311	1	0
ClusterID:312	2	1
ClusterID:313	1	0
ClusterID:314	9	15
ClusterID:315	2	1
ClusterID:316	1	0
ClusterID:317	15	104
ClusterID:318	5	7
ClusterID:319	7	8
ClusterID:320	2	1
ClusterID:321	4	4
ClusterID:322	2	1
ClusterID:323	1	0
ClusterID:324	1	0
ClusterID:325	3	3
ClusterID:326	1	0
ClusterID:327	1	0
ClusterID:328	22	211
ClusterID:329	4	5
ClusterID:330	1	0
ClusterID:331	12	35
ClusterID:332	4	3
ClusterID:333	1	0
ClusterID:334	4	5
ClusterID:335	7	8
ClusterID:336	9	16
ClusterID:337	2	1
ClusterID:338	1	0
ClusterID:339	3	3
ClusterID:340	14	55
ClusterID:341	1	0
ClusterID:342	8	8
ClusterID:343	19	117
ClusterID:344	5	9
ClusterID:345	3	2
ClusterID:346	2	1
ClusterID:347	1	0
ClusterID:348	3	2
ClusterID:349	11	32
ClusterID:350	1	0
ClusterID:351	2	1
ClusterID:352	7	11
ClusterID:353	5	8
ClusterID:354	1	0
ClusterID:355	1	0
ClusterID:356	47	615
ClusterID:357	1	0
ClusterID:358	2	1
ClusterID:359	2	1
ClusterID:360	3	3
ClusterID:361	3	3
ClusterID:362	2	1
ClusterID:363	20	66
ClusterID:364	3	3
ClusterID:365	6	12
ClusterID:366	3	2
ClusterID:367	1	0
ClusterID:368	1	0
ClusterID:369	4	3
ClusterID:370	2	1
ClusterID:371	4	3
ClusterID:372	2	1
ClusterID:373	7	8
ClusterID:374	1	0
ClusterID:375	5	6
ClusterID:376	1	0
ClusterID:377	3	2
ClusterID:378	2	1
ClusterID:379	10	38
