gene,adj_p-value,effect size
IPO9,1.2373894533357026e-16,1.2174664232819974
AP3B1,6.713098678954894e-17,1.2172902383551718
ZNF37BP,2.2339050433055783e-17,1.2172071696878182
HACE1,5.470139787432649e-17,1.21717504374946
RGP1,2.1266213497401844e-17,1.2171256408044924
OTUB2,1.0626983477478649e-16,1.217009162903365
ZNF550,3.461666973098165e-17,1.2168353536577963
SAP130,6.564535839045728e-17,1.2167958173632847
ZFP69B,5.018220612784137e-17,1.2167057502212917
USP51,8.514757803961661e-17,1.2159022604970995
EXOC4,1.764969308503912e-17,1.2157635214041982
GNPDA1,4.724410683885636e-17,1.2156892292224688
ZNF174,4.71379075333353e-17,1.2154274420517746
MTF2,3.270580019773925e-17,1.2153236465520094
ZNF607,1.2647619786585286e-16,1.2152075376980198
NAP1L1,1.0569000191230101e-16,1.2151420667334598
PRDM16,7.05556596553751e-17,1.2151336506141763
RARS2,5.266536981721058e-17,1.215113240327254
GGPS1,1.090247345703291e-16,1.2150861759083715
KDM2B,6.757504539479609e-17,1.2150537868701665
BTRC,2.0464636794297407e-17,1.2146695937486571
ZNF740,5.677132877291068e-17,1.2146268248842924
MANBAL,4.6457679391460926e-17,1.2146062029847644
NSD3,1.007752791439218e-16,1.2144913599406497
PMS1,6.229118472818397e-17,1.2144744106027638
PPT2,6.492858193961187e-17,1.2136142711123352
RSRC2,2.3624329296566847e-17,1.2123492241405875
RFX3,8.907176367517987e-17,1.2121090802179388
BCAS3,1.3255394773324001e-17,1.2121050098646513
ZNF74,1.6810599889177555e-16,1.2119828702980027
TTC13,4.766034726686729e-17,1.2117384608809252
EXOC7,6.463493771859479e-17,1.211600752368908
SERF1A,1.2119832527990418e-16,1.211384829331076
TNFRSF19,1.9649378743412592e-16,1.211279195604701
PLAG1,1.8812007748699908e-16,1.210281090539053
DHX57,1.927016518048193e-16,1.2098662578104606
SAMM50,7.533270277927594e-17,1.209063684353844
MED23,5.2189993176611303e-17,1.2085277426638066
FKTN,7.816716679111258e-17,1.2083023278283602
RNF2,4.1913727896955054e-17,1.2081125839954732
MBTPS1,3.877177498345144e-17,1.208066851454181
CDC23,1.1971970349030865e-16,1.207759126094655
RALA,5.89363426093983e-17,1.2071487452048142
DCTN4,1.6187872232064215e-17,1.2068734079548835
RBBP7,6.95686284418326e-17,1.2065904514449095
ADNP,3.8953441004688097e-17,1.2065251649732451
PLEKHA8,1.5445314005417263e-16,1.2065152232423466
SSB,1.1038710203498228e-16,1.2065044509762384
GPATCH8,3.234852861150839e-17,1.2063995108020966
EDRF1,6.014142054806522e-17,1.2059027353719367
TP53RK,3.325953515380029e-17,1.2058855579216712
SRC,3.064127651161146e-16,1.205674604246481
MKRN1,1.9227451560020006e-17,1.2056592223808933
DLG3,1.5344784823946096e-16,1.2052424834973647
SUPT20H,1.1661992201745504e-16,1.2049254874445792
CTNNB1,9.777086571583913e-17,1.2048065891208255
CYB5B,1.8934817004064968e-16,1.2046863448364171
TTC5,1.1919731351742444e-16,1.203467488163485
PHF20,8.084584573747196e-17,1.2033233868781419
ITGAE,3.667549099542452e-16,1.2031914668721306
RUFY2,1.388836206107935e-16,1.2030855038068793
GDE1,5.460257242869948e-17,1.202038936448268
TDP1,2.56945448587702e-16,1.2014628455126648
SOX13,9.98444759679763e-17,1.200959821207553
CREB3L2,4.259449367525892e-17,1.2008413165206155
TNPO2,1.0365562752239083e-16,1.2006474422590079
GNE,2.460103382566489e-15,-1.200535032501614
SULT1A2,4.2220215022640973e-16,-1.200788809098492
PLGLA,2.7994773312317266e-16,-1.2013818256316753
SDHD,2.1972607782934655e-15,-1.201742617137503
MARCO,1.0451346918867845e-14,-1.2020108825823925
DHODH,5.121922938825365e-14,-1.202016669438938
APBA1,8.794208481481239e-15,-1.2024640408740648
OAF,1.2175245508884952e-14,-1.2028976857547642
ADK,5.270114677866618e-17,-1.204126142505666
MT1E,1.8715635881735448e-14,-1.2054337174570542
SELENOP,8.743425442326706e-16,-1.2062016523362127
SLC31A1,1.4835472478557326e-16,-1.2106208268827918
MPC1,1.9387745182242836e-17,-1.215569413189218
LURAP1L,2.3780838900493684e-15,-1.2163903986493374
ABHD2,7.273131518409576e-17,-1.2170150324653846
RBP4,8.537831862866465e-18,-1.2172669995795817
GNAO1,3.611212803402359e-16,-1.220744835349702
CLEC4G,1.531369563917571e-16,-1.2216159953037529
TIGD2,1.8780530887202068e-16,-1.2247616748481478
HOGA1,1.6103031379832667e-16,-1.2266480059616205
ACO1,1.3056831071671337e-16,-1.2283137508223767
PPARGC1A,6.665582179318894e-16,-1.2289343400806918
TMPRSS2,2.3788944712983316e-15,-1.229951527400677
LPIN2,9.54894769070974e-18,-1.2327336619712244
SRD5A1,7.292098766250376e-15,-1.2337269420691563
GSTZ1,2.8723750341130003e-17,-1.2347503595110985
TTC39C,1.13155998778736e-16,-1.2351699845608395
MAP7,1.864003867185918e-18,-1.2354563694393634
CYP4A22,7.550177271150653e-17,-1.23644393631159
KCNK1,7.704672765684987e-17,-1.2372055686769963
SLC25A47,2.9574565905172866e-16,-1.2394200553368926
RNASE4,2.707331795700735e-18,-1.2394994958717418
KLKB1,1.2259274731320603e-17,-1.2413757018351266
SEC14L2,2.310619221714828e-16,-1.2416103859352416
CDA,7.867062223420637e-17,-1.2436649550048857
GC,1.040256527426196e-18,-1.2449793562219131
ALDH6A1,4.055123950771499e-17,-1.245224957317163
PVALB,4.509112048213869e-16,-1.245534351216022
AKR1D1,9.653747085498716e-16,-1.2461151637157277
PCCB,1.139942668373645e-17,-1.246183731582291
DMRTA1,6.339086336368153e-17,-1.2462861969226087
PIK3C2G,4.4915332943609504e-18,-1.2468145265474906
STAB2,5.110483154685723e-18,-1.2468268299355516
FGA,3.202417633469259e-17,-1.2472705738545653
LDHD,3.02970894670088e-16,-1.2490314059689724
FGG,1.9300418784450898e-17,-1.2495175956905886
CFHR2,1.100630283306388e-18,-1.249527322751892
C4BPA,2.43320146872396e-16,-1.2499727499889413
FAM110C,4.061050479004701e-19,-1.251055772262454
NAT2,3.7192844551507085e-16,-1.252207641533013
LINC00365,1.0180368570028771e-16,-1.2531663085406546
CD14,5.928137465442661e-17,-1.2546432898836115
DECR1,8.418830567839329e-18,-1.2546476471823793
SOCS2-AS1,1.5951332781878642e-15,-1.2577494391327129
PPP1R1A,9.297636906389231e-17,-1.2593259747092724
ECHS1,9.018442824471716e-18,-1.2603639411558893
DPF3,3.070001520414512e-16,-1.2617546215326194
C8G,3.149772666834379e-17,-1.261759900506908
CFI,8.306705423608198e-19,-1.262979702160112
ARHGEF26,3.64235028208137e-17,-1.263072463447807
AZGP1P1,4.5089689630153274e-18,-1.2656498605410789
LONP2,1.9794931155093537e-18,-1.26773719234446
ASS1,2.5629015006902147e-15,-1.269816757986404
AKR7A3,1.8214958209230183e-16,-1.271756318623959
PEMT,6.915090052840771e-18,-1.2718126744926723
SMIM14,1.6882984714888831e-18,-1.273425750826249
CYP4A11,4.313431559423779e-19,-1.2759913637414833
PIGR,3.51878234481405e-17,-1.27631969310636
APOC4,3.5542956031073777e-19,-1.2765965139362405
BCHE,4.208918373771139e-17,-1.276691008217073
ISOC1,1.485525283244717e-19,-1.2773813844351045
MGST1,3.267790459885696e-19,-1.2791770618308171
SDHB,1.508109121711191e-19,-1.2796932675063086
CIDEB,6.90075683629337e-19,-1.2814013068306542
FAM149A,5.881729957435386e-19,-1.2818347679762865
ASPG,4.3036610685620543e-16,-1.2821703994469849
SERPINB8,6.868013606509989e-18,-1.2834788283606773
HMGCS2,4.2663397777589113e-19,-1.2848434340334256
SEC14L3,6.06486315337267e-16,-1.2851314993175385
CYP4F11,2.9189977702134937e-19,-1.285271000496338
OCIAD2,2.1423886935503843e-20,-1.2922957144050513
MASP1,5.42335461868068e-20,-1.2926891739655222
CYP1A2,4.649718458425178e-16,-1.2943706666645591
ENO3,1.2814227983859884e-17,-1.2966881132895405
ABAT,1.3117556826457252e-19,-1.2971872378295033
TPMT,1.0038009494786404e-19,-1.29885539288033
ORM2,1.3444568671368669e-18,-1.3000282531551985
SLC27A5,7.669421719672355e-18,-1.3043747133343875
SLC27A2,6.857651957318029e-20,-1.304961819975869
ADH4,2.7977786502136047e-18,-1.3054257025251375
ADRA1A,4.15669772556085e-18,-1.3093795465011964
HAL,1.772174715028829e-18,-1.3095877646768814
MOGAT2,1.0327798096913022e-17,-1.3109010014834654
SLC38A4,9.035786556905901e-17,-1.311130592872769
USP2,7.578092636088867e-18,-1.3149779917716415
CMBL,1.3595884440188469e-18,-1.3182831098891252
PLG,1.3073149835911662e-21,-1.319413273814052
HP,4.6550651807389314e-21,-1.3197922423762434
ALDH2,9.038339766177386e-22,-1.321764774050561
PXMP2,2.398051634276061e-19,-1.3226420617371204
SLC51A,4.549398232270026e-18,-1.3228406443425276
OIT3,4.115334758382969e-20,-1.3233304787698346
APOA1,3.143493613932566e-20,-1.3234209291231203
GFRA1,1.552807156266161e-21,-1.3247221717389759
ALAS1,9.815917749885715e-20,-1.3261755860748503
ADGRG7,4.015383291096515e-17,-1.326989699656595
SLC37A4,5.872322729709257e-21,-1.3282026037844925
SAA4,4.6296964213356286e-21,-1.3288651502011608
CP,3.4258394499728256e-18,-1.329960554075015
SCP2,7.114765607087918e-20,-1.3316839182814313
LINC01909,2.909365015127581e-18,-1.3318123969971751
TMEM176B,6.39285143356698e-22,-1.3319089651886553
SOD1,1.7076504672210296e-20,-1.3322223281080816
C4BPB,4.61283504438342e-20,-1.332775578863155
PAPSS2,8.252804563037051e-20,-1.3353133042013017
GDA,6.978975580689722e-20,-1.336771520430073
CFHR4,9.010043142506975e-19,-1.3368919210219743
UGT2B15,4.904943321618007e-21,-1.3373374252645036
UGT1A9,6.0454165155025765e-18,-1.3411145392678785
AR,3.828235433990828e-20,-1.3413284263150644
HAAO,3.01404579903137e-19,-1.3421162901730548
CYP2A13,3.4896932822919344e-17,-1.3428660364146767
SDSL,2.4097559599196815e-19,-1.3440202639795
AGXT,3.057603476836937e-20,-1.344503344358589
KNG1,4.6192133935317945e-23,-1.351397211461944
ARG1,3.555446142917116e-21,-1.3517455441518165
TTR,7.852020828638424e-20,-1.352733201077646
SLC22A10,3.8121531027930975e-18,-1.3534010702521817
AMDHD1,9.66891815295087e-20,-1.3550284174546918
GBP7,5.037276855689351e-21,-1.3605475683626786
SERPINA11,5.732484546961433e-23,-1.3614931185440904
GLS2,6.972136247512239e-18,-1.3645100472455924
MAT1A,1.0016307283572027e-18,-1.3658753626254214
SLC7A2,2.3060536265986333e-19,-1.3662215947777145
ACSM5,3.541837460957649e-23,-1.366334988073216
SPRYD4,2.3824183843776036e-22,-1.3679277974110797
MGLL,1.4497622429347315e-22,-1.368930487849168
GPAT3,2.8124608319243126e-18,-1.3726150349882753
TRIM55,8.190433015672012e-22,-1.3762733162378142
SLC46A3,6.3406959399583584e-21,-1.3784934153404518
UGT2B7,1.3057425345522998e-21,-1.3817485153495355
GSTA1,6.058345163380246e-21,-1.3820064871953277
PIPOX,1.1193836047420355e-22,-1.3821491358986462
UGP2,1.4077947458698277e-19,-1.382153640261299
RNF165,7.269052115793323e-19,-1.384696670375573
SHMT1,4.58869380351808e-23,-1.3872576619627075
AKR7L,2.8862434708468535e-19,-1.38832591033487
HAO1,3.288781871961622e-24,-1.3895946682065297
ALB,2.7078913379096174e-24,-1.3896217330759497
UROC1,2.638731904393875e-21,-1.394715280167952
PHYH,3.6703672194782756e-24,-1.3998652260616309
CDC37L1,1.554777913819973e-20,-1.3998950846500613
TDO2,7.568705792969724e-20,-1.4038121473331846
MBL2,1.9972548308684926e-21,-1.4038971771552489
GLT1D1,8.52527193469553e-21,-1.4043470646390874
LINC01620,4.598092187021668e-20,-1.4052711165690033
GLYAT,3.495955086649671e-21,-1.4066342382149608
ITIH4,2.960859422320949e-23,-1.4066778664770971
BCKDHB,2.5803562082818915e-23,-1.4084643508152959
KMO,3.6487411470780866e-20,-1.4092335991296907
ETFDH,8.455820061464776e-25,-1.4112343476740357
CFHR3,1.1751888486459046e-19,-1.414538978122528
GCH1,1.0854978008067856e-23,-1.4147256698820754
ZG16,1.6813445454141348e-20,-1.416410900490959
CFHR5,2.7047427262051327e-24,-1.4168358215676196
DHTKD1,2.413011813224029e-23,-1.4205594807610453
CYB5A,1.7148934089668342e-25,-1.4234017567392878
PGLYRP2,2.4371867482699256e-23,-1.4246636587492958
FCN2,1.8383353816084242e-24,-1.4279600699772308
CLYBL,2.4951692511550938e-24,-1.4307401367103034
UGT1A4,1.2093904830509054e-22,-1.4320550564524093
DNAJC25,1.1774978483727434e-22,-1.4322605613220276
PCK2,4.629329230065629e-23,-1.4347866256737514
CYP2C19,5.286494720783622e-20,-1.4355382584886989
ETNPPL,2.9303504650779214e-20,-1.4368713141918923
ADH1C,5.378879972795338e-21,-1.4370240186379801
TTC36,4.801701144816346e-22,-1.4432908287576156
SUCLG2,3.911487675833798e-24,-1.4453533601739788
HABP2,2.1348845363792032e-27,-1.4454613073519307
GHR,1.4103773610229611e-22,-1.4474784310951057
C3P1,2.6070243548555594e-21,-1.4494249318212231
DMGDH,1.2554816422301267e-24,-1.450231330405206
SDS,8.694725913396828e-21,-1.4514933037598599
KCND3,1.036465416861371e-23,-1.4526885810579937
ALDH8A1,7.075265188673832e-26,-1.4533551424004834
SLC41A2,1.63109040877112e-26,-1.4556430802970606
HPD,2.7367041727453523e-25,-1.455790786166209
HAO2,2.3768441164707997e-25,-1.4586495053661517
ACMSD,2.395214988730935e-22,-1.4602093379628895
SLC22A1,3.8532044321726875e-22,-1.4607209654681255
CA2,1.2777928184582385e-24,-1.462440504316271
CYP39A1,5.499607379009765e-23,-1.4647446509211062
ANXA10,2.02524051315528e-23,-1.4661890740891212
CYP4F2,1.6728094260423912e-26,-1.4723852200409555
C1R,1.8192760128670042e-28,-1.4749196688628432
FCN3,1.313745699649359e-25,-1.4750796156647061
CYP2B6,2.9723705440861323e-21,-1.4785971351616387
ACAA2,1.1998599925479946e-24,-1.4803501895341056
ACSL1,7.999245714045123e-28,-1.4850308349768586
PON1,2.2112942806712322e-26,-1.4861825701492235
SOCS2,7.210338097032847e-24,-1.4890068924200155
PRG4,3.0229658834859795e-25,-1.4916409660249734
NNT,1.8532415539067976e-26,-1.5057739573712512
FBP1,4.31339898368903e-23,-1.5067269918609
PON3,4.24639978955938e-25,-1.5083998704765333
SRD5A2,3.206870247128984e-23,-1.5114504651948173
GLYATL1,1.065207139948587e-25,-1.5168353599085098
SLC1A1,1.1482052614274867e-23,-1.5189265227433681
CYP4V2,4.809030612667635e-27,-1.5217964695738166
DPYS,1.1450655973973253e-26,-1.5234867813544388
VNN1,4.914680089318445e-25,-1.5278799128147837
C1S,2.4063853135680962e-32,-1.5288318229569513
C8A,4.401957894706364e-31,-1.5288496749910712
GBA3,3.830465038861226e-24,-1.5299782064157998
HSD11B1,3.9275790132518205e-26,-1.54941098500158
GOT1,1.0110933108811927e-27,-1.5540028582383787
CYP2A6,8.678193658252624e-25,-1.5551593207696657
LINC01018,2.0420244609434945e-27,-1.5570375560768663
C8B,1.3689347148421097e-33,-1.5628730418918229
FETUB,1.1824380602037553e-28,-1.5634681832035426
ACADL,3.2160892372969104e-29,-1.5653752245001875
AZGP1,9.76787961562732e-34,-1.5711752683962747
RDH16,1.5436945299452562e-27,-1.572044058791044
HSD17B6,1.2585339912382723e-29,-1.5751344500931257
CLEC1B,3.0354558207646186e-28,-1.5812077534159037
GYS2,4.288160716212627e-30,-1.5820117197408805
RIDA,3.4720473972667723e-28,-1.5871393890610874
C9,3.7720524996899003e-28,-1.5873542440831052
SERPINC1,9.994212116185118e-36,-1.5911137164396132
CYP2C8,1.7382571861751104e-27,-1.593837030080915
HSD17B13,3.401166422913912e-26,-1.6023366100138416
APOF,2.4672801052254933e-28,-1.6055752347033405
HRG,1.3393485311404059e-33,-1.6142425695500435
XDH,2.9871833647814657e-33,-1.623295022533462
SLC10A1,6.854381783534655e-32,-1.6249635069423845
HPX,1.4441864024329883e-35,-1.6555705210790739
OGDHL,4.231856600196626e-35,-1.670207711952934
ALDOB,5.800556462025392e-33,-1.6726660317329296
F9,2.257748150991625e-36,-1.6742627169180515
