	Size	liver_PPI
ClusterID:1	1	0
ClusterID:2	1	0
ClusterID:3	1	0
ClusterID:4	1	0
ClusterID:5	1	0
ClusterID:6	1	0
ClusterID:7	23	161
ClusterID:8	1	0
ClusterID:9	1	0
ClusterID:10	2	1
ClusterID:11	1	0
ClusterID:12	45	556
ClusterID:13	5	7
ClusterID:14	51	452
ClusterID:15	42	498
ClusterID:16	63	537
ClusterID:17	18	46
ClusterID:18	22	86
ClusterID:19	49	367
ClusterID:20	20	119
ClusterID:21	158	3067
ClusterID:22	68	1055
ClusterID:23	110	3356
ClusterID:24	13	25
ClusterID:25	22	121
ClusterID:26	50	341
ClusterID:27	55	758
ClusterID:28	14	22
ClusterID:29	11	28
ClusterID:30	47	422
ClusterID:31	5	4
ClusterID:32	88	985
ClusterID:33	13	44
ClusterID:34	61	604
ClusterID:35	23	33
ClusterID:36	2	1
ClusterID:37	40	84
ClusterID:38	16	37
ClusterID:39	5	4
ClusterID:40	8	7
ClusterID:41	44	307
ClusterID:42	6	5
ClusterID:43	13	34
ClusterID:44	79	199
ClusterID:45	81	761
ClusterID:46	156	940
ClusterID:47	6	6
ClusterID:48	26	179
ClusterID:49	34	120
ClusterID:50	4	3
ClusterID:51	2	1
ClusterID:52	13	20
ClusterID:53	2	1
ClusterID:54	4	3
ClusterID:55	3	2
ClusterID:56	60	674
ClusterID:57	2	1
ClusterID:58	10	16
ClusterID:59	33	262
ClusterID:60	51	122
ClusterID:61	142	1532
ClusterID:62	29	57
ClusterID:63	44	221
ClusterID:64	4	4
ClusterID:65	155	3410
ClusterID:66	2	1
ClusterID:67	9	24
ClusterID:68	14	38
ClusterID:69	25	65
ClusterID:70	6	5
ClusterID:71	77	2085
ClusterID:72	24	42
ClusterID:73	65	622
ClusterID:74	52	530
ClusterID:75	11	34
ClusterID:76	56	458
ClusterID:77	17	28
ClusterID:78	5	5
ClusterID:79	14	24
ClusterID:80	59	588
ClusterID:81	16	54
ClusterID:82	6	5
ClusterID:83	3	2
ClusterID:84	36	466
ClusterID:85	3	2
ClusterID:86	2	1
ClusterID:87	108	333
ClusterID:88	11	12
ClusterID:89	133	968
ClusterID:90	82	806
ClusterID:91	42	246
ClusterID:92	2	1
ClusterID:93	21	84
ClusterID:94	2	1
ClusterID:95	7	9
ClusterID:96	96	1255
ClusterID:97	3	2
ClusterID:98	5	4
ClusterID:99	113	1389
ClusterID:100	23	86
ClusterID:101	2	1
ClusterID:102	185	2461
ClusterID:103	124	1190
ClusterID:104	13	32
ClusterID:105	26	118
ClusterID:106	2	1
ClusterID:107	7	8
ClusterID:108	70	901
ClusterID:109	12	12
ClusterID:110	12	38
ClusterID:111	1	0
ClusterID:112	4	4
ClusterID:113	2	1
ClusterID:114	5	8
ClusterID:115	2	1
ClusterID:116	21	44
ClusterID:117	58	306
ClusterID:118	5	4
ClusterID:119	4	3
ClusterID:120	4	4
ClusterID:121	3	2
ClusterID:122	2	1
ClusterID:123	3	2
ClusterID:124	4	3
ClusterID:125	71	1179
ClusterID:126	8	10
ClusterID:127	39	171
ClusterID:128	55	253
ClusterID:129	5	5
ClusterID:130	2	1
ClusterID:131	34	146
ClusterID:132	32	200
ClusterID:133	5	4
ClusterID:134	28	90
ClusterID:135	16	62
ClusterID:136	10	16
ClusterID:137	46	293
ClusterID:138	15	26
ClusterID:139	11	24
ClusterID:140	17	46
ClusterID:141	30	158
ClusterID:142	76	479
ClusterID:143	16	26
ClusterID:144	18	20
ClusterID:145	5	4
ClusterID:146	2	1
ClusterID:147	35	101
ClusterID:148	68	624
ClusterID:149	15	66
ClusterID:150	2	1
ClusterID:151	6	6
ClusterID:152	140	2300
ClusterID:153	16	30
ClusterID:154	27	42
ClusterID:155	48	159
ClusterID:156	41	283
ClusterID:157	13	37
ClusterID:158	3	2
ClusterID:159	10	16
ClusterID:160	41	120
ClusterID:161	3	2
ClusterID:162	47	479
ClusterID:163	8	7
ClusterID:164	3	3
ClusterID:165	14	36
ClusterID:166	2	1
ClusterID:167	21	45
ClusterID:168	6	7
ClusterID:169	24	110
ClusterID:170	6	9
ClusterID:171	8	9
ClusterID:172	35	235
ClusterID:173	60	520
ClusterID:174	2	1
ClusterID:175	48	770
ClusterID:176	3	2
ClusterID:177	19	34
ClusterID:178	7	12
ClusterID:179	17	57
ClusterID:180	42	211
ClusterID:181	65	825
ClusterID:182	26	169
ClusterID:183	10	14
ClusterID:184	91	1899
ClusterID:185	31	121
ClusterID:186	4	5
ClusterID:187	7	11
ClusterID:188	3	2
ClusterID:189	6	6
ClusterID:190	9	16
ClusterID:191	9	11
ClusterID:192	10	12
ClusterID:193	3	2
ClusterID:194	141	1631
ClusterID:195	4	4
ClusterID:196	14	25
ClusterID:197	14	24
ClusterID:198	2	1
ClusterID:199	61	236
ClusterID:200	22	79
ClusterID:201	4	5
ClusterID:202	36	173
ClusterID:203	37	92
ClusterID:204	26	83
ClusterID:205	4	3
ClusterID:206	74	918
ClusterID:207	21	40
