Unnamed: 0,Size,Recon3D_metabolites,num_matches,matches
ClusterID:172,1,0,0, NaN
ClusterID:173,1,0,0, NaN
ClusterID:174,1,0,0, NaN
ClusterID:175,1,0,0, NaN
ClusterID:176,1,0,0, NaN
ClusterID:177,1,0,0, NaN
ClusterID:178,1,0,0, NaN
ClusterID:179,35,635,2," ['BBOX1', 'TAT']"
ClusterID:180,3,68,0, NaN
ClusterID:181,1,0,0, NaN
ClusterID:182,1,0,0, NaN
ClusterID:183,1,0,0, NaN
ClusterID:184,1,0,0, NaN
ClusterID:185,1,0,0, NaN
ClusterID:186,1,0,1, ['HS3ST5']
ClusterID:187,1,0,1, ['SULT4A1']
ClusterID:188,1,0,0, NaN
ClusterID:189,1,0,0, NaN
ClusterID:190,1,0,0, NaN
ClusterID:191,1,0,0, NaN
ClusterID:192,1,0,1, ['HS6ST2']
ClusterID:193,1,0,0, NaN
ClusterID:194,1,0,0, NaN
ClusterID:195,1,0,0, NaN
ClusterID:196,1,0,0, NaN
ClusterID:197,1,0,0, NaN
ClusterID:198,1,0,0, NaN
ClusterID:199,1,0,1, ['NDST4']
ClusterID:200,1,0,0, NaN
ClusterID:201,1,0,0, NaN
ClusterID:202,1,0,0, NaN
ClusterID:203,1,0,0, NaN
ClusterID:204,1,0,0, NaN
ClusterID:205,1,0,0, NaN
ClusterID:206,1,0,0, NaN
ClusterID:207,1,0,0, NaN
ClusterID:208,1,0,0, NaN
ClusterID:209,1,0,0, NaN
ClusterID:210,1,0,0, NaN
ClusterID:211,1,0,1, ['HS3ST4']
ClusterID:212,1,0,0, NaN
ClusterID:213,1,0,0, NaN
ClusterID:214,1,0,0, NaN
ClusterID:215,1,0,0, NaN
ClusterID:216,1,0,0, NaN
ClusterID:217,1,0,0, NaN
ClusterID:218,1,0,0, NaN
ClusterID:219,1,0,0, NaN
ClusterID:220,1,0,0, NaN
ClusterID:221,1,0,0, NaN
ClusterID:222,1,0,0, NaN
ClusterID:223,1,0,0, NaN
ClusterID:224,1,0,0, NaN
ClusterID:225,1,0,0, NaN
ClusterID:226,1,0,0, NaN
ClusterID:227,1,0,0, NaN
ClusterID:228,1,0,0, NaN
ClusterID:229,1,0,0, NaN
ClusterID:230,1,0,1, ['CYP2A7']
ClusterID:231,1,0,0, NaN
ClusterID:232,1,0,0, NaN
ClusterID:233,1,0,0, NaN
ClusterID:234,1,0,1, ['CYP1A2']
ClusterID:235,1,0,0, NaN
ClusterID:236,1,0,0, NaN
ClusterID:237,1,0,0, NaN
ClusterID:238,1,0,0, NaN
ClusterID:239,1,0,1, ['CYP2B6']
ClusterID:240,1,0,1, ['CYP1A1']
ClusterID:241,1,0,0, NaN
ClusterID:242,1,0,0, NaN
ClusterID:243,1,0,0, NaN
ClusterID:244,1,0,0, NaN
ClusterID:245,1,0,0, NaN
ClusterID:246,1,0,0, NaN
ClusterID:247,1,0,0, NaN
ClusterID:248,1,0,1, ['CYP2A13']
ClusterID:249,1,0,0, NaN
ClusterID:250,1,0,1, ['CYP2A6']
ClusterID:251,1,0,0, NaN
ClusterID:252,1,0,0, NaN
ClusterID:253,1,0,0, NaN
ClusterID:254,1,0,0, NaN
ClusterID:255,1,0,0, NaN
ClusterID:256,1,0,0, NaN
ClusterID:257,1,0,0, NaN
ClusterID:258,1,0,0, NaN
ClusterID:259,1,0,0, NaN
ClusterID:260,1,0,0, NaN
ClusterID:261,1,0,0, NaN
ClusterID:262,1,0,0, NaN
ClusterID:263,1,0,0, NaN
ClusterID:264,1,0,0, NaN
ClusterID:265,1,0,0, NaN
ClusterID:266,1,0,0, NaN
ClusterID:267,1,0,0, NaN
ClusterID:268,1,0,0, NaN
ClusterID:269,1,0,0, NaN
ClusterID:270,1,0,0, NaN
ClusterID:271,1,0,0, NaN
ClusterID:272,1,0,0, NaN
ClusterID:273,1,0,0, NaN
ClusterID:274,1,0,0, NaN
ClusterID:275,1,0,0, NaN
ClusterID:276,1,0,0, NaN
ClusterID:277,1,0,0, NaN
ClusterID:278,1,0,1, ['PNMT']
ClusterID:279,1,0,0, NaN
ClusterID:280,1,0,0, NaN
ClusterID:281,1,0,0, NaN
ClusterID:282,1,0,0, NaN
ClusterID:283,1,0,0, NaN
ClusterID:284,1,0,0, NaN
ClusterID:285,1,0,0, NaN
ClusterID:286,1,0,0, NaN
ClusterID:287,1,0,0, NaN
ClusterID:288,1,0,0, NaN
ClusterID:289,1,0,0, NaN
ClusterID:290,1,0,0, NaN
ClusterID:291,1,0,0, NaN
ClusterID:292,1,0,0, NaN
ClusterID:293,1,0,0, NaN
ClusterID:294,1,0,0, NaN
ClusterID:295,1,0,0, NaN
ClusterID:296,1,0,0, NaN
ClusterID:297,1,0,0, NaN
ClusterID:298,1,0,0, NaN
ClusterID:299,1,0,0, NaN
ClusterID:300,1,0,0, NaN
ClusterID:301,1,0,0, NaN
ClusterID:302,1,0,0, NaN
ClusterID:303,1,0,0, NaN
ClusterID:304,1,0,0, NaN
ClusterID:305,1,0,0, NaN
ClusterID:306,1,0,0, NaN
ClusterID:307,1,0,0, NaN
ClusterID:308,1,0,0, NaN
ClusterID:309,1,0,0, NaN
ClusterID:310,1,0,0, NaN
ClusterID:311,1,0,0, NaN
ClusterID:312,1,0,0, NaN
ClusterID:313,1,0,0, NaN
ClusterID:314,1,0,0, NaN
ClusterID:315,1,0,0, NaN
ClusterID:316,1,0,0, NaN
ClusterID:317,1,0,0, NaN
ClusterID:318,1,0,0, NaN
ClusterID:319,1,0,0, NaN
ClusterID:320,1,0,0, NaN
ClusterID:321,1,0,0, NaN
ClusterID:322,1,0,0, NaN
ClusterID:323,1,0,0, NaN
ClusterID:324,1,0,0, NaN
ClusterID:325,1,0,0, NaN
ClusterID:326,1,0,0, NaN
ClusterID:327,1,0,0, NaN
ClusterID:328,1,0,0, NaN
ClusterID:329,1,0,0, NaN
ClusterID:330,1,0,0, NaN
ClusterID:331,1,0,0, NaN
ClusterID:332,1,0,0, NaN
ClusterID:333,1,0,0, NaN
ClusterID:334,1,0,0, NaN
ClusterID:335,1,0,0, NaN
ClusterID:336,1,0,0, NaN
ClusterID:337,1,0,0, NaN
ClusterID:338,1,0,0, NaN
ClusterID:339,1,0,0, NaN
ClusterID:340,1,0,0, NaN
ClusterID:341,1,0,0, NaN
ClusterID:342,1,0,0, NaN
ClusterID:343,1,0,0, NaN
ClusterID:344,1,0,0, NaN
ClusterID:345,1,0,0, NaN
ClusterID:346,1,0,0, NaN
ClusterID:347,1,0,0, NaN
ClusterID:348,1,0,0, NaN
ClusterID:349,1,0,0, NaN
ClusterID:350,1,0,0, NaN
ClusterID:351,1,0,0, NaN
ClusterID:352,1,0,0, NaN
ClusterID:353,1,0,0, NaN
ClusterID:354,1,0,0, NaN
ClusterID:355,1,0,0, NaN
ClusterID:356,1,0,0, NaN
ClusterID:357,1,0,0, NaN
ClusterID:358,1,0,0, NaN
ClusterID:359,1,0,0, NaN
ClusterID:360,1,0,0, NaN
ClusterID:361,1,0,0, NaN
ClusterID:362,1,0,0, NaN
ClusterID:363,1,0,0, NaN
ClusterID:364,1,0,0, NaN
ClusterID:365,1,0,0, NaN
ClusterID:366,1,0,0, NaN
ClusterID:367,1,0,0, NaN
ClusterID:368,1,0,0, NaN
ClusterID:369,1,0,0, NaN
ClusterID:370,1,0,0, NaN
ClusterID:371,1,0,0, NaN
ClusterID:372,1,0,0, NaN
ClusterID:373,1,0,0, NaN
ClusterID:374,1,0,0, NaN
ClusterID:375,1,0,1, ['ATP1A2']
ClusterID:376,1,0,0, NaN
ClusterID:377,1,0,1, ['SLC3A1']
ClusterID:378,1,0,0, NaN
ClusterID:379,1,0,0, NaN
ClusterID:380,1,0,0, NaN
ClusterID:381,1,0,0, NaN
ClusterID:382,1,0,0, NaN
ClusterID:383,1,0,0, NaN
ClusterID:384,1,0,0, NaN
ClusterID:385,1,0,0, NaN
ClusterID:386,1,0,0, NaN
ClusterID:387,1,0,0, NaN
ClusterID:388,1,0,0, NaN
ClusterID:389,1,0,0, NaN
ClusterID:390,1,0,0, NaN
ClusterID:391,1,0,0, NaN
ClusterID:392,1,0,0, NaN
ClusterID:393,1,0,0, NaN
ClusterID:394,1,0,0, NaN
ClusterID:395,1,0,0, NaN
ClusterID:396,1,0,0, NaN
