"Name","Score"
"REG3A",6.50770512286548e-10
"SHISA6",1.6768371865556e-09
"HS3ST4",4.26488962932111e-09
"CST1",6.83152852977926e-09
"PLSCR5",1.22149051208587e-08
"LHX1",2.15910037484381e-08
"FGF3",2.97386505622657e-08
"EDDM3B",4.00000000000001e-08
"MEP1A",4.03111816785979e-08
"REG1A",5.27124114952103e-08
"SP8",1.35823812111004e-07
"DEFA6",2.08924502623883e-07
"MATN3",2.72809048728981e-07
"MNX1",3.7115369898388e-07
"EVX1",4.06731570179091e-07
"DKK4",4.75818408996251e-07
"MUCL1",5.28916116402503e-07
"XIRP2",6.4e-07
"TBX4",7.36444189920866e-07
"KRT31",8.35698010495532e-07
"LINC02178",8.43398583923365e-07
"IRX6",9.61600374843815e-07
"TRH",1.38109580919046e-06
"STRA6",2.27852845588931e-06
"EVX1-AS",2.38766041242543e-06
"TBX5",3.24e-06
"DEFA5",3.34279204198213e-06
"DKK1",3.55976780508122e-06
"ANKFN1",3.86425422948329e-06
"IRX5",4.36494477966369e-06
"ERVMER34-1",4.72475660613209e-06
"UPK3A",5.10636801441687e-06
"NHLH2",5.52729695960017e-06
"CCNO",6.50770512286548e-06
"PAGE4",7.04414931278634e-06
"TMEM52B",9.99077548767706e-06
"RFX6",1.024e-05
"AFP",1.0319662509721e-05
"PGC",1.17831070387339e-05
"TMEM132C",1.33711681679285e-05
"KCNJ9",1.49325640885162e-05
"PLA2G2E",1.85866566014161e-05
"REG3G",1.92952656794082e-05
"CHGB",1.97571178675552e-05
"FLJ16779",2.03820608049075e-05
"FGF20",2.22629904206581e-05
"SOHLH2",2.25346857896349e-05
"LIX1",2.64594762598917e-05
"ALOX12B",2.72023924365484e-05
"TEX19",2.79819408579758e-05
"EDDM3A",3.29452571845064e-05
"LINC01777",4.18821940963286e-05
"CDCA7",4.26488962932111e-05
"NKAIN4",4.28422054286027e-05
"DPEP1",4.58214443189975e-05
"MYH7B",4.78921468852145e-05
"LIN28B",5.11288079574955e-05
"CASKIN1",5.184e-05
"GABRA3",5.3484672671714e-05
"CSN2",5.96519793835902e-05
"PRR9",6.03791812583022e-05
"PRTG",6.24422490628905e-05
"CTNNA2",6.441737735872e-05
"MYCN",6.8452775136689e-05
"PNMT",7.14025e-05
"LMO1",7.41246926340145e-05
"PITX2",7.54217454472217e-05
"ASCL5",7.70893170345452e-05
"PEG13",8.84367513536027e-05
"PCP4",9.21357056571323e-05
"LINC00237",9.21795928779675e-05
"LEF1",9.67871472103134e-05
"HTR1D",0.000100020409204498
"DGKK",0.000100404970581711
"SP9",0.000101119459269959
"HS3ST5",0.000104123281965847
"ZIC4",0.000120340513511356
"FGF8",0.000130577814139927
"SOX11",0.000141232963773745
"CST4",0.000152305962412811
"VAX2",0.000152446897126198
"IRX3",0.00015806647334444
"PENK",0.000163796810057124
"IGFBPL1",0.000167793889905448
"RFLNA",0.000181682718830469
"WIF1",0.00018211227092878
"GJB6",0.000188529712619742
"CA4",0.000195115286339025
"MME",0.000199467500563159
"EDN3",0.000201871903373594
"PART1",0.000202553980996155
"PLPPR5",0.000227518783357408
"MCCD1",0.000231971061864925
"PAX2",0.000241516725033209
"CPLX2",0.000249630301500231
"SIX1",0.000254207231361933
"NKX2-5",0.00026244
"CYP4F29P",0.000270766155400552
"DLX6",0.000270871138067472
"HOXA11",0.000286017644092095
"COL11A2",0.000288341192211579
"GRM3",0.000297386505622657
"PANX3",0.000301686981788887
"SLC6A2",0.000313004592588147
"SLC35D3",0.000317774168490926
"RASGRF1",0.0003258025
"CPA2",0.000330572572751564
"NAT8L",0.000335712136609746
"INSRR",0.000366800667430237
"TBX5-AS1",0.000386301405351559
"VWA2",0.000403111816785978
"ZIC1",0.000404477837079838
"CCL25",0.000413615809167766
"DLX5",0.000423072117813363
"KCNK9",0.000423351620158267
"ATP1A2",0.000435403582882132
"SCG2",0.000442084247552136
"MMP12",0.000447711053727613
"SPINK4",0.000457697633728062
"ODAM",0.000461514226296157
"DMP1",0.000481362054045426
"LINGO1",0.0004862025
"IGSF1",0.000517647967804353
"SULT4A1",0.000530311553281416
"BPIFB2",0.000543206078558491
"TLX2",0.000543412631324719
"DLX3",0.000555804681382757
"FOXJ1",0.00057647110906026
"FBN3",0.000583303284707665
"CENPF",0.00058564
"TERT",0.0005960075
"LOC153910",0.000601000234277384
"LINC02323",0.000616660658059142
"CPA5",0.000625580422499613
"TINAG",0.000631996620437246
"SRARP",0.000632625157226156
"ABHD12B",0.000662532549792412
"PRSS2",0.000678795709024996
"LINC00616",0.000702822026826742
"APCDD1",0.000735018493336109
"DLK1",0.000771762416701374
"DIRAS1",0.000790642582257393
"KCNJ10",0.000800516022000592
"NPTX1",0.000809867056434819
"HMGA2",0.000826940747538151
"CPA1",0.000835892663287406
"TRIM71",0.000872429080878041
"AMBN",0.000910075133429634
"CD8B",0.000911300558100791
"SERPINI1",0.000979089997870205
"ADAMTS19",0.000994689556992306
"SEZ6L",0.000999075985006249
"HOXD1",0.00102197651082882
"FDCSP",0.00102373006285703
"COL2A1",0.00105187380801465
"PNCK",0.00108306462160221
"IGDCC3",0.00109304456476468
"CA7",0.00119772300368911
"KRTAP3-1",0.00120674792715555
"PLPPR4",0.001238713376057
"COL9A3",0.00124623408579759
"RPSAP52",0.00126992759548241
"EMX2",0.0012710966739637
"SORCS1",0.00127325172948771
"OTOG",0.00129470594062846
"IHH",0.00130070630570595
"ADAMTS20",0.00130389782087565
"DAPL1",0.00131984512842634
"GNG4",0.0013286025
"KRT28",0.00133711681679285
"CHRNA1",0.0013707536617153
"GRPR",0.00140480835564299
"TSPAN5",0.00142408028493082
"HTR1F",0.00143928089857593
"FZD10",0.00147417129051412
"SP5",0.00153664
"MSX2",0.00156824081736776
"FGF4",0.00161791134831935
"ATP6V1B1",0.00163290212515619
"LOC107985075",0.00166597251145356
"SALL3",0.00169228847125345
"DUSP9",0.00171166510823344
"GABRQ",0.00178990016871084
"UBE2C",0.00190389745860993
"SST",0.0019254482161817
"CCDC33",0.00193744550580204
"SP6",0.00194895220324865
"RBP2",0.00198670320803832
"KCNU1",0.00200651092319977
"BIRC7",0.002025
"DQX1",0.00204075357247902
"DLX2",0.00204766905021668
"HS6ST2",0.00206384781445231
"DUXAP8",0.00213123885126623
"ZNF695",0.00214321757705123
"SP7",0.00218375012078301
"PRR36",0.00220339378736042
"DPP10-AS1",0.00222485487817576
"SYT14",0.00234747571148195
"PIMREG",0.00235165615993336
"FAM183A",0.00245
"SPINK1",0.00247547213385742
"IBSP",0.00248223201567435
"CACNG4",0.00249582534342492
"SLN",0.00252798648174898
"MT3",0.00252906357351104
