"Name","Score"
"SLITRK3",3.48964865519409e-05
"FGF14-IT1",7.6293497933928e-05
"CYP2A7",0.000278061426354233
"SERTM2",0.000333547606669817
"CYP26A1",0.000357340022291875
"MYH4",0.000394077985195909
"KRT16P3",0.000561482313307131
"LOC101929427",0.00060593431003723
"FCAMR",0.000615574022776239
"SAA2",0.00080401505015672
"CYP2A6",0.000959028184772764
"LINC02153",0.00122069596694285
"GSTA2",0.00127681267203474
"ADH1C",0.00134142094305661
"SAA1",0.00152009095420255
"CYP2C19",0.00183861024773003
"UGT1A9",0.00258094414538155
"SLC22A1",0.00270238391858231
"ARL14",0.0028304257208711
"CYP1A2",0.00295363862175628
"CNDP1",0.00308345355172951
"SEC14L3",0.00392096922897609
"LOC102467222",0.00393510512897227
"CXorf66",0.0040703261914184
"CYP2B7P",0.00477244203191653
"BBOX1",0.00488278386777139
"C2CD4A",0.00505334081976418
"HRG",0.00510725068813898
"CYP2B6",0.00554016620498615
"HSD17B13",0.00571744035667001
"CYP2A13",0.0060803638168102
"HORMAD2",0.00643198324317355
"SLC3A1",0.00645445415264701
"SOX10",0.00668337510442773
"MT1H",0.0072992700729927
"SAA2-SAA4",0.00743853507341174
"PCDH9-AS2",0.0075187969924812
"FAM83A-AS1",0.00786075238629983
"ROS1",0.00842223469960696
"PLGLB2",0.00849240896728035
"C3P1",0.00871155890282654
"HAO2-IT1",0.00877942698538854
"LINC01564",0.00907955677891374
"TRIM40",0.00954519932622123
"CRYAA",0.00961607583425285
"CYP2C8",0.00984918436441982
"CIDEA",0.0101066816395284
"RNF165",0.0114913140483127
"LINC00659",0.0115591122054649
"THRSP",0.0128642408025075
"CYP1A1",0.0130745617616358
"IL1RAPL2",0.0139585946207764
"LINC01767",0.013998280558935
"TTC36",0.0145225218434558
"UBE2DNL",0.014567644431946
"CAMK2B",0.0148086730331817
"MUC5B",0.0150375939849624
"NAT2",0.0156838769159044
"HSD11B1",0.0156906090585603
"LINC01043",0.0158730158730159
"SRD5A2",0.0159811949813269
"FGF23",0.0162829870859068
"IL6",0.0167084377610693
"GREM2",0.0168898994911394
"GBP7",0.0171983844322586
"LOC101928858",0.0175096610923019
"AKR7A3",0.0179270804401441
"SLC10A1",0.018140589569161
"HAO2",0.0186534449824572
"LINC01847",0.0188709760302854
"GLYAT",0.019435947149969
"CLRN3",0.0204290027525559
"GBA3",0.0204367783842787
"MT1G",0.0207748455923638
"SLPI",0.0207759722335636
"LINC01831",0.0208855026906069
"USP2",0.0213470468268683
"MFSD2A",0.0220488209029052
"HAMP",0.0225138172638502
"PRSS22",0.0233234157518553
"ASCL1",0.0239543442287144
"MT1JP",0.0243214552672408
"FETUB",0.0244700360439488
"RDH16",0.025817816610588
"PON1",0.0261988862437352
"LINC01018",0.0269694006668021
"ANXA10",0.0273588454567217
"GLS2",0.0277510819655655
"PRAMEF33",0.0280741156653565
"MAJIN",0.0285439301400256
"CRP",0.0291970802919708
"BCO2",0.0297541402936469
"BMP10",0.0299650594695206
"ADCY8",0.0300751879699248
"ASPG",0.0305749056573486
"PLET1",0.0307954605999254
"NNMT",0.0308815272318922
"GABRA2",0.0309106098579783
"SDS",0.0309894759175857
"ZG16",0.0310747830758323
"PPP1R1A",0.0313553666012918
"LGSN",0.0314068378967469
"XDH",0.0322499370118418
"IDO2",0.0331042030026333
"SERPINB2",0.0334168755221387
"NRG1",0.0336889387984279
"ALDOB",0.0339696358691214
"TBX15",0.0342305595812811
"UGT1A3",0.034250421111735
"GUCA2B",0.0348119034250421
"ANKRD1",0.0350877192982456
"LOC100132686",0.0357340022291876
"SLC1A1",0.0359348680516564
"VNN1",0.0361820731165145
"MT1M",0.0364963503649635
"TRPM8",0.0369260530000211
"SAA4",0.0380022738550637
"LINC02085",0.0393037619314991
"TDO2",0.0393967374576793
"UGT1A4",0.0409882088714206
"CFHR3",0.0415496911847277
"CRYAA2",0.0422610410738626
"FA2H",0.0426065162907268
"MLIP-IT1",0.0426726558113419
"APOF",0.0427481960261277
"F9",0.0432381426973169
"HPGD",0.0439450548099425
"MOGAT2",0.0456254033388179
"PI16",0.0476190476190476
"CLEC1B",0.0477259966311061
"LINC02160",0.0480308553604537
"CYP3A4",0.048811809529393
"PLP1",0.0492898913951546
"PIGR",0.0493352568276721
"NPTX2",0.0498112449042405
"HABP2",0.0498614958448753
