	Size	liver_PPI
ClusterID:266	1	0
ClusterID:267	1	0
ClusterID:268	1	0
ClusterID:269	1	0
ClusterID:270	1	0
ClusterID:271	11	32
ClusterID:272	1	0
ClusterID:273	3	3
ClusterID:274	1	0
ClusterID:275	17	110
ClusterID:276	1	0
ClusterID:277	1	0
ClusterID:278	1	0
ClusterID:279	45	512
ClusterID:280	9	16
ClusterID:281	2	1
ClusterID:282	1	0
ClusterID:283	4	4
ClusterID:284	1	0
ClusterID:285	1	0
ClusterID:286	1	0
ClusterID:287	1	0
ClusterID:288	1	0
ClusterID:289	3	3
ClusterID:290	6	12
ClusterID:291	1	0
ClusterID:292	1	0
ClusterID:293	1	0
ClusterID:294	1	0
ClusterID:295	1	0
ClusterID:296	13	54
ClusterID:297	1	0
ClusterID:298	1	0
ClusterID:299	3	3
ClusterID:300	1	0
ClusterID:301	1	0
ClusterID:302	2	1
ClusterID:303	1	0
ClusterID:304	1	0
ClusterID:305	4	6
ClusterID:306	18	86
ClusterID:307	1	0
ClusterID:308	1	0
ClusterID:309	1	0
ClusterID:310	1	0
ClusterID:311	2	1
ClusterID:312	1	0
ClusterID:313	2	1
ClusterID:314	13	36
ClusterID:315	1	0
ClusterID:316	1	0
ClusterID:317	1	0
ClusterID:318	5	7
ClusterID:319	2	1
ClusterID:320	1	0
ClusterID:321	2	1
ClusterID:322	1	0
ClusterID:323	4	3
ClusterID:324	1	0
ClusterID:325	2	1
ClusterID:326	2	1
ClusterID:327	1	0
ClusterID:328	1	0
ClusterID:329	2	1
ClusterID:330	8	28
ClusterID:331	3	2
ClusterID:332	2	1
ClusterID:333	1	0
ClusterID:334	1	0
ClusterID:335	1	0
ClusterID:336	3	3
ClusterID:337	1	0
ClusterID:338	1	0
ClusterID:339	5	9
ClusterID:340	1	0
ClusterID:341	1	0
ClusterID:342	23	194
ClusterID:343	3	2
ClusterID:344	7	14
ClusterID:345	13	44
ClusterID:346	2	1
ClusterID:347	1	0
ClusterID:348	5	6
ClusterID:349	1	0
ClusterID:350	1	0
ClusterID:351	1	0
ClusterID:352	2	1
ClusterID:353	1	0
ClusterID:354	3	3
ClusterID:355	1	0
ClusterID:356	1	0
ClusterID:357	5	8
ClusterID:358	1	0
ClusterID:359	1	0
ClusterID:360	12	36
ClusterID:361	1	0
ClusterID:362	1	0
ClusterID:363	2	1
ClusterID:364	2	1
ClusterID:365	1	0
ClusterID:366	6	13
ClusterID:367	1	0
ClusterID:368	1	0
ClusterID:369	1	0
ClusterID:370	1	0
ClusterID:371	1	0
ClusterID:372	2	1
ClusterID:373	1	0
ClusterID:374	1	0
ClusterID:375	1	0
ClusterID:376	1	0
ClusterID:377	6	11
ClusterID:378	1	0
ClusterID:379	5	10
ClusterID:380	6	15
ClusterID:381	1	0
ClusterID:382	1	0
ClusterID:383	1	0
ClusterID:384	4	4
ClusterID:385	1	0
ClusterID:386	2	1
ClusterID:387	1	0
ClusterID:388	7	13
ClusterID:389	1	0
ClusterID:390	1	0
ClusterID:391	1	0
ClusterID:392	1	0
ClusterID:393	1	0
ClusterID:394	1	0
ClusterID:395	1	0
ClusterID:396	4	6
ClusterID:397	6	10
ClusterID:398	3	2
ClusterID:399	3	3
ClusterID:400	1	0
ClusterID:401	1	0
ClusterID:402	2	1
ClusterID:403	1	0
ClusterID:404	1	0
ClusterID:405	22	182
ClusterID:406	1	0
ClusterID:407	4	5
ClusterID:408	1	0
ClusterID:409	1	0
ClusterID:410	1	0
ClusterID:411	1	0
ClusterID:412	1	0
ClusterID:413	1	0
ClusterID:414	4	3
ClusterID:415	1	0
ClusterID:416	1	0
ClusterID:417	3	3
ClusterID:418	1	0
ClusterID:419	1	0
ClusterID:420	1	0
ClusterID:421	14	73
ClusterID:422	4	4
ClusterID:423	2	1
ClusterID:424	4	4
ClusterID:425	4	5
ClusterID:426	1	0
ClusterID:427	1	0
ClusterID:428	1	0
ClusterID:429	1	0
ClusterID:430	3	2
ClusterID:431	1	0
ClusterID:432	2	1
ClusterID:433	2	1
ClusterID:434	5	4
ClusterID:435	1	0
ClusterID:436	1	0
ClusterID:437	1	0
ClusterID:438	3	2
ClusterID:439	1	0
ClusterID:440	3	3
ClusterID:441	1	0
ClusterID:442	2	1
ClusterID:443	4	3
ClusterID:444	3	2
ClusterID:445	1	0
ClusterID:446	2	1
ClusterID:447	1	0
ClusterID:448	1	0
ClusterID:449	6	14
ClusterID:450	1	0
ClusterID:451	5	8
ClusterID:452	1	0
ClusterID:453	1	0
ClusterID:454	1	0
ClusterID:455	1	0
ClusterID:456	2	1
ClusterID:457	12	26
ClusterID:458	2	1
ClusterID:459	2	1
ClusterID:460	2	1
ClusterID:461	8	27
ClusterID:462	1	0
ClusterID:463	3	2
ClusterID:464	6	11
ClusterID:465	10	24
ClusterID:466	1	0
ClusterID:467	4	6
ClusterID:468	2	1
ClusterID:469	2	1
ClusterID:470	11	35
ClusterID:471	1	0
ClusterID:472	1	0
ClusterID:473	3	2
ClusterID:474	1	0
ClusterID:475	1	0
ClusterID:476	1	0
ClusterID:477	1	0
ClusterID:478	1	0
ClusterID:479	1	0
ClusterID:480	4	3
ClusterID:481	2	1
ClusterID:482	8	14
ClusterID:483	2	1
ClusterID:484	1	0
ClusterID:485	2	1
ClusterID:486	30	272
ClusterID:487	3	3
ClusterID:488	1	0
ClusterID:489	4	6
ClusterID:490	15	62
ClusterID:491	1	0
ClusterID:492	4	5
ClusterID:493	21	159
ClusterID:494	1	0
ClusterID:495	1	0
ClusterID:496	1	0
ClusterID:497	3	3
ClusterID:498	1	0
ClusterID:499	1	0
ClusterID:500	5	7
ClusterID:501	1	0
ClusterID:502	1	0
ClusterID:503	3	3
ClusterID:504	1	0
ClusterID:505	3	2
ClusterID:506	2	1
ClusterID:507	1	0
ClusterID:508	1	0
ClusterID:509	1	0
ClusterID:510	1	0
ClusterID:511	1	0
ClusterID:512	2	1
ClusterID:513	3	3
ClusterID:514	1	0
ClusterID:515	1	0
ClusterID:516	13	30
ClusterID:517	1	0
ClusterID:518	5	7
ClusterID:519	2	1
ClusterID:520	1	0
ClusterID:521	1	0
ClusterID:522	2	1
ClusterID:523	1	0
ClusterID:524	2	1
ClusterID:525	1	0
ClusterID:526	4	3
ClusterID:527	1	0
ClusterID:528	1	0
ClusterID:529	1	0
ClusterID:530	1	0
ClusterID:531	1	0
ClusterID:532	4	3
ClusterID:533	1	0
ClusterID:534	1	0
ClusterID:535	2	1
ClusterID:536	12	62
ClusterID:537	1	0
ClusterID:538	1	0
ClusterID:539	1	0
ClusterID:540	1	0
ClusterID:541	1	0
ClusterID:542	3	2
ClusterID:543	1	0
ClusterID:544	2	1
ClusterID:545	1	0
ClusterID:546	1	0
ClusterID:547	1	0
ClusterID:548	1	0
ClusterID:549	1	0
ClusterID:550	1	0
ClusterID:551	1	0
ClusterID:552	1	0
ClusterID:553	1	0
ClusterID:554	1	0
ClusterID:555	2	1
ClusterID:556	1	0
ClusterID:557	18	99
ClusterID:558	5	10
ClusterID:559	3	2
ClusterID:560	2	1
ClusterID:561	1	0
ClusterID:562	1	0
ClusterID:563	2	1
ClusterID:564	1	0
ClusterID:565	1	0
ClusterID:566	1	0
ClusterID:567	11	25
ClusterID:568	5	10
ClusterID:569	1	0
ClusterID:570	1	0
ClusterID:571	6	6
ClusterID:572	1	0
ClusterID:573	5	6
ClusterID:574	1	0
ClusterID:575	2	1
ClusterID:576	1	0
ClusterID:577	2	1
ClusterID:578	1	0
ClusterID:579	1	0
ClusterID:580	2	1
ClusterID:581	1	0
ClusterID:582	1	0
ClusterID:583	1	0
ClusterID:584	1	0
ClusterID:585	4	3
ClusterID:586	1	0
ClusterID:587	1	0
ClusterID:588	1	0
ClusterID:589	1	0
ClusterID:590	1	0
ClusterID:591	6	5
ClusterID:592	1	0
ClusterID:593	1	0
ClusterID:594	1	0
ClusterID:595	3	3
ClusterID:596	1	0
ClusterID:597	1	0
ClusterID:598	9	29
ClusterID:599	6	10
ClusterID:600	1	0
ClusterID:601	1	0
ClusterID:602	7	7
ClusterID:603	2	1
ClusterID:604	2	1
ClusterID:605	1	0
ClusterID:606	1	0
ClusterID:607	5	5
ClusterID:608	1	0
ClusterID:609	4	3
ClusterID:610	1	0
ClusterID:611	1	0
ClusterID:612	1	0
ClusterID:613	2	1
ClusterID:614	15	91
ClusterID:615	4	6
ClusterID:616	1	0
ClusterID:617	7	21
ClusterID:618	2	1
ClusterID:619	3	3
ClusterID:620	2	1
ClusterID:621	2	1
ClusterID:622	3	3
ClusterID:623	2	1
ClusterID:624	1	0
ClusterID:625	3	2
ClusterID:626	1	0
ClusterID:627	28	109
