"","Name","Score"
"TMEM52B","TMEM52B",0.337209302325581
"TRPM5","TRPM5",0.346666666666667
"DAPL1","DAPL1",0.348837209302326
"HS3ST5","HS3ST5",0.36046511627907
"DKK1","DKK1",0.372093023255814
"MYADML2","MYADML2",0.373333333333333
"MYCN","MYCN",0.383720930232558
"CPNE9","CPNE9",0.386666666666667
"ALOX12B","ALOX12B",0.395348837209302
"C12orf40","C12orf40",0.4
"LINC01777","LINC01777",0.406976744186047
"UCHL1","UCHL1",0.413333333333333
"HIST1H2BH","HIST1H2BH",0.418604651162791
"NQO1","NQO1",0.426666666666667
"CCNO","CCNO",0.430232558139535
"CTCFL","CTCFL",0.44
"PAGE4","PAGE4",0.441860465116279
"PRSS21","PRSS21",0.453333333333333
"ADRA2C","ADRA2C",0.453488372093023
"FLJ16779","FLJ16779",0.465116279069767
"STXBP5L","STXBP5L",0.466666666666667
"RFX6","RFX6",0.476744186046512
"LINC02864","LINC02864",0.48
"IGSF1","IGSF1",0.488372093023256
"SEZ6L","SEZ6L",0.493333333333333
"DQX1","DQX1",0.5
"SYNGR4","SYNGR4",0.506666666666667
"TRIM71","TRIM71",0.511627906976744
"CXCL17","CXCL17",0.52
"PART1","PART1",0.523255813953488
"SLC30A3","SLC30A3",0.533333333333333
"CHGB","CHGB",0.534883720930233
"FGF20","FGF20",0.546511627906977
"PTX4","PTX4",0.546666666666667
"LIX1","LIX1",0.558139534883721
"TTBK1","TTBK1",0.56
"LEF1","LEF1",0.569767441860465
"NEFH","NEFH",0.573333333333333
"AQP6","AQP6",0.581395348837209
"EPHX4","EPHX4",0.586666666666667
"SLC6A2","SLC6A2",0.593023255813954
"PKP3","PKP3",0.6
"BPIFB2","BPIFB2",0.604651162790698
"CCL25","CCL25",0.616279069767442
"AP1M2","AP1M2",0.626666666666667
"PTGDR2","PTGDR2",0.627906976744186
"CCR10","CCR10",0.64
"CTNNA2","CTNNA2",0.651162790697674
"CYP2W1","CYP2W1",0.653333333333333
"LINC02418","LINC02418",0.666666666666667
"PRTG","PRTG",0.674418604651163
"OTOAP1","OTOAP1",0.68
"SULT4A1","SULT4A1",0.686046511627907
"EMX1","EMX1",0.693333333333333
"PNMT","PNMT",0.697674418604651
"STAR","STAR",0.706666666666667
"ST18","ST18",0.709302325581395
"NFE4","NFE4",0.72
"PEG13","PEG13",0.720930232558139
"CPA1","CPA1",0.732558139534884
"SCART1","SCART1",0.733333333333333
"PRR36","PRR36",0.744186046511628
"LINC00639","LINC00639",0.746666666666667
"SLC6A7","SLC6A7",0.755813953488372
"HAVCR1","HAVCR1",0.76
"HIST3H2A","HIST3H2A",0.767441860465116
"CLEC18C","CLEC18C",0.773333333333333
"IRX3","IRX3",0.779069767441861
"TMEM225B","TMEM225B",0.786666666666667
"KCNJ10","KCNJ10",0.790697674418605
"LINC00958","LINC00958",0.8
"CA4","CA4",0.802325581395349
"HASPIN","HASPIN",0.813333333333333
"ABHD12B","ABHD12B",0.813953488372093
"CDCA7","CDCA7",0.818009734991888
"GRM3","GRM3",0.825581395348837
"GXYLT2","GXYLT2",0.826666666666667
"RNF157","RNF157",0.837209302325581
"GPAT2","GPAT2",0.84
"FERMT1","FERMT1",0.848837209302326
"GPR35","GPR35",0.853333333333333
"CACNG4","CACNG4",0.86046511627907
"LINC02882","LINC02882",0.866666666666667
"LINGO1","LINGO1",0.872093023255814
"CASKIN1","CASKIN1",0.878583017847485
"LINC01748","LINC01748",0.88
"SERPINI1","SERPINI1",0.883720930232558
"PIP5K1B","PIP5K1B",0.893333333333333
"CENPF","CENPF",0.895348837209302
"LOC107985433","LOC107985433",0.906666666666667
"RHBG","RHBG",0.906976744186046
"TSPAN5","TSPAN5",0.918604651162791
"FBXL13","FBXL13",0.92
"CCDC170","CCDC170",0.930232558139535
"POU2AF1","POU2AF1",0.933333333333333
"LYPD1","LYPD1",0.941860465116279
"MIOX","MIOX",0.946666666666667
"MDK","MDK",0.953488372093023
"ABCA3","ABCA3",0.96
"MEG8","MEG8",0.965116279069767
"TMC7","TMC7",0.973333333333333
"CTSV","CTSV",0.976744186046512
"FIRRE","FIRRE",0.986666666666667
"SIX4","SIX4",0.988372093023256
"TBX19","TBX19",1
"TBX2-AS1","TBX2-AS1",1
"IGFALS","IGFALS",1
