"","log2FoldChange","padj"
"WIF1",-6.96691817386475,3.45438521084347e-08
"PGC",-6.89401160816972,3.45438521084347e-08
"DEFA6",-6.88989267276239,0.0247230048330548
"PRAME",-6.70090116131235,0.0161378403428117
"SST",-6.25803698801858,0.0346268823427501
"AMBN",-5.0208980554309,0.00681351528137167
"DLX3",-4.92077741681728,0.0232721942490189
"LIX1",-4.24988707874873,6.73850610913235e-07
"STRA6",-4.22197800605954,0.000291399662522135
"CRABP2",-4.18604553149786,4.26215833187358e-06
"IRX5",-4.15790581236776,0.0309141046685
"DKK4",-4.14412403275731,0.010836237313152
"SEZ6L",-3.99483784532038,0.00044314099870869
"SIX1",-3.56844438905923,0.00681351528137167
"FZD10",-3.4957861504076,0.0196249730876334
"CACNG4",-3.24972467950206,0.00584382967895926
"COL24A1",-3.19733687096644,0.00382548805295912
"NQO1",-3.17624612854558,0.00104962695676856
"HTR1D",-3.17240176445742,0.0152692464892399
"SLC6A4",-3.05775099425998,0.000302938292833942
"SIX4",-2.85840265943552,0.00588180088290374
"PYCR1",-2.78696162324262,0.00681351528137167
"COL11A2",-2.77835134496895,0.00485045940188119
