"","log2FoldChange","padj"
"AGR2",20.7607789017688,1.38596257662392e-09
"BLOC1S5-TXNDC5",20.5600105558518,9.84075770274822e-05
"TBC1D3C",20.2862812089453,0.000589003419689436
"DMP1",19.5018999497918,0.000379260573174049
"LIN28B",9.64378544571499,0.0372698382910309
"NXPH3",8.90303297310241,0.00384834878947503
"NME1-NME2",8.65770497331228,0.0424424639753094
"MAP7D2",8.45682844233908,0.00384834878947503
"COMP",8.26496181092218,0.0445181668583613
"TRH",8.11177493199228,0.034168959165646
"PGC",7.9460301866068,0.0303083213328185
"COL2A1",7.80840910015905,0.000243947473377722
"EFNA3",7.25294652264755,0.0445181668583613
"VASH2",7.14364893664696,0.0263387375889188
"DPEP1",6.60204060904638,0.0339309148021001
"HMGA2",6.43233014549687,0.0424424639753094
"RAD54L",6.12808253798114,0.0381450076285692
