"","log2FoldChange","padj"
"DEFA6",27.6571703662192,1.47866728343075e-07
"MAGEA3",26.9957319543516,9.64965440636783e-06
"GAGE1",14.1917187160241,0.0318918737826106
"PAGE1",12.5812845056634,0.0149030297143237
"DEFA5",12.5576321814307,0.0149030297143237
"CPLX2",10.3040843167666,0.0126082358795437
"LINC02525",9.8788213815463,0.00687188312181446
"CACNA1S",9.75357840452691,0.000617577505938923
"DKK4",9.36204129815834,0.0100191704102755
"PITX2",9.27825769332268,0.0229940934218461
"FGF8",9.25468201530928,0.0266476761606992
"LINC02404",9.19969951446247,0.0342017557703391
"TEX19",9.15333312242813,0.0149030297143237
"PNCK",8.91778513334388,0.0461529420506618
"MEP1A",8.89286954524586,0.000388085577837427
"MYO18B",8.52329561668003,0.0150131548668098
"LINC00942",8.45237719897298,5.19214289992259e-07
"ALOX15B",8.20168246916624,0.000186752822250836
"PDIA2",8.17310345906027,2.14150161613432e-06
"TRIM54",8.0612822064894,0.000211081406300744
"LMAN1L",7.83994732548363,0.019963996619045
"DUXAP8",7.80732899247422,0.00281834210270668
"DNAJC5G",7.80286936473165,0.00461029810397605
"LINC01960",7.78570576639709,0.0102862228000168
"DDX4",7.75331038079469,0.0114832569307167
"TRPM5",7.49111926300694,5.19668584542767e-05
"CASKIN1",7.43434461218415,0.0101673527824542
"MYADML2",7.26636065825233,0.000246930239012295
"CPNE9",7.11083491635403,0.0102681356125819
"C12orf40",7.02782086094672,8.47919517288651e-05
"UCHL1",6.8886038627104,0.00386483192682993
"NQO1",6.87056081667785,0.000458857157749127
"CTCFL",6.81601670931664,7.5924372357854e-13
"PRSS21",6.7669845898309,0.00536471066131546
"STXBP5L",6.69825806151006,0.0380119382847001
"LINC02864",6.69801427343533,1.1129497559978e-07
"SEZ6L",6.67094518599531,0.0383704042725636
"SYNGR4",6.61870094047282,0.0114848069509851
"CXCL17",6.55479639785211,0.00184369322565357
"SLC30A3",6.45272209754339,0.0149030297143237
"PTX4",6.08991331810829,0.000168952898243186
"TTBK1",5.92189734593983,0.000186752822250836
"NEFH",5.81686583938829,2.14150161613432e-06
"EPHX4",5.79708951496022,0.0017797353185169
"PKP3",5.78018426287457,0.0318918737826106
"CDCA7",5.77924112792214,0.0057425368930215
"AP1M2",5.69175770949068,0.0148022017185997
"CCR10",5.59787438836147,0.000131034770808606
"CYP2W1",5.59369631232658,1.76810038666954e-05
"LINC02418",5.40560931912417,0.01973753687958
"OTOAP1",5.40234813920368,0.0118864947789708
"EMX1",5.3688580916705,0.0162952691391431
"STAR",5.16854476998816,0.0235155030050909
"NFE4",5.07162119308842,0.0149030297143237
"SCART1",5.07079424286505,1.09649675507559e-06
"LINC00639",4.99884190780765,0.000186752822250836
"HAVCR1",4.958327953135,0.0461529420506618
"CLEC18C",4.87910881143833,0.0286922634162049
"TMEM225B",4.81000501070345,0.000670797788003213
"LINC00958",4.75301434203575,6.79359204833065e-08
"HASPIN",4.72991106692281,0.0496533160741924
"GXYLT2",4.61721338583277,0.0460640723923152
"GPAT2",4.41889111997647,0.00530800920955116
"GPR35",4.39883077985419,0.000186752822250836
"LINC02882",4.37743928075343,0.0461529420506618
"LINC01748",4.26796950614321,0.0278739909034616
"PIP5K1B",4.14358997858581,0.0380529517688712
"LOC107985433",4.01285098625081,0.00569793292010969
"FBXL13",3.91426949769782,0.00689200872016332
"POU2AF1",3.86976169124636,0.00738998737952266
"MIOX",3.61140317750011,0.00596679351900686
"ABCA3",3.58915260772916,0.0278739909034616
"TMC7",3.54349573368949,0.0161631267209879
"FIRRE",3.18526273675859,0.0318918737826106
"TBX19",2.62456015903847,0.03257517131634
