Genes	ids
HMGCS2	403
8041_AT1	404
AKR1D1	405
ACSS2	406
SLC4A9	407
SLC2A5	408
LIPF	409
PIK3C2A	410
PCYT1A	411
SGPP2	412
286297_AT1	413
PLCD1	414
ST6GALNAC4	415
PXDNL	416
RDH13	417
CKMT2	418
UGGT2	419
GALNT3	420
UGT2B28	421
AMY1C	422
ACOT8	423
LDHAL6B	424
SLC27A4	425
AK4	426
DPEP3	427
DGKG	428
PNP	429
B4GALNT4	430
GALE	431
CYP19A1	432
CYP2C9	433
PIGB	434
PIGT	435
ALDH3A1	436
GPX6	437
FUK	438
ELOVL4	439
386757_AT1	440
ADSSL1	441
PAFAH1B2	442
SARDH	443
GM2A	444
SLC16A10	445
PGK2	446
AMY1B	447
PGD	448
ASAH1	449
SLC13A2	450
CHST7	451
PIGK	452
OGT	453
GALNT5	454
IVD	455
HAO2	456
SRD5A3	457
ODC1	458
CYP1A2	459
ENTPD3	460
HSD3B2	461
CYP4X1	462
DLD	463
ACADSB	464
GAMT	465
QDPR	466
B4GALT1	467
TPH2	468
SRD5A2	469
FUCA1	470
NT5C	471
CYP2B6	472
SULT4A1	473
PNLIPRP3	474
SLC24A2	475
ECH1	476
GALNT9	477
P4HA1	478
CPOX	479
SLC13A4	480
UQCRH	481
IDH1	482
SLC6A5	483
PPT2	484
SLC27A6	485
CYP2C8	486
CROT	487
ASS1	488
ABCG8	489
AMPD2	490
HACD1	491
HADH	492
MPC2	493
PIP5K1C	494
FABP6	495
102724197_AT1	496
ATP1A1	497
FABP9	498
GALT	499
B4GALT4	500
ACYP2	501
NT5C1A	502
GGCT	503
NME1	504
DLST	505
SLC5A9	506
MVD	507
HSD3B7	508
645740_AT1	509
NMNAT3	510
GBA	511
EXTL3	512
HEXA	513
ABCC11	514
STT3B	515
158160_AT1	516
SLC27A3	517
UGT2A1	518
GGT2	519
ABCC1	520
GPT	521
FLVCR1	522
PIGC	523
SETDB1	524
ACADM	525
SPTLC2	526
FABP1	527
GPX2	528
TPH1	529
ACAD11	530
ARG1	531
KMT5C	532
GALNTL5	533
SULT1A1	534
UST	535
RBKS	536
GYS1	537
ASL	538
ATP1A2	539
PECR	540
SGMS1	541
ACSL4	542
ATP10A	543
SLC1A1	544
LPIN3	545
MTMR14	546
ALDH4A1	547
CBSL	548
GRHPR	549
PLA2G2E	550
PDE4D	551
SLC9A4	552
RBP2	553
GLDC	554
CFTR	555
NMNAT2	556
