Genes	ids
GNPDA2	1667
PGM3	1668
ESD	1669
MGST2	1670
PHOSPHO1	1671
GLTP	1672
GSTZ1	1673
SLC6A19	1674
GLUD1	1675
KCNJ11	1676
PDE6C	1677
FABP12	1678
SLC24A4	1679
PTPMT1	1680
PYGB	1681
LDHD	1682
CPT1B	1683
COX4I1	1684
SLC20A1	1685
MDH1	1686
GUCY2F	1687
PLA2G6	1688
B3GNT9	1689
ABCD1	1690
AADAT	1691
PIKFYVE	1692
ST8SIA4	1693
PLA2G4A	1694
PIK3R1	1695
MGST3	1696
SLC37A1	1697
SMPD4	1698
GALNT11	1699
ACP6	1700
SLC5A8	1701
ALDH5A1	1702
B4GAT1	1703
ALAS1	1704
LALBA	1705
PLPPR5	1706
ME2	1707
MVK	1708
ACOT13	1709
AANAT	1710
SLC52A1	1711
UGT2B11	1712
DHODH	1713
CYP4F3	1714
PLCH1	1715
RPE	1716
ADCY4	1717
MGAT4C	1718
COX6A1	1719
IDH3A	1720
GUCY2D	1721
FTCD	1722
CYP4F2	1723
DGAT2	1724
PAFAH2	1725
PPCDC	1726
UGT2A3	1727
ALDH18A1	1728
ELOVL2	1729
ECHS1	1730
UGT1A8	1731
TNS2	1732
CTH	1733
BCHE	1734
IDO1	1735
UPP1	1736
PLPP3	1737
PEPD	1738
GCNT3	1739
CYP4A11	1740
SLC25A37	1741
ACSL3	1742
IMPDH2	1743
FH	1744
ST6GALNAC3	1745
HCST	1746
INPP5D	1747
STS	1748
GAPDH	1749
ECI2	1750
UAP1L1	1751
NEU4	1752
PIK3CD	1753
NDUFB4	1754
CMA1	1755
MTHFS	1756
DDO	1757
CA12	1758
ALDH1L1	1759
COX7C	1760
UPRT	1761
SDHD	1762
ABCG5	1763
HPD	1764
PI4KB	1765
FLAD1	1766
SULT1A3	1767
RDH11	1768
PDE10A	1769
PIP5K1B	1770
PDE6B	1771
PLCB1	1772
COQ3	1773
GAA	1774
NAGS	1775
GUCY1B3	1776
CTDSPL2	1777
SLC24A1	1778
TBCB	1779
SLC27A2	1780
MOGAT1	1781
PIGZ	1782
UROC1	1783
HS3ST2	1784
B3GNT4	1785
