ACOX1,ECH1,sbcoa
FASN,SCD5,stcoa
FASN,SLC27A2,ddcacoa
FASN,ACSL5,ddcacoa
FASN,ACSL4,ddcacoa
FASN,SCD,stcoa
FASN,ELOVL1,malcoa
FASN,SPTLC3,pmtcoa
FASN,SLC27A4,hdca
FASN,PIGW,pmtcoa
FASN,ELOVL3,malcoa
FASN,ACSL6,ddcacoa
FASN,SPTLC2,pmtcoa
FASN,SOAT2,ddcacoa
FASN,CPT2,ddcacoa
FASN,344967_AT1,ddcacoa
FASN,FADS2,tdcoa
FASN,ACSBG1,ddcacoa
FASN,CROT,occoa
FASN,FADS6,stcoa
FASN,CYP4F2,hdca
FASN,PGAP1,hdca
FASN,CEL,hdca
FASN,SGPL1,hdca
FASN,ABCA1,hdca
FASN,SLC27A1,hdca
FASN,CYP4A11,hdca
FASN,SLC27A5,hdca
FASN,CLPS,hdca
FASN,CYP4F3,hdca
FASN,SLC27A3,hdca
FASN,LIPA,hdca
FASN,ACACA,malcoa
FASN,LOXL2,malcoa
FASN,ACACB,malcoa
ACSM3,ELOVL5,dcacoa
ACSM3,ACADSB,M02694
ACSM3,ACAD10,btcoa
ACSM3,ACAD8,btcoa
ACSM3,CROT,hxcoa
ACSM3,ACAD11,btcoa
ACSM3,CPT2,btcoa
ACSM3,FABP1,C01601
ACSM3,CD36,C01601
ACSM3,FABP5,C01601
ACSM3,FABP2,C01601
ACSM3,FABP9,C01601
ACSM3,FABP4,C01601
ACSM3,SLC27A1,C01601
ACSM3,FABP12,C01601
ACSM3,FABP6,C01601
ACSM3,SLC27A4,C01601
ACSM3,FABP7,C01601
ACSM3,FABP3,C01601
ACSM3,SLC16A1,but
ACSM3,SLC27A3,C01601
ACSM3,SLC27A6,C01601
ACSM3,SLC5A8,but
ACSM3,CYP4F2,dca
ACSM3,ABCA1,dca
ACSM3,CYP4F3,dca
ACSM3,SLC27A2,dca
ELOVL5,SOAT1,M02052
ELOVL5,ELOVL7,M00862
ELOVL5,FABP1,pmtcoa
ELOVL5,ACOT8,hdca
ELOVL5,ACADL,CE4854
ELOVL5,SPTLC1,pmtcoa
ELOVL5,ACSL1,CE4854
ELOVL5,ACSL3,CE4854
ELOVL5,ACSBG2,CE4854
ELOVL5,ACOT4,CE4854
ELOVL5,ELOVL4,M00862
ELOVL5,ACADVL,CE4854
ELOVL5,SCD5,M00116
ELOVL5,SLC27A2,CE4854
ELOVL5,ACSL5,CE4854
ELOVL5,ACSL4,CE4854
ELOVL5,SCD,M00116
ELOVL5,ELOVL1,M00862
ELOVL5,SPTLC3,pmtcoa
ELOVL5,SLC27A4,hdca
ELOVL5,PIGW,pmtcoa
ELOVL5,ELOVL3,M00862
ELOVL5,ACSL6,CE4854
ELOVL5,SPTLC2,pmtcoa
ELOVL5,SOAT2,M02052
ELOVL5,CPT2,CE4854
ELOVL5,SLC27A1,hdca
ELOVL5,ABCD2,docoscoa
ELOVL5,ACSBG1,CE4854
ELOVL5,344967_AT1,CE4854
ELOVL5,FADS1,lnlncacoa
ELOVL5,FADS2,lnlncacoa
ELOVL5,PPT1,arachdcoa
ELOVL5,PPT2,arachdcoa
ELOVL5,ACOX2,lnlncgcoa
ELOVL5,FADS3,lnlncacoa
ELOVL5,HSD17B10,3ohodcoa
ELOVL5,FADS6,stcoa
ELOVL5,CROT,occoa
ELOVL5,CYP4F2,hdca
ELOVL5,PGAP1,hdca
ELOVL5,CEL,hdca
ELOVL5,SGPL1,hdca
ELOVL5,ABCA1,hdca
ELOVL5,CYP4A11,hdca
ELOVL5,SLC27A5,hdca
ELOVL5,CLPS,hdca
ELOVL5,CYP4F3,hdca
ELOVL5,SLC27A3,hdca
ELOVL5,LIPA,hdca
ELOVL5,ACACA,malcoa
ELOVL5,LOXL2,CE2250
ELOVL5,ACACB,malcoa
ELOVL5,RPL14,arachcoa
ELOVL5,TECR,M02052
ELOVL5,TECRL,M02052
ELOVL5,HSD17B12,M00862
SOAT1,ELOVL7,M02052
SOAT1,FABP1,pmtcoa
SOAT1,ACOT8,pmtcoa
SOAT1,ACADL,M00343
SOAT1,SPTLC1,pmtcoa
SOAT1,ACSL1,M00004
SOAT1,ACSL3,M00004
SOAT1,ACSBG2,M00004
SOAT1,ACOT4,M00004
SOAT1,ELOVL4,M02052
SOAT1,ACADVL,M00343
SOAT1,SCD5,M00004
SOAT1,SLC27A2,M00004
SOAT1,ACSL5,M00004
SOAT1,ACSL4,M00004
SOAT1,SCD,M00004
SOAT1,ELOVL1,M02052
SOAT1,SPTLC3,pmtcoa
SOAT1,SLC27A4,Rtotalcoa
SOAT1,PIGW,pmtcoa
SOAT1,ELOVL3,M02052
SOAT1,ACSL6,M00004
SOAT1,SPTLC2,pmtcoa
SOAT1,SOAT2,HC02027
SOAT1,CPT2,M00004
SOAT1,SLC27A1,arachdcoa
SOAT1,ABCD2,docoscoa
SOAT1,ACSBG1,M00004
SOAT1,344967_AT1,M00004
SOAT1,FADS1,M00123
SOAT1,FADS2,tetpent3coa
SOAT1,PPT1,arachdcoa
SOAT1,PPT2,arachdcoa
SOAT1,ACOX2,tetpent6coa
SOAT1,FADS3,M00123
SOAT1,HSD17B10,M00343
SOAT1,FADS6,stcoa
SOAT1,CH25H,chsterol
SOAT1,STS,chsterol
SOAT1,ABCG5,chsterol
SOAT1,CEL,HC02027
SOAT1,NPC1,chsterol
SOAT1,CYP7A1,chsterol
SOAT1,ABCG8,chsterol
SOAT1,ABCA1,chsterol
