	SLC10A1	CNDP1	ADH1C	NDST4	PLPPR4	HPGD	RDH16	ADCY8	CYP1A2	PNLIPRP2	IDO2	CPA5	LGSN	PNMT	BBOX1	ALDOB	SRD5A2	SULT4A1	STRA6	UGT1A7	SLC3A1	CA4	SLC22A1	HS6ST2	CYP1A1	GLS2	MOGAT2	PLPPR5	GLYAT	CYP2C19	HAO2	CYP11B1	CA7	ACADL	CPA6	SLC6A2	CYP2C8	CYP2A13	HS3ST4	ATP1A2	SLC7A3	SLC1A1	UGT1A3	TDO2	AKR1D1	VNN1	CPA2	NNMT	DPEP1	UGT1A4	GCK	CPA1	CYP2B6	CYP2A6	HS3ST5	CYP3A4	HSD11B1	SDS	CYP2A7	PLA2G2E	ASPG	XDH	RBP2	SLC22A12	UGT1A9	TAT
ACSS3	1.9927744442830904e-05	2.5698992247912016e-05	4.578140968328631e-06	4.242988376053158e-07	9.94034442353027e-07	5.403983158866034e-06	1.6893395852222026e-06	3.82192193083375e-07	4.709200314217503e-05	5.563191453364656e-07	2.8257041981223464e-06	3.3921691948266357e-06	2.1390066167574885e-06	2.350281767869951e-06	0.000205782401619	3.107711483221393e-05	9.03319796640086e-06	4.5613479341658453e-07	1.2100270661885222e-06	4.048519730065984e-06	4.6627831221902775e-06	2.677862379899617e-06	5.149117021029848e-05	4.5613479341658453e-07	4.709200314217503e-05	2.1390066167574885e-06	3.0701425656690728e-06	2.4590628072870564e-08	0.0024613838289329	3.126104192060316e-05	4.3451371820368814e-05	1.2147376149923765e-06	2.677862379899617e-06	0.0001051632110545	3.3921691948266357e-06	5.257190193921459e-06	4.295967683746914e-05	4.8236910149832674e-05	4.5613479341658453e-07	5.788235202701376e-06	5.034417597393929e-06	4.266180925190585e-06	4.040178257078736e-05	2.8257041981223464e-06	5.073888598831621e-06	1.4120032245590987e-06	3.3921691948266357e-06	2.3007419253891936e-06	2.644556253621795e-05	1.573332823543175e-05	2.951146454131504e-07	3.3921691948266357e-06	4.8236910149832674e-05	4.570131549568673e-05	4.5613479341658453e-07	3.9146682328813176e-05	3.423057217245484e-07	0.0001070402171099	4.8236910149832674e-05	1.2557309296125695e-06	2.1726075053362024e-06	2.8600818150386507e-06	1.2100270661885222e-06	7.341784592226974e-05	1.3990531406775309e-05	9.08102220561648e-06
HSD3B7	0.0013378256367079	1.6041469304194452e-06	5.2136646094087285e-05	3.620262261698541e-06	3.8399329518979417e-07	1.151308400400452e-05	5.881658275234204e-06	2.6597251956882427e-05	8.318250222806643e-06	4.901852968152584e-07	3.837737391824523e-07	4.587498149914386e-07	3.7787604748783137e-07	1.4606584812586024e-06	1.3672577347454589e-06	2.577838959870327e-06	0.0001789092339495	3.998838533210802e-06	6.51301807322799e-06	3.0031547083541878e-05	2.6853406320712943e-06	2.8264813749383464e-06	3.02657776525151e-06	3.998838533210802e-06	8.318250222806643e-06	3.7787604748783137e-07	9.72949989628255e-07	4.0979067321898425e-08	1.5235571382521605e-06	5.9049795639942726e-06	3.058871156184989e-06	0.0005630667702233	2.8264813749383464e-06	6.47306911891882e-06	4.587498149914395e-07	4.448696459785934e-06	6.343100252861213e-06	8.518692989374071e-06	3.998838533210802e-06	4.687541137985868e-06	3.321918261137356e-06	3.097893804727355e-06	0.0001005544455517	3.837737391824516e-07	0.0106404489023906	3.331460979756896e-07	4.587498149914395e-07	9.663021251299555e-07	9.94368895097086e-07	2.736191451630314e-05	1.7192673701678205e-07	4.587498149914395e-07	8.518692989374071e-06	2.0882782562468254e-05	3.998838533210802e-06	5.057265286379084e-05	0.0001049717608357	1.0143592181772182e-06	8.518692989374071e-06	1.0361626928210078e-06	4.943034104424604e-07	1.6656791391219967e-06	6.51301807322799e-06	3.293111950918871e-06	1.4296739624611883e-05	3.811931044057152e-07
UGT8	1.572109098965142e-06	5.694027589348523e-07	2.3877598157322213e-06	5.1399073306971855e-05	0.0035682788127349	1.0542664766538867e-06	2.955561952487862e-06	1.4351117346843504e-07	1.8822258515261312e-06	0.0004459632414437	6.751738889535359e-07	8.573317952020352e-07	4.444171606908449e-07	9.001748545792466e-07	4.896164216241584e-07	1.9598200698937745e-06	2.349962850378897e-06	5.313910263524525e-05	3.3585106171485005e-06	1.2430254834607465e-05	2.327037284761815e-05	2.6140360593710618e-06	1.3798259658955683e-06	5.313910263524534e-05	1.8822258515261312e-06	4.444171606908449e-07	0.0001012336513916	5.193726511385922e-06	1.2359273875957249e-06	1.364352514176601e-06	1.8639081057791957e-06	7.76009774269363e-06	2.6140360593710618e-06	1.4002958423687943e-05	8.573317952020352e-07	2.5271738625659954e-06	1.936359207065212e-06	1.924276340010282e-06	5.313910263524534e-05	1.3309541980990744e-06	1.0524820916324876e-06	9.555614272218146e-07	8.909749585312888e-06	6.751738889535347e-07	3.611885624026621e-06	5.385328280953745e-07	8.573317952020352e-07	6.58733431402177e-07	5.714300985273333e-07	1.1130722517349732e-05	4.463017941093639e-05	8.573317952020352e-07	1.924276340010282e-06	2.577050707195033e-06	5.313910263524525e-05	1.916199500202222e-06	1.665142894641246e-06	1.7218766412985563e-06	1.924276340010282e-06	7.118008034847747e-05	4.2796417655071285e-07	9.163425101313604e-07	3.3585106171485005e-06	5.829982269128796e-07	5.929561135257467e-06	4.218979878253376e-07
GPT	7.34073013274244e-05	0.0029002046738469	1.9106539246266184e-05	7.94506614921162e-07	6.810514745234127e-07	8.365163980383788e-06	4.789693933413052e-06	3.130854554242847e-06	3.700436064495921e-06	1.6724479574845436e-07	0.0003498623092412	0.000299319732099	0.0033661703877309	5.005264996069326e-06	3.161786156223707e-05	5.483172820548396e-05	1.2746207552532966e-06	8.822418424319248e-07	3.3721546665159318e-06	2.945874583439944e-06	0.0011247077417245	2.3402222134247625e-05	2.024487645918129e-05	8.822418424319248e-07	3.700436064495921e-06	0.0033661703877309	5.415393205981652e-07	1.449415375536187e-07	0.000129329727961	4.149919477960481e-06	0.0001396374069614	1.2133172160481497e-06	2.3402222134247625e-05	2.5613642659522146e-06	0.000299319732099	8.282904586218902e-05	3.36878863971704e-06	2.758163339815351e-06	8.822418424319248e-07	9.565765137314948e-05	0.0014196702417807	0.0014548059063514	3.832123331857917e-06	0.0003498623092412	2.493345969106788e-06	5.538294432661107e-06	0.000299319732099	4.1911543131394805e-06	0.0003066761897911	3.2131351143473728e-06	3.2559430341766906e-05	0.000299319732099	2.758163339815351e-06	2.6734425462429905e-06	8.822418424319248e-07	3.706708152244485e-06	3.295563431213713e-07	0.0001909876146845	2.758163339815351e-06	2.6979032523317307e-06	0.0003946478570076	6.267714658020969e-05	3.3721546665159318e-06	6.936467932768568e-05	3.557878816256164e-06	0.0026791067812931
HGD	5.74079286541669e-08	1.319775700597249e-07	1.1302690138774333e-07	3.580146367762437e-09	1.907273328715433e-09	1.5360113005120456e-08	4.99350582968798e-08	2.6479741507860354e-09	2.298908953718848e-08	8.152682009130025e-10	2.1844710290134425e-07	1.6711428196875974e-07	9.590739170694057e-07	2.9802967969294264e-08	7.987632572389125e-08	2.465538157517863e-07	2.5720076401389673e-08	3.8038111129011305e-09	1.842371868897937e-08	3.2473833704506194e-08	6.112896612443385e-08	1.8122029109655606e-08	3.3788410283255755e-08	3.8038111129011305e-09	2.298908953718848e-08	9.590739170694057e-07	1.885298568826221e-09	1.0313347040947035e-10	1.4371027554976218e-07	3.086417111098273e-08	5.311106337364179e-07	2.217044440368657e-08	1.8122029109655606e-08	7.480601660851169e-08	1.6711428196875974e-07	5.593196635198216e-08	1.7226619132739834e-07	2.2811536457588242e-08	3.8038111129011305e-09	4.323007386493855e-08	4.6548945986775166e-07	4.646155748607295e-07	3.355925367015908e-07	2.1844710290134425e-07	2.0210562414612262e-08	1.4090043207393151e-08	1.6711428196875974e-07	2.913005142116893e-08	1.144911452783284e-07	4.274891669354834e-07	1.2700718120681509e-08	1.6711428196875974e-07	2.2811536457588242e-08	2.4878607478612884e-08	3.8038111129011305e-09	1.5483623685885004e-07	4.667658697015193e-09	1.5573924816535192e-06	2.2811536457588242e-08	3.734611531791377e-09	1.381591491992856e-06	1.7826539041692277e-07	1.842371868897937e-08	4.1288455109008326e-06	2.3118181532789998e-07	7.19102996984511e-05
EPHX2	9.78809598346969e-06	1.4889012800378514e-06	5.4558323925800064e-05	7.0053177971258e-06	9.84707158625214e-07	2.0825489481393685e-05	1.3494365251071436e-05	4.444645775288062e-07	0.0028795881905613	2.138754617671253e-06	4.309713462680347e-06	3.160825116135115e-07	5.481552579060015e-07	4.08093196581028e-05	1.874482139178032e-06	1.8450648915067304e-06	0.0004816638233436	7.75256850675417e-06	1.4865255043592612e-05	3.143773755882929e-05	1.0078674082076563e-06	3.5009386078673043e-06	6.0541698192451765e-06	7.75256850675417e-06	0.0028795881905613	5.481552579060015e-07	2.0671782968100933e-06	3.226723538057548e-08	4.862278821421441e-06	0.001844255453434	2.092968004051666e-06	1.522027863524956e-05	3.5009386078673043e-06	6.631586499540107e-06	3.160825116135115e-07	2.6011399587387727e-06	0.0016257970192856	0.0029504239163668	7.75256850675417e-06	1.4956130458116188e-06	1.232836522174875e-06	1.152298180022445e-06	5.563048145369122e-05	4.309713462680347e-06	0.0001137626928436	8.544962529549221e-08	3.160825116135115e-07	4.694147864715336e-05	2.6967708668368107e-06	5.34393004342777e-05	1.4643721807470534e-07	3.160825116135115e-07	0.0029504239163668	0.0027785653015255	7.75256850675417e-06	0.0014486100939222	4.171227608272641e-06	1.8436791177841037e-06	0.0029504239163668	3.194024521531673e-06	3.0035538177799706e-07	1.0866888481971284e-06	1.4865255043592612e-05	2.431937708724498e-06	5.210775975107312e-05	8.364984679677163e-07
CHST7	2.0494113182183248e-05	7.012145050850529e-07	4.790684109806115e-06	0.0061830603863191	5.755971770745594e-07	8.556505689561108e-06	1.311455879665217e-06	6.56629112468989e-07	4.220908667512824e-05	3.050093135776897e-07	2.0524540520505188e-06	2.491312991739704e-07	4.7116651993110084e-07	1.6409877378144704e-05	1.790141861061421e-06	1.7214935904882198e-06	3.861379471303941e-05	0.0069291566321519	1.391657740385282e-06	0.000132616759618	9.473277081810592e-07	4.967820121392887e-06	3.203543915337796e-05	0.0069291566321519	4.220908667512831e-05	4.711665199311e-07	5.731115105062925e-07	2.0238409091520407e-07	3.928032391872391e-07	1.552027791360785e-05	2.13073947661366e-06	2.369899653274008e-05	4.967820121392887e-06	5.156777080296504e-07	2.491312991739704e-07	4.618643998464835e-05	2.587883098149651e-05	4.3233930424089774e-05	0.0069291566321519	9.005034212604927e-07	9.788764580704223e-07	7.501460817498891e-07	0.0001021737272175	2.0524540520505188e-06	1.346709146153952e-05	4.7911192327431465e-08	2.491312991739704e-07	2.84283709934064e-06	7.51351885546057e-07	0.0001185109971451	9.109638964012946e-07	2.491312991739704e-07	4.3233930424089774e-05	4.187766907221065e-05	0.0069291566321519	2.476088763840806e-05	2.384703217747845e-05	1.0938885128735588e-05	4.3233930424089774e-05	6.331822271858892e-07	3.221678247848997e-07	5.345178063106992e-06	1.391657740385282e-06	2.169846830267106e-06	6.670678406684354e-05	1.6466271126990886e-06
PFAS	5.903214716049269e-05	0.0001669476629333	7.045703452588942e-06	7.449961169744886e-07	5.142661611616832e-07	7.227285457492221e-06	2.6429463444872944e-06	2.938546749791536e-06	2.683370884482482e-06	1.2523631885792697e-07	0.0001756236484693	0.000232269850416	0.0033632128200446	4.308068404685334e-06	2.8559439925105505e-05	5.1114547322520034e-05	9.512277123873048e-07	8.280721232712315e-07	1.8239378323708336e-06	2.529376251674817e-06	9.616008971164596e-05	2.2276887764886067e-05	1.8261676189785432e-05	8.280721232712315e-07	2.683370884482482e-06	0.0033632128200446	4.409966929231278e-07	1.2935400441991277e-07	7.507149539176827e-05	3.282639559375006e-06	6.39829540333168e-05	5.23013450490449e-07	2.2276887764886067e-05	1.920923186041077e-06	0.000232269850416	6.611458796827705e-05	2.8532619375828435e-06	2.225486547240185e-06	8.280721232712315e-07	7.65458919692647e-05	0.0001256700082397	0.0014401797126528	3.196812553278034e-06	0.0001756236484693	1.812095611336326e-06	4.499214349033493e-06	0.000232269850416	3.717469536500671e-06	0.0002134943291182	2.803354072847984e-06	2.8281297320173445e-05	0.000232269850416	2.225486547240185e-06	2.15733920182249e-06	8.280721232712315e-07	3.136681313595712e-06	1.9609540375816198e-07	0.0001565470995962	2.225486547240185e-06	2.189163661431052e-06	0.0004020309014914	6.062137712044129e-05	1.8239378323708336e-06	6.220244090316023e-05	3.0863540018667312e-06	0.0026646445566198
GGT6	7.18127946435278e-05	0.0001783989700947	5.56895427008415e-05	3.362315622431388e-06	5.031546458377392e-07	0.0001780650156341	3.5672855473799337e-05	3.624651912655661e-05	2.9563252288859645e-05	4.890647627546059e-07	6.706251108436965e-05	0.0001451418263149	0.0033209402085517	1.2208500433760058e-05	8.880254536836601e-06	5.644083356690098e-05	9.174779245141111e-06	3.7154034941542415e-06	3.783721545883492e-05	4.399250654439985e-05	7.655174848116762e-05	7.74717178942102e-05	4.076500562337811e-05	3.7154034941542415e-06	2.95632522888597e-05	0.0033209402085517	5.200488075237962e-07	1.1300707844505237e-07	8.002249081578964e-05	2.3721055489369937e-05	9.77513617615118e-05	2.715561541057664e-06	7.74717178942102e-05	2.315721013530928e-06	0.0001451418263149	5.014707722988766e-05	2.1710567475067056e-05	3.008233815306877e-05	3.7154034941542415e-06	4.8147378672054174e-05	0.000105047310327	0.0014286291416576	3.4095058105311576e-05	6.706251108436953e-05	9.836433803243094e-06	2.999410401810463e-06	0.0001451418263149	4.029019935849455e-06	0.0029317926857792	4.099316261763518e-05	2.466591812519597e-05	0.0001451418263149	3.008233815306877e-05	2.8929690814006886e-05	3.7154034941542415e-06	2.5738321910650612e-05	9.16500693430076e-07	5.564843222630883e-05	3.008233815306877e-05	1.913092573682512e-06	0.0002927020579203	0.0001098847841969	3.783721545883499e-05	9.11637324471565e-05	2.2380459292499157e-05	0.0026477324243311
CHIA	5.643619050122109e-07	5.476614190307836e-08	2.045754155530542e-07	6.332427875396863e-07	2.0341812465721162e-07	1.3304994457188374e-07	3.431247656083135e-08	2.758938236908533e-08	2.945514377875226e-07	3.0843240134175323e-08	5.4547635350900914e-08	6.219159547485755e-08	1.27500073450832e-07	4.192770521492567e-07	2.3816960670205275e-08	5.077367972043226e-07	7.48553410342745e-07	5.820528332233428e-07	3.3737856065201315e-08	2.519719317852039e-06	9.831720950812807e-07	1.4123107699999457e-06	8.823106817096174e-08	5.820528332233428e-07	2.945514377875226e-07	1.275000734508322e-07	3.1603477767577893e-08	2.3493931466938277e-08	4.1085976766290075e-08	7.565876039250287e-07	9.345760749322752e-07	1.7606547875136371e-06	1.4123107699999457e-06	1.6428477109147262e-08	6.219159547485755e-08	3.204597033654288e-07	1.7914888581014617e-05	2.999362546395593e-07	5.820528332233428e-07	3.217353568206641e-07	2.2893020343157466e-07	2.531124304600641e-07	3.868433758259867e-05	5.4547635350900914e-08	8.603824294281955e-07	1.6934428859747076e-08	6.219159547485755e-08	4.638446959149928e-07	5.649069532903562e-08	3.289849097990508e-06	3.837090458936368e-05	6.219159547485755e-08	2.999362546395593e-07	5.4991329204737e-07	5.820528332233428e-07	1.5991165462689916e-05	3.6192358836091777e-07	7.66537631973579e-08	2.999362546395593e-07	4.3437304381366637e-08	5.838717543691602e-08	3.6320765450649113e-07	3.3737856065201315e-08	9.931816858685073e-08	1.5982461118425806e-06	1.0961631360439319e-07
PIGM	1.6236132251371431e-06	4.54850267213087e-07	1.340400356698893e-06	1.3010021362759508e-05	8.607856306694744e-05	4.429968881510754e-07	2.781355504933824e-07	1.7120901443870134e-07	9.578314817774377e-07	1.157662255840278e-05	6.185269767551492e-07	7.97323144673255e-07	4.538873252362666e-07	4.796296748004497e-07	1.4104002359231285e-06	2.061943611788233e-06	6.564417763364499e-07	9.904894982214345e-06	2.855248462949861e-07	1.0190626252572704e-05	2.1672629082760675e-05	3.721692219833976e-06	8.922892479115711e-07	9.904894982214345e-06	9.578314817774377e-07	4.538873252362666e-07	2.3854922480934907e-05	6.5142041302444e-07	1.0714838323515037e-06	6.992837210183998e-07	2.57274198277215e-06	4.015074858205034e-07	3.721692219833976e-06	9.633816496569036e-06	7.97323144673255e-07	2.6161642813141137e-06	1.145403297593818e-06	9.786554763338802e-07	9.904894982214345e-06	1.5251952838482588e-06	1.163852027096918e-06	1.0896799604263685e-06	7.904113693576717e-06	6.185269767551481e-07	3.473748761801369e-07	2.75237147826891e-07	7.97323144673255e-07	3.0328990552471175e-07	4.37268263237504e-07	9.10894650497594e-06	4.242513988206687e-05	7.973231446732564e-07	9.786554763338802e-07	9.971461545786015e-07	9.904894982214345e-06	1.1484339285827035e-06	1.962707433633656e-07	1.1696055933864144e-06	9.786554763338802e-07	4.7088155732569095e-06	4.0573246023679245e-07	1.219347520009679e-06	2.855248462949861e-07	5.900088158259159e-07	4.773046324578189e-06	4.257571979330501e-07
CYP11B1	3.2319903295289506e-05	7.071564796347224e-07	2.680966471549841e-05	4.6847832367337535e-06	8.659694015227587e-07	1.3134158728182384e-05	4.426753820410904e-06	6.745605740934662e-07	8.356394464135405e-06	1.875232583662813e-07	7.781406945526162e-08	3.730286331452949e-08	5.6559139913432646e-08	1.0612757732213528e-06	5.237370593707195e-07	2.679133582316005e-06	0.0002455992472576	5.210696116292665e-06	4.490451165387082e-06	3.1198588590083284e-05	1.58077784747241e-07	4.632528266238913e-07	2.2524424205277934e-06	5.210696116292665e-06	8.356394464135405e-06	5.6559139913432646e-08	3.003199181357728e-07	7.910442400138086e-09	1.933480588181246e-07	5.061718901967897e-06	2.749765818745738e-06	0.7083606190601965	4.632528266238913e-07	2.471278662727924e-07	3.730286331452949e-08	4.561803078360759e-07	1.399390933890971e-05	8.559807852672547e-06	5.210696116292665e-06	1.52108043998569e-07	1.5543379243203704e-07	1.1766354358506749e-07	2.4621093881978502e-05	7.781406945526162e-08	0.0005586683716917	1.2301359639988233e-08	3.730286331452949e-08	6.735187108678408e-07	2.1734742014661347e-07	2.8586393201395875e-05	1.0052092167183663e-07	3.730286331452949e-08	8.559807852672547e-06	2.309088790646217e-05	5.210696116292665e-06	1.3857780697134889e-05	0.0809450070172274	7.289619568128038e-07	8.559807852672547e-06	4.0663004097911844e-07	3.883476930796489e-08	2.679236361308978e-07	4.490451165387082e-06	2.6908193612192845e-06	1.4588848775591152e-05	1.243235863573088e-07
DGAT2	8.504253794354404e-07	8.099715157786035e-07	1.6015571621186412e-06	3.426230717587363e-07	0.0001924767462962	2.914787158408433e-06	2.741892019213665e-06	5.132628212220609e-08	8.693453688837387e-06	0.0002564544912018	3.786924577926401e-07	3.2306311112704525e-07	2.427966407496053e-07	1.0563280534855449e-06	0.0001639618219949	6.888136579341101e-07	1.8098436597730104e-06	2.20414613505094e-07	3.132490557253575e-06	1.061323493715004e-06	1.2982614792857991e-06	7.236685494215031e-07	4.096149365325467e-05	2.20414613505094e-07	8.693453688837387e-06	2.427966407496053e-07	0.0052134248230013	2.7584073986873078e-05	1.986245970436416e-05	5.9631684947085695e-06	4.355696606479849e-07	1.282051859566173e-06	7.236685494215031e-07	1.8251899051923788e-05	3.2306311112704525e-07	6.416154171207594e-07	5.542703307290355e-06	8.90333491177946e-06	2.20414613505094e-07	5.379138252941968e-07	4.328517256425569e-07	3.799879638228484e-07	1.6170805740636202e-06	3.786924577926394e-07	1.0160778094574475e-06	8.096046434458937e-08	3.2306311112704525e-07	9.246384972497372e-07	8.141482396877047e-07	1.0607475063591498e-06	1.7100835611799982e-06	3.2306311112704525e-07	8.903334911779475e-06	8.502623803790574e-06	2.20414613505094e-07	5.029855833478678e-06	3.425159678184639e-07	4.155964897818642e-06	8.903334911779475e-06	0.0001678127922384	3.725168134595823e-07	1.367823235475546e-07	3.132490557253575e-06	6.296717665005571e-07	1.2253395126289676e-06	1.840865631794549e-07
SLC7A10	6.868093019754837e-05	0.0031859142148829	3.571772740999162e-05	5.426312399214598e-07	8.976372485587693e-06	8.832105862639675e-06	5.87289475581606e-06	4.218938229947629e-06	1.0406096317666625e-05	1.463975531971503e-06	0.0003793617601196	0.0003627920182805	0.0029540984368429	2.896799044515261e-05	4.416534152781549e-05	1.4946533570265811e-05	2.740395032076106e-06	5.852267728686264e-07	5.018312188772475e-06	4.3503775533730825e-06	0.0012048309828989	2.0887401621597685e-05	2.6241907708982385e-05	5.852267728686264e-07	1.040609631766664e-05	0.0029540984368429	3.944864361811111e-06	1.302981649219239e-06	0.0025443304684692	2.085440124529148e-05	0.0001057807013175	1.4675706919174138e-06	2.0887401621597685e-05	3.296210956799257e-05	0.0003627920182805	7.84445992593811e-05	1.870474598100655e-05	9.438815408883098e-06	5.852267728686264e-07	8.915124673718392e-05	0.0014234353358002	0.0001618016444618	1.1601122803184296e-05	0.0003793617601196	3.972278415211143e-06	2.430769741375766e-05	0.0003627920182805	3.255635107186666e-05	0.0032437591991964	5.202008941373703e-06	3.2682493967749445e-05	0.0003627920182805	9.438815408883112e-06	9.162341192496856e-06	5.852267728686264e-07	1.7559999116544922e-05	3.7348277942192834e-07	0.0048589951063726	9.438815408883112e-06	5.088913562152664e-05	0.0002700535225747	1.770645655690502e-05	5.018312188772475e-06	2.77029663015284e-05	1.934764213274763e-05	0.0002994750814801
ATP2B1	3.086458973636717e-05	2.5898296457253067e-06	2.601196926513212e-07	3.3331198912292104e-08	3.5910602257295915e-08	2.038687820169875e-07	4.774880896755613e-08	1.9775608542200482e-08	4.252508726480637e-07	1.2964125241366257e-08	2.562245303844428e-06	3.692977980222926e-06	2.189423825512056e-06	4.65526597344236e-07	1.3283889821606367e-06	1.204057520646454e-07	9.83991638112622e-08	3.6487827416171186e-08	4.162328758168119e-08	3.361195303331212e-07	2.4214052656060405e-05	1.6501776496278954e-06	1.2464957421451845e-06	3.6487827416171186e-08	4.252508726480637e-07	2.189423825512056e-06	1.4121016981671762e-07	1.1515106218032862e-08	1.1891671368776316e-06	3.080089864040629e-07	6.117320198784767e-07	3.910149568756175e-08	1.6501776496278983e-06	1.44942102689472e-07	3.692977980222926e-06	3.743695620607401e-05	2.766149393100949e-07	4.279698144007905e-07	3.6487827416171186e-08	4.499456555629018e-05	3.0386326311663423e-05	2.919206561236761e-05	5.92607190714737e-07	2.562245303844428e-06	5.405075536074279e-07	1.9731577755843365e-06	3.692977980222926e-06	8.007806433237319e-08	2.1364568847824324e-06	3.151104172004173e-07	1.0096945173339971e-06	3.692977980222926e-06	4.279698144007905e-07	4.076629473059693e-07	3.6487827416171186e-08	3.9511550365404533e-07	1.0742520248530622e-08	2.337838471252778e-06	4.279698144007905e-07	2.452912541580425e-07	4.0263249080151e-06	2.6646738598357384e-06	4.162328758168119e-08	4.824855960037013e-07	1.9880800676879125e-07	1.9550221783523425e-06
PHGDH	7.261791697225948e-07	1.5233271867480153e-06	2.1236189209423664e-06	7.0997870704530554e-09	1.900590884884932e-08	1.4421124918204117e-07	2.690553824734848e-07	2.6682582122865862e-08	2.725867792201435e-08	4.446782221643082e-09	2.8266896457967904e-07	5.116334711848267e-07	1.448340740756859e-05	3.5881683838909165e-08	1.1935593163956484e-06	5.41348548324593e-05	3.8496752911328536e-08	7.512630106926111e-09	2.393425649978825e-07	2.984182189595447e-08	7.093725092493986e-07	1.0479941416389905e-07	9.68379074973336e-08	7.512630106926111e-09	2.725867792201435e-08	1.448340740756859e-05	6.0113805659287356e-09	3.383533862774668e-09	1.5738250757251866e-07	2.3907625736218903e-08	4.348999674483858e-06	1.0199153374060833e-07	1.0479941416389905e-07	2.3427874615845158e-07	5.116334711848267e-07	2.1583258899557482e-07	2.5574182207043995e-08	2.7050938567205507e-08	7.512630106926111e-09	2.279611772847481e-07	4.1045508400289684e-07	6.2412208739959535e-06	4.828491789696575e-08	2.8266896457967904e-07	1.2079793090210936e-07	5.228091894375839e-07	5.116334711848267e-07	3.17366691842944e-08	6.189243161904286e-07	3.4654922281658046e-08	2.058803355953565e-06	5.116334711848267e-07	2.7050938567205507e-08	3.0981521252123534e-08	7.512630106926111e-09	3.5870402302888313e-08	1.9684813200006006e-08	6.966211798998395e-07	2.7050938567205507e-08	1.2380759812281989e-08	1.2827233487613446e-06	4.978894673327991e-07	2.393425649978825e-07	3.295674204671482e-06	2.8495697857423188e-08	1.153277196466196e-05
B4GALT4	1.5471330399828431e-06	4.260452450324521e-07	1.3260639303857296e-06	1.5710926347111212e-05	7.350550516500669e-05	4.323126395659932e-07	2.293308870390482e-07	3.461588023371493e-07	4.219404548031227e-07	9.381659149679509e-06	6.191588841010291e-07	7.86630738166859e-07	4.505357850994776e-07	4.791937862870269e-07	1.5091793586954457e-07	2.052240871546346e-06	5.995854551508692e-07	1.1230657860340351e-05	2.289941084500457e-07	1.3060455444874794e-05	2.1947051390940225e-05	3.7076851155345294e-06	6.506633182625653e-07	1.1230657860340351e-05	4.219404548031227e-07	4.505357850994776e-07	3.5640595952824884e-06	6.080380667515728e-07	2.4754562945890624e-07	3.068808670941564e-07	2.5620230486111952e-06	4.037945611011602e-07	3.7076851155345294e-06	4.360179741229347e-07	7.86630738166859e-07	2.955825624158008e-06	7.246090659593681e-07	4.297560194477764e-07	1.1230657860340351e-05	1.492079292868036e-06	1.1403094833772762e-06	1.070776676705014e-06	9.66653114041352e-06	6.191588841010291e-07	3.24229475529775e-07	2.70954175967167e-07	7.86630738166859e-07	2.235735209105689e-07	4.0414018225827563e-07	1.1649763434148696e-05	4.285553274260846e-05	7.86630738166859e-07	4.297560194477764e-07	4.928986052615397e-07	1.1230657860340351e-05	7.913039715268012e-07	1.9826226605247059e-07	6.425297190594564e-07	4.297560194477764e-07	2.3415031711466334e-06	3.921347319105646e-07	1.2964553589046569e-06	2.289941084500457e-07	5.867797969555482e-07	5.91043048235722e-06	4.3281371823418085e-07
SC5D	5.581568090451437e-06	1.374257786838959e-07	1.07611924564248e-06	1.0933930356868705e-06	4.763365315089683e-07	5.01034962034118e-07	1.5761771991169204e-07	1.1508657044382169e-07	2.497052759365565e-06	4.77093779882476e-07	4.09363108483225e-08	2.7233576672009568e-08	2.1823072566315346e-08	4.630418266817973e-07	3.338130353133311e-07	2.5462289150245184e-07	1.937155204523112e-06	1.2220519397146637e-06	1.716271995683335e-07	7.944946000517546e-07	6.81028401846075e-08	1.368254157298411e-07	3.928058317172201e-07	1.2220519397146637e-06	2.497052759365565e-06	2.1823072566315346e-08	1.008804901024346e-06	3.6078081897516935e-08	1.4156669421872076e-06	1.037570449551789e-06	1.103625185167969e-07	3.266716758899936e-06	1.368254157298411e-07	1.320320266539545e-05	2.7233576672009568e-08	1.7631981266839548e-07	1.8548812513741369e-06	2.557350033213531e-06	1.2220519397146637e-06	8.529922445035915e-08	6.975759720717918e-08	6.121289235290366e-08	1.1510184199029169e-06	4.09363108483225e-08	3.921282766055584e-06	2.675239320006945e-07	2.7233576672009568e-08	3.274179027769162e-07	1.4413682454401566e-07	7.459143313543836e-07	1.5973706330103368e-08	2.7233576672009568e-08	2.557350033213531e-06	2.4794657666875284e-06	1.2220519397146637e-06	6.559041554351177e-06	1.406186666717663e-06	3.111966518540035e-07	2.557350033213531e-06	8.916192250053784e-07	3.3136755338128345e-08	4.0376621092684125e-08	1.716271995683335e-07	1.0752040217689297e-07	6.995730383630989e-07	2.7158038330909723e-08
