Expression,Study
43.56891649666614,Study A
3.3314730493983893,Study A
32.213432003627396,Study A
191.98546021144173,Study A
1.5526705351768069,Study A
0.32995087166489045,Study A
199.9132968825732,Study A
108.66088401200932,Study A
2.7585857881097455,Study A
1585.817046991006,Study A
453.9828334188294,Study A
68.63022780958892,Study A
397.6009391764387,Study A
97.87883813210092,Study A
113.30559430392088,Study A
18.963333210887352,Study A
55.86971072385756,Study A
60.165369033963195,Study A
20.731605431828186,Study A
0.6781376228951291,Study A
919.6849614404409,Study A
0.3953687825425075,Study A
30.93921696734435,Study A
883.1103077592267,Study A
54.72146591862753,Study A
45.52142858524094,Study A
235.49943835313084,Study A
0.7383208645883768,Study A
26.145422607850367,Study A
566.2388420349306,Study A
26.623465085651052,Study A
21.47928872649783,Study A
95.76550443639943,Study A
1207.9960272779592,Study A
146.40003283162213,Study A
848.0832340824126,Study A
16.878205130461687,Study A
49.099588232443736,Study A
135.35650758517986,Study A
148.9144390218239,Study A
2691.1299346466167,Study A
362.0024332560155,Study A
4.3681929361672704,Study A
0.12895640709185766,Study A
137.05864721981666,Study A
265.57960117082075,Study A
77.97800155651628,Study A
186.95719238273298,Study A
305.31462637835045,Study A
263.501462569104,Study A
130.00590841235643,Study A
81.62686634593373,Study A
99.81161723189346,Study A
28.727712274104622,Study A
323.15980365702535,Study A
235.3951485789992,Study A
139.93282257769968,Study A
679.9677286956783,Study A
100.50171060263166,Study A
11.667957155668898,Study A
427.1653333302276,Study A
20.357734682816922,Study A
4.493619507242839,Study A
2272.545382291254,Study A
54.742573366806226,Study A
427.3240798900821,Study A
9.008516344350545,Study A
6.4788214817162455,Study A
556.1270159622876,Study A
691.9789480153842,Study A
12.600976126152487,Study A
36.17234497342165,Study A
18.159341723178002,Study A
256.54101038737275,Study A
20.80941110393804,Study A
24.918181370559083,Study A
115.52634547794904,Study A
2.7592955255161025,Study A
20.814137080604898,Study A
786.8946467777139,Study A
33.35352044852853,Study A
1.2718708357459774,Study A
19.426405714970304,Study A
2.077303835274808,Study A
265.2773396493348,Study A
353.8960721177342,Study A
39.28866068136917,Study A
107.41015553085772,Study A
2.306127915497111,Study A
96.53317925559179,Study A
756.8529911967795,Study A
79.06126427576585,Study A
208.44667232733454,Study A
452.3987444354107,Study A
39.29525794521551,Study A
147.98241899794508,Study A
93.2469335004781,Study A
7266.825206892782,Study A
10064.713277974291,Study A
1721.2447058542361,Study A
7622.889446144348,Study A
3259.763472835854,Study A
4952.517419012934,Study A
1.2617879992430354,Study A
860.2274532535524,Study A
2507.931031842141,Study A
0.3921242090590448,Study A
9.20588034398467,Study A
7.112460811135463,Study A
2032.7694470132449,Study A
1523.915816648433,Study A
3291.888439683224,Study A
548.5307135430846,Study A
1454.1675697329606,Study A
104.96611756617003,Study A
57.443916352353064,Study A
967.9695421281879,Study A
7.853721579628382,Study A
200.5269035707982,Study A
146.5452283672471,Study A
35.55464975762547,Study A
183.7835854562993,Study A
384.86989010512224,Study A
20.40924411969889,Study A
38.294616169401586,Study A
844.9377748847361,Study A
4.1579381234752955,Study A
82.86205738782476,Study A
53.18459863744824,Study A
150.58343960816927,Study A
100.24270005165741,Study A
30.25674972353633,Study A
12.712430873430645,Study A
88.79539352218728,Study A
63.171561453533535,Study A
423.48048592947254,Study A
13.3602984597845,Study A
198.49785818720434,Study A
3.1448350919313315,Study A
1918.2537309691456,Study A
1044.6794931931083,Study A
15.094984308112828,Study A
5136.687704149806,Study A
133.85614884997008,Study A
771.1669842514822,Study A
229.89520348628008,Study A
8.115218781680424,Study A
229.9338920342984,Study A
86.88558222432395,Study A
1717.8852977042689,Study A
597.4900458453488,Study A
2.0487149400409246,Study A
88.40661694784346,Study A
764.0058571962346,Study A
399.75658027927466,Study A
1004.420855909431,Study A
5168.247419740225,Study A
1521.394191998337,Study A
27564.358313079858,Study A
270.8964911927588,Study A
192.5946253633542,Study A
293.00799864850035,Study A
41.91379945745337,Study A
95.7741895219334,Study A
43.91610349833074,Study A
61.657413665475694,Study A
1118.6893066689322,Study A
580.4349959953164,Study A
185.68498816026,Study A
472.4083405668251,Study A
2.992222861674226,Study A
0.8323740089849361,Study A
60.65972022247558,Study A
27.00699127222079,Study A
4.685782039381275,Study A
413.6028102611861,Study A
2.677260762221248,Study A
44.83567187888656,Study A
416.24569146613936,Study A
1730.887500851314,Study A
220.62877896976977,Study A
159.27454184915086,Study A
81.31228923862878,Study A
595.8915722834873,Study A
502.88137939802397,Study A
632.3229483170502,Study A
615.4946013841871,Study A
289.278355853003,Study A
256.28599562533014,Study A
190.6437404250857,Study A
2031.84025769723,Study A
1538.7019136738518,Study A
195.5498391685833,Study A
217.7576013874055,Study A
491.1434641008798,Study A
174.809328553108,Study A
13.595305558746537,Study A
1379.0088375785976,Study A
13.188060428023979,Study A
37066.01241613785,Study A
131.37189724865183,Study A
681.0818210017281,Study A
1.023278081521676,Study A
392.63919736792724,Study A
28799.801074861796,Study A
464.3674206057425,Study A
710.2510153195566,Study A
5615.624337558808,Study A
1435.827820506789,Study A
142.20552124055305,Study A
464.96553833868546,Study A
222.51419976251844,Study A
5200.871136837194,Study A
70.96295365249243,Study A
188.8331151792348,Study A
1507.8272570435624,Study A
97247.85553728692,Study A
196.10024196538197,Study A
8.142458461594678,Study A
792.5721148311264,Study A
112.96917959484345,Study A
166.10227142194725,Study A
1129.7030199929782,Study A
469.90047427464293,Study A
62.36212175996113,Study A
2023.8817464626302,Study A
7.351702359257739,Study A
907.0902044347931,Study A
405.92533914590547,Study A
925.9597771156579,Study A
2.975242750563234,Study A
20.534743833929575,Study A
0.3598787811277426,Study A
100.37731471879164,Study A
404.5894081717516,Study A
759.7588622116043,Study A
2263.660337950151,Study A
1206.9188015069633,Study A
1644.9775765489603,Study A
14.623674869227177,Study A
82.31939820562657,Study A
14.880421835110022,Study A
17.7105784671029,Study A
58.129636644209434,Study A
3.162264111098587,Study A
963.6057167889868,Study A
245.74457930012935,Study A
153.23974511756367,Study A
1241.760809453663,Study A
1641.1584154460209,Study A
0.3599706748362558,Study A
1291.605234473823,Study A
14.220947633760966,Study A
25.55715276508338,Study A
43.47058790505961,Study A
129.04261650846277,Study A
586.2914968821393,Study A
2024.3313752548509,Study A
517.6827316029455,Study A
183.08335588622728,Study A
548.4300939530301,Study A
842.816919765516,Study A
614.920620080795,Study A
1.603657869627637,Study A
2710.8511475413766,Study A
1027.6653218156068,Study A
252.35094226489107,Study A
131.2925423910397,Study A
9481.944937884758,Study A
5794.862447355328,Study A
3287.476990812579,Study A
1534.3090584147617,Study A
23.887435200854753,Study A
264.09299717811615,Study A
18.580746892593112,Study A
846.846248396663,Study A
587.6308082132412,Study A
375.9085743292207,Study A
2196.436103726326,Study A
1049.891995449285,Study A
2054.0338819167087,Study A
73.89235429730344,Study A
162.37870898906095,Study A
1514.024704797046,Study A
4709.106106579558,Study A
150.3570170107768,Study A
687399.0491491724,Study A
1482.1769376264115,Study A
533.5373486122102,Study A
940.7822799399764,Study A
4070.5288791267567,Study A
477.51174578843245,Study A
155.07467817828604,Study A
1413.7766589409273,Study A
5011.863272741954,Study A
2.519636845382404,Study A
41.32656976133916,Study A
49.6183368744959,Study A
10327.231921190134,Study A
47.52539481024773,Study A
2360.719087257698,Study A
172.77251832057252,Study A
0.18763970797262144,Study A
5236.369971952279,Study A
616.2899855631481,Study A
1842.4184574366511,Study A
1995.1718959880566,Study A
710.35742875652,Study A
1146.5797419467929,Study A
6321.740103926765,Study A
42230.531487324915,Study A
619.2195735615846,Study A
524.3395556099786,Study A
10.923258846743021,Study A
70.3441384656446,Study A
78.33712531002327,Study A
534.0907171116589,Study A
304.056310174169,Study A
199.8795837557007,Study A
20.252947603247502,Study A
3.764669226092031,Study A
9.531074011680873,Study A
473.76438045818617,Study A
1123.2802284511076,Study A
377.8158188686856,Study A
77.36276346052273,Study A
697.6928737035046,Study A
518.7151495221448,Study A
4.20710390843901,Study A
113.1083148311524,Study A
478.243954390731,Study A
200.80051134937287,Study A
2.2791502840182183,Study A
196.7693492977232,Study A
1231.6531393958676,Study A
305.49952387096596,Study A
1192.4007049236154,Study A
47.73905344015334,Study A
351.0566187835056,Study A
199.10056459651486,Study A
14.495232392593906,Study A
3.750100441325957,Study A
14.803375141992479,Study A
51.55738738731964,Study A
6.18652703762513,Study A
160.5522684887748,Study A
1.8982394020778477,Study A
83.43204616371855,Study A
69.51516759402406,Study A
112.30526418078524,Study A
5.405506700405361,Study A
0.9351269141577758,Study A
236.32937303518884,Study A
220.24103868641268,Study A
611.3876203318656,Study A
810.1127568252567,Study A
4.0872814284881285,Study A
426.72895295385956,Study A
509.43942943746714,Study A
9.327171465409815,Study A
2.4295564248399915,Study A
698.5878744052003,Study A
3113.7372815388985,Study A
171.11761370949068,Study A
84526.42120581186,Study A
435.04130540586283,Study A
573.2530621314069,Study A
790.7278358447053,Study A
657.3331373931605,Study A
1.0944455162076117,Study A
0.478581267663587,Study A
224.75908583119153,Study A
2.238089804422915,Study A
3.2938729199125385,Study A
1260.55174672843,Study A
34.24159239343395,Study A
38.89326748076671,Study A
101.07003461429466,Study A
58.66445556303956,Study A
20.21748248067762,Study A
98.5604458532968,Study A
394.1249765484617,Study A
3121.5814995237965,Study A
57.743534291899785,Study A
133.6547217131094,Study A
462.04525220383255,Study A
410.3300341456347,Study A
0.12335671538759349,Study A
1405.32577486959,Study A
70.67745283694966,Study A
11.7617047366063,Study A
1057.6733096853497,Study A
1.9608533186916006,Study A
1.856749648830106,Study A
1.4213326387251888,Study A
0.527198530159982,Study A
384.8305292478241,Study A
16.491399328750305,Study A
452.89123677653663,Study A
117.01695710607677,Study A
684.3197097690771,Study A
101.72695556152541,Study A
1236.774732630808,Study A
394.36805079054614,Study A
395.9168905617328,Study A
1031.3538375994221,Study A
6.899090038962116,Study A
727.3566967151011,Study A
344.55544726256386,Study A
2011.8807453202023,Study A
866.1325963527627,Study A
7921.528073655208,Study A
517.2348511601026,Study A
279.0946457549119,Study A
23.989144087055923,Study A
151.9056030282767,Study A
7.275830543647797,Study A
109.71590447635319,Study A
753.8492277095211,Study A
2110.9482553531693,Study A
2121.936544255198,Study A
0.31150679946839416,Study A
111.81318935919273,Study A
9.724067461124577,Study A
1044.5374833487542,Study A
60.855246720246384,Study A
98.8245857749779,Study A
237.65145013988402,Study A
31.008464323684887,Study A
63.28191253495056,Study A
12.276886642020038,Study A
74.96357117834184,Study A
14.989011089979362,Study A
703.8946746151161,Study A
976.5093520816023,Study A
1589.4912989497984,Study A
317.98277938027013,Study A
220.33172162619928,Study A
11.581689675283107,Study A
62.5136728246042,Study A
1208.8583183263643,Study A
173.25426119964624,Study A
141.41811954061606,Study A
166.45075795471126,Study A
47.441303596451306,Study A
1636.0741720369667,Study A
1435.3547364041815,Study A
349.2033090617715,Study A
496.720018298445,Study A
115.76562755251456,Study A
133.89367955355783,Study A
555.5663558398854,Study A
131.4159626122224,Study A
1037.3113773444777,Study A
45.514854957491245,Study A
9.857797188076264,Study A
22.292441786226924,Study A
3.9590469855270056,Study A
1.665034596874451,Study A
11.661880587605747,Study A
26.291127288406933,Study A
90.62932751976267,Study A
207.75671861184776,Study A
73.81182189169448,Study A
231.8100418604561,Study A
334.91912981817643,Study A
45.75045881147252,Study A
1.3901891569228817,Study A
2.8939644368395236,Study A
2.639307225352678,Study A
3.5403218047308544,Study A
18.50153155329872,Study A
17.25678691712146,Study A
1.2653709593942772,Study A
0.31238702702533966,Study A
0.11634259626459488,Study A
31.210409403129212,Study A
89.23492455939918,Study A
123.70139810263053,Study A
0.27647475237028785,Study A
21.07292005473779,Study A
26.07599098743841,Study A
154.7579863646856,Study A
215.64782637734888,Study A
525.9337181962749,Study A
94.38355969515597,Study A
21.46018711506818,Study A
4.032764251287085,Study A
11.677526869924408,Study A
204.46041199615945,Study A
114.46142446072578,Study A
121.64283379547805,Study A
590.6510189623401,Study A
42.901335726550485,Study A
462.4622282275067,Study A
28.104697334697452,Study A
128.7956536366631,Study A
4.007260085122382,Study A
3.357874981726244,Study A
399.7931007749778,Study A
3.0183078441729427,Study A
465.49972071124586,Study A
421.42398305008834,Study A
20.41133447405986,Study A
460.3306342993496,Study A
187.3725614859806,Study A
276.2123294091603,Study A
13.320851393720279,Study A
1195.8161145941565,Study A
133.44697873143062,Study A
354.4862049783224,Study A
285.1958256875083,Study A
5.633684330688062,Study A
3.180929002104169,Study A
12.928390018080387,Study A
12.023487367300529,Study A
537.6723694474524,Study A
44.2835538565434,Study A
212.41716558459385,Study A
169.70306664978906,Study A
30.75687966440019,Study A
1551.2396093145785,Study A
0.5625876210902555,Study A
2653.000598229906,Study A
0.14047708200153375,Study A
332.4481471385312,Study A
6973.7797369602895,Study A
582.4453505937045,Study A
476.0773179892484,Study A
0.6785609451489105,Study A
1034.1200345787613,Study A
214.91742622109817,Study A
2030.3288193683522,Study A
132.1765101337028,Study A
6087.894376828472,Study A
27.651030444806665,Study A
65.71446812633731,Study A
1091.2444926969604,Study A
2578.939497755325,Study A
3149.4942591568847,Study A
1010.4163467362159,Study A
15.683037006988386,Study A
369.55992237115623,Study A
140.6118142154797,Study A
62.07744746225674,Study A
148.40936327520188,Study A
554.8865297581299,Study A
73.15534832079844,Study A
3179.4713976658595,Study A
94.08788675319192,Study A
1364.5383592766418,Study A
0.1351410896590413,Study A
823.7105467786772,Study A
1381.9042383415942,Study A
1376.8589132379775,Study A
93.93283671705339,Study A
495.69640769386916,Study A
70.19820912914093,Study A
28.362030128878196,Study A
1430.486227836894,Study A
515.4214157432333,Study A
1838.403929833208,Study A
3171.74923212286,Study A
1790.0552390517,Study A
288.17477827325666,Study A
15.586572962276037,Study A
1728.5293713141039,Study A
362.0111588888332,Study A
194.347051988296,Study A
485.55331436675704,Study A
522.9086012248594,Study A
322.0967346549043,Study A
9.729795459862554,Study A
122.27155417333368,Study A
247.61204365766795,Study A
123.96621391313526,Study A
120.09611733471438,Study A
143.55118945752264,Study A
159.6580511649133,Study A
592.0535603110158,Study A
164.46477388631956,Study A
138.21782232222048,Study A
124.58161254602349,Study A
380.43592197029807,Study A
364.36315707128523,Study A
217.58041047211626,Study A
376.5592093469764,Study A
779.7287084466346,Study A
161.742981923969,Study A
16.70953004610423,Study A
3152.3726517139485,Study A
15.634710846989828,Study A
12360.585637605407,Study A
1247.0542099228041,Study A
9.320207486251716,Study A
2222.71431587684,Study A
372.85886737759193,Study A
1996.1136684928454,Study A
126.02527271710244,Study A
622.2642160890265,Study A
304.5904932710292,Study A
49.430936682557686,Study A
273.27070316631233,Study A
42.32417415548245,Study A
6023.133377391125,Study A
3224.7430583747014,Study A
187528.07678140484,Study A
15.805190491637731,Study A
214744.45067038963,Study A
1798.27241008171,Study A
4836.061836281289,Study A
59790.50203411688,Study A
4.327094509677366,Study A
10.35397923977179,Study A
39.7340315742023,Study A
0.8411675468145847,Study A
363.84492363857476,Study A
57.05413957115353,Study A
89.10391029621981,Study A
125.18952577476666,Study A
21.3528117234076,Study A
163.19057429271035,Study A
86784.60279744177,Study A
1347.2964953613584,Study A
27470.20430390772,Study A
106082.63231771828,Study A
2753.3303753680134,Study A
558.7055675420521,Study A
112461.29962876544,Study A
972.3719669690239,Study A
47964.51831031821,Study A
2862.0324752249826,Study A
1420.7583121241348,Study A
382.54026630788974,Study A
134.7327592050828,Study A
0.565580504384464,Study A
811.8979226884651,Study A
449.10569187377683,Study A
1076.6167137011596,Study A
143.09788653326552,Study A
212.51112263754567,Study A
3095.5103686620732,Study A
267.7933534934273,Study A
231.69230573992695,Study A
483.3392749082725,Study A
1764.8981442228035,Study A
140.78971291556158,Study A
560.3671255161023,Study A
1054.619147445095,Study A
1.5590287324391414,Study A
109.04562555485731,Study A
1.0488098233740952,Study A
1830.4691732283802,Study A
6.300381269553535,Study A
16.32013740524688,Study A
167.91006893653852,Study A
547.9085444721824,Study A
3.1981646895304103,Study A
4254.594691823299,Study A
417.09805894541404,Study A
458.94520916984504,Study A
1312.0792753109472,Study A
1735.1916947976756,Study A
85.17151801662175,Study A
320.3959828513679,Study A
46.97408686468621,Study A
1300.8764756757819,Study A
128.60263716158477,Study A
364.23387362486693,Study A
5880.570315603953,Study A
1209.626629926995,Study A
1313.9607238741282,Study A
17.07068350648836,Study A
1706.759286767448,Study A
1003.3514892587918,Study A
2301.180445922252,Study A
1784.8588316335147,Study A
597.840851483952,Study A
363.8734368701195,Study A
348.6817251655226,Study A
67.1694788071722,Study A
150.8538924863033,Study A
864.309115630974,Study A
825.1475747418391,Study A
4134.116943065178,Study A
364.1697997626102,Study A
1.0679352751061792,Study A
1320.4681188617967,Study A
1163.744922770438,Study A
281.2843636093882,Study A
39.9697775170751,Study A
26.927049788349755,Study A
270.2694185291854,Study A
124.69858924537907,Study A
958.8301909442017,Study A
159.77173808832202,Study A
162.83811872849773,Study A
1.0244270931941741,Study A
10.150366219996565,Study A
533.8994020613015,Study A
81.906086069116,Study A
166.03931335055822,Study A
133.80845711119403,Study A
163.1139623095184,Study A
389.12931567434214,Study A
0.14443910893522607,Study A
107.97744976563223,Study A
40.5823847233462,Study A
381.52675144165937,Study A
161.97361948948384,Study A
187.5162018314892,Study A
1.577977919892433,Study A
239.2257883775646,Study A
298.0601941842184,Study A
1091.2120413874102,Study A
0.5383604382772913,Study A
136.08848188246296,Study A
645.890821693935,Study A
9.934726706216342,Study A
