gene,t-statistic,adj_p-value,effect size
CASC2,3.342923199984847,0.0012872969559069186,0.617037590015847
POLL,3.3216773428976887,0.00134565328886603,0.6170491775018925
PART1,3.446928105656166,0.0011079731916145154,0.6170541446469259
TCF20,3.3099648195522273,0.0013809816172309526,0.6171272403930579
EXO5,3.3327467671588313,0.0013134228549383379,0.6171382417024769
RUFY2,3.345807486757024,0.0012747335412952292,0.6176290272990629
STARD3,3.389218663023577,0.0011787380399775765,0.6177738905855803
TP53,3.3730134173198607,0.0012082008514473755,0.6179994432566916
MBD6,3.305534992641418,0.0013891802988807297,0.6180679873928867
RECQL5,3.35102952794719,0.0012575370159774418,0.6180956135261536
ZNF273,3.416038134560108,0.001130768630875282,0.6181142887855698
XPO5,3.3989066276799096,0.0011569485557003836,0.6181865155650126
PDZD3,3.44089943652657,0.0010975283777463663,0.6182246895158393
TKT,3.4246333065689463,0.0011159411803432359,0.6183387588869445
ZNF419,3.323526719352651,0.0013305644157817664,0.6183430943576698
ATP9A,3.3034214735279988,0.0013941889698172326,0.6184078532021244
TMEM9,3.3991580939451436,0.0011530400923001692,0.6184926744351484
ANKS6,3.395071091147718,0.0011594275055491791,0.6185623329703852
CD7,3.45744989866055,0.0010749470804368522,0.6186398579412625
C11orf45,3.4105064247481733,0.0011311034287011634,0.6187773509647386
CTDSP2,3.322659266043175,0.0013297482171380503,0.6188288488969721
IFT81,3.3533201868796816,0.0012432088344686318,0.6190921171230951
SNPH,3.4309022627793433,0.0010973652951186386,0.619147352092008
ZBTB39,3.3851567107731313,0.0011702030047180722,0.6193073828803629
SNORD114-6,3.454700119518654,0.0010666778096041064,0.6194075812289337
CHTF18,3.4129883661405347,0.0011174188769135078,0.6196184769767491
GAS8,3.363982287033293,0.0012114287324883504,0.6197863681539247
ILF3,3.36066528342656,0.0012183644941999472,0.6198959518036498
RAI1,3.3670264195661144,0.0012033643321859532,0.6198983164869659
DNAJC9-AS1,3.4251624733592343,0.0010952213874622955,0.6199541716753789
VWA5B2,3.457013173296415,0.0010565365511787169,0.6199759006121011
RNF214,3.330984275904724,0.0012964576043826659,0.6200498411306121
ZNF331,3.421792583270902,0.0010985109009728163,0.6200889061235272
ZNF605,3.3554596016080174,0.0012292725948906081,0.6201218846017045
LIMK1,3.3801086603945008,0.0011717926885480223,0.6201976940421361
DMWD,3.3334884635602697,0.0012871435329103445,0.6203381976014095
DUSP12,3.3827150178435708,0.0011623880569797808,0.6206155047256176
C1orf74,3.430290461307119,0.001079943974645783,0.6206297941486475
FER1L4,3.4300646618266786,0.0010800337123011748,0.6206486172415444
BCDIN3D-AS1,3.3298340089844767,0.0012948185876979442,0.6208077974797295
HOXA1,3.4304942005345866,0.0010771540532612724,0.6208409598095525
PLEKHG6,3.4264173146251555,0.0010824350380379678,0.6208863547267979
CREG2,3.4077475508397224,0.0011113671018132198,0.6209525903442308
RHEBL1,3.4176899706441914,0.0010939793887694731,0.621038750708793
MYPOP,3.3850082601162548,0.0011530081646879094,0.6211078228811423
MTHFSD,3.344756758512109,0.0012485333494550242,0.6212912676531211
KLHL38,3.3766603387445735,0.0011690914124493632,0.6213124480054941
NCKAP5L,3.2947041812911744,0.0014102723728821919,0.621319754548411
TJAP1,3.3041925364831575,0.0013757407710702654,0.6213198748123966
ZBTB26,3.4104186355967347,0.0011007161289085933,0.6215291783037635
SERPINI1,3.4689081961859465,0.0010234724028001891,0.6215644799538976
ATXN2,3.356511924226121,0.0012150380343681627,0.6215887831829331
GATAD1,3.323642385318399,0.001308839872450673,0.6216373089100725
TMEM132A,3.4727788914481375,0.0010189589681732516,0.6216383048971875
NBR2,3.4532265848559085,0.0010382016484992795,0.621675801118773
TSPAN3,3.384154088111094,0.0011491828359097489,0.6217222577046426
ANO9,3.430468759156272,0.0010654655797414227,0.6218540367366135
LINC00607,3.415515456941476,0.0010869561497832442,0.622020374261516
OR51E1,3.3941613120402883,0.0011258458273640296,0.6220269427947279
EPCAM,3.4505268848463673,0.0010360323685544724,0.6221031996008753
ZFP90,3.368668117144142,0.0011796876339936178,0.6222523824001881
MTHFD1L,3.426482773391293,0.0010666749876091087,0.6222787544773799
MPP3,3.3717954921430966,0.001171686569872449,0.6223237771767973
CAMK2G,3.3391801814475865,0.0012570484760054325,0.6223798731600861
DICER1-AS1,3.399263401279543,0.001112421610166262,0.6223935625832062
TRAIP,3.474021462675575,0.0010073735617605018,0.6224126598753015
ZCCHC18,3.4131225590636296,0.0010866373339673352,0.6224448524963163
TBC1D4,3.381617826505568,0.001148106587863735,0.6224712673382735
SEMA6B,3.4690604279174937,0.0010088700922558746,0.622656573098688
SFRP4,3.4228171588817937,0.0010676595651253203,0.6227216775935761
FAM118B,3.411327956799983,0.0010868697304235488,0.6227334632814556
MSH2,3.474052491710236,0.0010009004869036546,0.6228999894545357
ARHGEF9,3.3989684397414974,0.0011080997184243066,0.6229173148971688
UBE2Q2,3.3307121513544686,0.0012792821636665012,0.6229232931330253
EIF2B4,3.3549384034695047,0.0012090322980400007,0.6229832098066086
SLCO1C1,3.3687989616615424,0.0011720914667449154,0.623190599806011
GTF2E1,3.4135690168324277,0.0010771192273136608,0.6233216566765162
WWP2,3.4080964282526347,0.001085373827327274,0.6234913974855599
MANBAL,3.4300150774342866,0.0010477719368734595,0.6235369295798054
NLRX1,3.395186802063283,0.0011099386134145908,0.6235547005160456
