,t-statistic,p-value,effect size
4091,-1.5165889860059691,0.13603771138368972,-0.3350355730137257
17193,-1.5119657779692675,0.13736871653307534,-0.3349142151194598
570,-1.618000459351329,0.1094577374854875,-0.3348958558140508
9332,-1.6743098507296865,0.09735996837141751,-0.33486260739278223
6520,-1.69812024800126,0.09283555952614989,-0.3344701100691734
4516,-1.6822625977338557,0.09581218517534838,-0.3342757162746946
19315,-1.587256071604558,0.1167797562945224,-0.3341195408862605
4197,-1.6098917163354194,0.11128832532084827,-0.33410250747751336
13494,-1.7064969265368073,0.09135194983206368,-0.3339524616865997
1204,-1.5451389960736115,0.12776264296439693,-0.3338369283819166
10245,-1.6566126492142281,0.10092109873295853,-0.333444182094009
10335,-1.6772221867890182,0.09679582764264962,-0.3333592196793953
15671,-1.555032648177371,0.12499984767702539,-0.3332667156003302
9918,-1.578551847222332,0.11884065183444033,-0.3330013925848519
1532,-1.688090012920726,0.09474359109565948,-0.33278528385455136
3615,-1.5799885148922237,0.11837740737211085,-0.33210136587432815
463,-1.6133418458942825,0.11031986732114973,-0.3319541189683728
749,-1.6437686547044201,0.10357331776752193,-0.33181920687273336
10174,-1.6778146340023472,0.09673114569025634,-0.33108207938568335
8514,-1.56031228835808,0.12329137644960904,-0.3309346716755363
11248,-1.610226526870996,0.11096958546362909,-0.3308856933083193
9767,-1.4812371870299104,0.14583455966322853,-0.33081013508718643
1693,-1.5693830207385724,0.12076794113614245,-0.32937842172940635
6968,-1.622368690792103,0.10812000239558767,-0.32885921324736933
16951,-1.6279467495641529,0.10687899711733533,-0.328154495362746
18100,-1.58444309413418,0.11685373758212658,-0.32759262255934923
3887,-1.6276453005651408,0.10693308536539782,-0.32758890569846777
15610,-1.6059793139520686,0.11175901141001462,-0.32753753162746246
16480,-1.6542279133996485,0.1014189526563157,-0.3273951354288778
45,-1.5665357055302997,0.12125892773158205,-0.3270923127859829
5085,-1.6129415045727713,0.11015107089276688,-0.3268596390491118
13068,-1.655953062774356,0.10109560932400853,-0.3267695362836676
12177,-1.6138421693664973,0.10994583876441431,-0.3267507383562177
19047,-1.5784825304121566,0.11822523710516479,-0.32650524557097693
2753,-1.4833747927568208,0.14434310814724802,-0.3263883784161876
13891,-1.5246973558968608,0.13229727742111358,-0.3262792905990106
9458,-1.4855871223525068,0.14357150208382843,-0.3258168601004321
12947,-1.5858255786151254,0.11637146254900022,-0.3254691584208131
17665,-1.5862491916042507,0.11626448698556556,-0.32537821250552307
7047,-1.6079828443377666,0.1112160449422398,-0.32531213985147106
14509,-1.6223623940111018,0.10804243304674505,-0.3250501272647595
799,-1.5771120722211818,0.1184233670314087,-0.3246406938387175
14080,-1.6006072297807588,0.11286727573093214,-0.32460350520605724
10775,-1.5555619878937021,0.12381595589166602,-0.3245288811581827
11109,-1.603589873674188,0.11217232727598157,-0.3240824643389861
10766,-1.5760517674255985,0.11861629016559538,-0.32365108045624474
15992,-1.541982248771916,0.12718381585608515,-0.3228042861159522
8537,-1.5774703281972806,0.11821399237855494,-0.3226559165436526
331,-1.4554247097628226,0.15230895350923843,-0.32261552677379357
7336,-1.580612809886371,0.11745271174139328,-0.3225096173537376
10899,-1.6253102934923884,0.10743658597714391,-0.3222644981074244
760,-1.5774284281232165,0.11818089951780036,-0.32182434656988557
3653,-1.6374152561889226,0.10497706717699207,-0.32169752116697364
15559,-1.5906041137142175,0.11506878617345481,-0.3215067326524625
17966,-1.5672638968986876,0.12061973866594439,-0.32130450369506175
3984,-1.5866748032200222,0.11596028202243529,-0.320848608267352
18199,-1.5745977715364288,0.11880991362169152,-0.32076279178684186
10594,-1.603403968441304,0.11216538404623665,-0.3203679645083117
13745,-1.5599075398840994,0.1223572418929454,-0.31997612741072207
11439,-1.4309504001254019,0.1596722231590842,-0.31986907391214153
15019,-1.4309504001254019,0.1596722231590842,-0.31986907391214153
3905,-1.4309504001254019,0.1596722231590842,-0.31986907391214153
9523,-1.4309504001254019,0.1596722231590842,-0.31986907391214153
1500,-1.4309504001254019,0.1596722231590842,-0.3198690739121415
9531,-1.4309504001254019,0.1596722231590842,-0.3198690739121415
9955,-1.4309188625968232,0.1596812135392325,-0.31986220290442
6786,-1.5764945110297564,0.11831901482654411,-0.31983142947763393
18119,-1.5618832042264648,0.12185356932036422,-0.3197346989543799
9745,-1.4301218582140265,0.15990854657318784,-0.31968855759655057
11509,-1.4301218582140265,0.15990854657318784,-0.31968855759655057
12843,-1.5235379815683434,0.13178871643815296,-0.3196281846262222
5956,-1.4676184872256386,0.147961602733718,-0.3195926209157627
10412,-1.4667983233215456,0.14815303190593096,-0.31923511729502446
11414,-1.4278275781625163,0.16056436836910998,-0.3191886561096252
6769,-1.529538166365027,0.13010901488829146,-0.3189998081333447
1979,-1.6099874328394828,0.11075674430873769,-0.31883270582458845
15530,-1.6444425823679147,0.10380032882377552,-0.31876116695749934
15158,-1.5773197174446525,0.11809024474490823,-0.318752572321347
9402,-1.4247463415951112,0.1614484504166564,-0.3185171886636061
18595,-1.6629870613480275,0.10047527049253681,-0.3180581168620344
10410,-1.4521297453497193,0.15247967104499127,-0.3178917692216376
18006,-1.5598007999586794,0.122269386076842,-0.31784772558282387
7407,-1.5779262920069832,0.1179268742270065,-0.3178017298823281
17730,-1.5924647966775867,0.11460497881543018,-0.31764710048911415
6446,-1.5929218331586894,0.11450655588132039,-0.3172489064780058
5110,-1.545804281898766,0.12572997385917897,-0.3172053814985308
8842,-1.599728440340255,0.11301330146346363,-0.3170229019700258
2117,-1.5482783034273309,0.12508000319099508,-0.31678595109894575
14,-1.4419511035427433,0.15544727829980787,-0.3164370328618668
6246,-1.4245498536443761,0.16108553574010215,-0.3163665463827611
16763,-1.5173223574288608,0.13308173974743265,-0.3156764486350951
4860,-1.5270532994332926,0.13041527250656934,-0.3148144372954
15494,-1.5548980612976548,0.12334853210396571,-0.3146510487870545
7469,-1.5412475197905289,0.12672435790305933,-0.31429125310288286
12993,-1.4157670653487686,0.16354371089388395,-0.3140324473657782
1259,-1.5422832688197925,0.12644886411832518,-0.31397539107994116
12343,-1.5548150188713892,0.12334804943267935,-0.31386425717824534
535,-1.5285438992940483,0.1299527014132212,-0.31373672672875874
4883,-1.5813172312247266,0.11715799401917903,-0.3136859961018299
2968,-1.5280541447275664,0.1300644528522624,-0.3134817984146712
7962,-1.4051655495898556,0.16699130499057163,-0.3134359975273843
17524,-1.6117867756826048,0.11066567871370617,-0.3134287427822693
7949,-1.5302708415277682,0.12947583959373077,-0.3132522391083262
8218,-1.578703969640235,0.11776263862074618,-0.3129322117912543
4758,-1.5454915173592003,0.12560625940981254,-0.3128297579883287
11105,-1.5571870711707223,0.1227577720608667,-0.31277516575422043
19045,-1.5413383755604906,0.12663757417971955,-0.3127591451608285
14660,-1.58292358797547,0.11684174340765958,-0.31232279757683806
296,-1.5346811309136077,0.1282951487979215,-0.31222594544318916
7014,-1.5486923525352654,0.12479325457834836,-0.31159634277331544
7415,-1.509736310369394,0.13475319533702268,-0.31103951438627764
629,-1.606499476881122,0.11195028598250477,-0.3109904188153273
16901,-1.5312422571177764,0.12910789296765832,-0.3106603718414415
9937,-1.4170395471393666,0.16245724137069603,-0.3104817698788879
12220,-1.5339967172528433,0.12840415324070437,-0.31042350285254244
6528,-1.5824326819927552,0.1170704362530867,-0.30987175670237627
101,-1.5434862112905312,0.12604103482701082,-0.30976796034495163
14136,-1.4530737200977744,0.15088682528153885,-0.30964530234589205
15345,-1.4269234002521067,0.1590296770682839,-0.3092649741295424
13058,-1.529976191808713,0.12938202482377206,-0.30911921443557083
17658,-1.5523996562515026,0.12390434926796218,-0.3089361847652335
11606,-1.389609247969998,0.1713706811467953,-0.3087178441424598
7020,-1.5294085501438028,0.1295137638951522,-0.3086310852348951
1479,-1.4235278428737728,0.15994211679428014,-0.30815097416878734
11195,-1.5311454760990217,0.1290686227821693,-0.30810468829402865
16246,-1.5930417601758153,0.11497991901443519,-0.30804790592453146
18481,-1.4877314947911133,0.14055694467528101,-0.30793205506636173
4953,-1.5087016314973944,0.1348401925240621,-0.30788312879226765
12450,-1.5028410167346358,0.13639751838313932,-0.3077339938262953
1172,-1.5084003227589946,0.134906273202868,-0.30759691542570916
1695,-1.4909430370080101,0.1396369296912517,-0.30759643563748895
12888,-1.4387986190264013,0.15496875975910668,-0.30732068849854627
2152,-1.5178348339861427,0.13240227372426877,-0.3062493748467294
879,-1.4589735918536508,0.14867419376242363,-0.30610456265064073
18355,-1.5164837151031154,0.13274385422780716,-0.30602276505485826
15969,-1.5468810349192477,0.12527544614804542,-0.30595178673812184
6785,-1.4971371915141927,0.13783619216430418,-0.3059161030610991
15324,-1.5198267205470661,0.13188754875874692,-0.305869326015548
3306,-1.4816196312865813,0.1420589906966731,-0.30517791315279125
3009,-1.4792724230374963,0.14268784550764596,-0.30476164726027755
8143,-1.5014843532657987,0.13662112836233087,-0.30474489492270523
9755,-1.3771058885628056,0.17486043279158933,-0.3043825469686047
64,-1.5172207235855673,0.13253347545080973,-0.3043636637233097
2193,-1.4773008272641448,0.14321103879273314,-0.3043171907914251
18879,-1.5169367979200796,0.13260503647102723,-0.30429872051867657
8301,-1.425702941366619,0.15863699338120385,-0.3041250924583414
4216,-1.4942843282500422,0.13852010954908286,-0.3040976546632515
168,-1.4799377321627323,0.1424424382279525,-0.30387919455135837
16005,-1.407272069452815,0.16450280131557768,-0.30358253946887614
13451,-1.4611788926137725,0.14777313945656978,-0.3035598532656974
17490,-1.354298055358869,0.18271574650882283,-0.30313552572182895
18088,-1.354298055358869,0.18271574650882283,-0.30313552572182895
8375,-1.3542980553588695,0.18271574650882264,-0.30313552572182895
11632,-1.354298055358869,0.18271574650882283,-0.3031355257218289
5849,-1.4907550128796299,0.13942497077062507,-0.30294111227999576
16030,-1.5303593766087584,0.1293106537191341,-0.30272545567558723
13819,-1.4559339432110354,0.14921730367837532,-0.30252779553703574
701,-1.4955843566213194,0.13811292464050873,-0.302333015273255
9817,-1.4747337627909423,0.1438001192931342,-0.30227737225055956
9484,-1.3775052144562487,0.17429351845796906,-0.3021017178473261
2665,-1.4998636691573897,0.13697901386696779,-0.3020452341443759
17168,-1.5005851508983556,0.13678636899301458,-0.30173584047031315
7046,-1.5022783970179339,0.13634536342995068,-0.30166545455743143
14725,-1.552393740627109,0.12428174896438475,-0.3015919561487947
8203,-1.5221732264005403,0.1313332218176248,-0.30157823735457884
18118,-1.4637025730452902,0.14687815188117573,-0.30149458823257436
3717,-1.4826840448952976,0.1415477198426475,-0.30116448410787866
10018,-1.3875376212211872,0.17067785413048883,-0.30107923384390806
6473,-1.4155486837397415,0.1613934487872532,-0.30064137531075286
8119,-1.4874107307086621,0.14024746069775296,-0.3004351205735229
7371,-1.3415495647260107,0.1867845154185017,-0.30034609768307613
11642,-1.4228807644064565,0.1590199893980058,-0.3002279780198547
691,-1.4034758540070014,0.16510475934086985,-0.29928887955829564
10607,-1.4870903927417367,0.14031162143375894,-0.29924153071802845
15093,-1.4859048156134926,0.14062702984996453,-0.29919101348394433
13686,-1.4130958554013857,0.16197347884904356,-0.29907089919765295
14071,-1.446106394739496,0.15182319878042103,-0.2990655401202825
9834,-1.3791683746097796,0.17317268130519173,-0.29896377282008835
12380,-1.4529047555729024,0.1498201817502067,-0.29893678589256356
16706,-1.4564353737771483,0.14879119382800277,-0.2988208006074097
2142,-1.4365847123865774,0.15463038479385577,-0.29861416552057285
11297,-1.3551515879682712,0.18146676117041097,-0.2983949303218918
11432,-1.3608432323967825,0.17937128215610634,-0.29799247958654695
16857,-1.3814643687391992,0.1722221420886963,-0.2979272062484901
14044,-1.4777265461495948,0.1428014080056967,-0.29765404223596215
1541,-1.4541157702128231,0.14938807830926798,-0.29760740854322865
4578,-1.4124885284258613,0.16197971123344904,-0.2975344625157198
6706,-1.463186641725262,0.14680250988674798,-0.29745135187095467
7997,-1.5303663783352373,0.12963531825738314,-0.2974309704110764
228,-1.5221145640400815,0.13156391866574804,-0.29736485314237526
14134,-1.4309442019048157,0.15621577433947648,-0.2972403893963127
11818,-1.462977839997705,0.14684431126838002,-0.2970005900143533
17068,-1.47983030039857,0.14222855933480996,-0.29695968169456816
12708,-1.3604995012353485,0.17927906038220595,-0.2967996816248424
7785,-1.4675604398849122,0.1455620686897793,-0.2967649174623282
16127,-1.348759772500242,0.1833608834317836,-0.29628751044095597
16817,-1.42907819614473,0.15668632940327615,-0.2961252922547041
11400,-1.4645855118164495,0.14636802352165554,-0.2960594034232068
12835,-1.434495663001462,0.15500680230007058,-0.295496738211017
12792,-1.4742103045099972,0.14373123494706502,-0.29545926488716295
15600,-1.322404161990331,0.19283572279278507,-0.2952476774838542
7,-1.4300409891676673,0.15630780584619294,-0.2950140285073011
8404,-1.4981795613715942,0.1375286218153683,-0.2949316226112518
4027,-1.422208035261944,0.1586693368316411,-0.29478599696556135
18194,-1.3887014295745754,0.16932893462138487,-0.2946936298646207
15224,-1.4271811359838582,0.15714250917811545,-0.29463099145280663
6002,-1.343299847900429,0.18501403644488934,-0.29459610891919263
12301,-1.3182025960005128,0.1942097561591388,-0.29424913826442406
4373,-1.4397242438028977,0.1533843954253882,-0.29424737622089014
16134,-1.4479888671054921,0.15099026786267183,-0.2942360408343798
3027,-1.4385488100602555,0.15372253134461672,-0.29412640072795926
1972,-1.4510091224963522,0.15011641228183564,-0.2938460420029539
17112,-1.4550904917733274,0.14896149942633866,-0.2936586741851411
10431,-1.4693727677209,0.1450407502691895,-0.29334100079197434
3628,-1.3950722502092732,0.16707114534963072,-0.2932741971272528
7466,-1.4027329249400478,0.1646097342865842,-0.2932558044491876
9517,-1.4202854988300664,0.15913275065411475,-0.29322348156860545
10859,-1.4394039618561771,0.1534266552762215,-0.2931693532169135
18400,-1.4368129547738493,0.1541817500004334,-0.2931335907582105
1898,-1.4128215690504655,0.16141771661752452,-0.29304837323620786
9435,-1.3082212297886209,0.19774848702244813,-0.29304534145135586
9717,-1.3817886878113017,0.17134121034805297,-0.2925487639922573
2746,-1.4478229534052738,0.1509863566794593,-0.2925400353453167
15516,-1.429134110987717,0.1564112415546487,-0.29239335824761054
17213,-1.349145681900207,0.18253276631120258,-0.2923852822565614
15624,-1.375150408791365,0.17351891471430445,-0.29222668587600037
10497,-1.3944262091908743,0.16715510864977973,-0.2921428299198346
17081,-1.4348367885817286,0.15471573980495823,-0.29213447719183194
4746,-1.4190530755835629,0.15941398124987988,-0.2918978244937078
16348,-1.4337469841230945,0.15502091969884102,-0.2917991835463353
9729,-1.3742486320610148,0.17369117038729737,-0.29123364905836713
18948,-1.4283204460896892,0.1565887851618757,-0.2911029064609741
14975,-1.4016717931733451,0.1647258087455412,-0.29093871379157565
11507,-1.355308719669934,0.18009645813015254,-0.29069391832012265
5851,-1.400020287155248,0.16520268499396212,-0.2904246500730949
2168,-1.4072469749443832,0.16292125658700546,-0.2901870220790328
9800,-1.4080625291059499,0.16265969051237195,-0.2900623729952125
6939,-1.318316937995675,0.19330599205928972,-0.2899003312810937
12527,-1.4516151249042633,0.14990878661722398,-0.28981768562338867
4117,-1.4254254148207488,0.15738831727225883,-0.2897263771994493
12889,-1.4089783322476739,0.16235318175846822,-0.28971402904993676
15783,-1.3836326205173668,0.17036342718612302,-0.2893438630320921
9671,-1.301020119577938,0.19969920787748424,-0.2891421775979994
13162,-1.417295032418976,0.15978549630501263,-0.28907893303019677
14759,-1.4193305375989613,0.15916031214112372,-0.28872449097221986
7251,-1.4212596548210232,0.15858075416532771,-0.2885822244693251
1623,-1.3480973936197636,0.18229584551352138,-0.28853276610551437
17138,-1.4545755089798686,0.14913133630695352,-0.28837238343579674
12603,-1.443813439151778,0.15208899962076217,-0.28811175121861504
10400,-1.4114082261202665,0.16151458900992732,-0.2880359246866889
8422,-1.4287851074756626,0.156353616433704,-0.28766111539225386
6651,-1.393217930479356,0.16707606779756756,-0.2869079242140194
7400,-1.3447171383324437,0.18322162228292957,-0.28672795859781536
80,-1.4335214421991878,0.15499567021270105,-0.28647884879427954
1525,-1.4918702809135265,0.13987092027119907,-0.28633308683778047
10220,-1.4100692160973787,0.16184416711407804,-0.2861903662873095
10878,-1.4626082242458927,0.14715321468794448,-0.28574701394935187
3756,-1.2738294663862832,0.20956626609531173,-0.2854991777231959
8017,-1.3833173241217998,0.17009502919434044,-0.2851248375218267
3812,-1.3933105962147418,0.16691243309130907,-0.2846637490900639
17362,-1.3905655825346654,0.1677671056693825,-0.2846084705486078
6106,-1.4023450531884398,0.16412112947133306,-0.28435945489051756
7010,-1.3861417003961034,0.16914192500447464,-0.28429192451349494
18021,-1.399181442728478,0.16506831028927757,-0.28384416694946724
17218,-1.3921969881787317,0.16720137064925172,-0.28341455778878655
4652,-1.3767706116968752,0.17205841746150513,-0.28314493415443354
11780,-1.402473950444687,0.16405056583458125,-0.28308770696823876
9386,-1.2607407480499668,0.21420037076362075,-0.28262401771049367
7717,-1.3715957220905037,0.17368968451291858,-0.2825511001826347
19479,-1.392066965537402,0.16720851470211293,-0.2825226864146987
9787,-1.3513674168989243,0.1804057736228962,-0.28249557352096777
11242,-1.4185882586198575,0.1593179861445501,-0.2821462474509293
251,-1.3820737408748756,0.1703089557318342,-0.2820905139923887
5294,-1.3749173851165766,0.1725813507045987,-0.28199272566319333
17357,-1.3713047868007737,0.1737417598912614,-0.2819277057698916
17258,-1.3999017440835166,0.16480169138201367,-0.2813066159149866
5101,-1.3290713593137353,0.18800064734246216,-0.2812086056408672
16741,-1.2928572094296018,0.20127734402765904,-0.28096224793579855
4532,-1.4011823055429424,0.16441795014513028,-0.2808866574742957
3800,-1.3807616662763575,0.1706684689448435,-0.28084493259178417
2401,-1.3855381151598938,0.1691639416455899,-0.2803884364021551
558,-1.380668454710838,0.17068020457731353,-0.28036368316655036
9399,-1.3562402534923905,0.17857223216454401,-0.2803461732704874
1984,-1.3669719884168043,0.1750440251220764,-0.2802966040823298
19521,-1.3628329767651275,0.17638279187806455,-0.2801466766929048
17611,-1.408016809527881,0.16241640801257187,-0.2800927836164872
9518,-1.301547371260363,0.19781541735934546,-0.2798153449508564
11177,-1.3814759908698644,0.17040443075111972,-0.2795704026265585
14747,-1.3904344815693392,0.16764763395223514,-0.27945398302720936
1197,-1.3615795461444387,0.17674467154375015,-0.2793812135268699
8309,-1.3791815258256879,0.17111339469521422,-0.2793094070209476
17352,-1.3914225186521776,0.1673471676975546,-0.27916923041671343
4184,-1.3868681526332296,0.16873251669397926,-0.27914307813856115
10863,-1.3977665541644326,0.16544590530930184,-0.27913196013684977
7880,-1.3369989714402082,0.1849863382628963,-0.2791085664459623
16584,-1.3588898070079292,0.17758637162274551,-0.2787376184716726
15366,-1.2858145882964491,0.20356742639733652,-0.2786402917287579
11660,-1.3540507769927994,0.17916864347035072,-0.2785426529838848
9274,-1.2705760765575078,0.20944919889773328,-0.2784754635778353
12666,-1.3407994414333038,0.1835819995765622,-0.2780249964227804
17641,-1.2383551743353514,0.22230265120688386,-0.27770254404632955
15614,-1.334199132353758,0.18575264246353454,-0.27698779467473417
950,-1.3938474222623272,0.16665205325372218,-0.27693651526852653
225,-1.2907921639443007,0.20132889615923724,-0.27644609222964495
7294,-1.3602641056417117,0.1770256192103958,-0.2763299409543469
10768,-1.358763033000009,0.1775039462693468,-0.27616166587042773
5692,-1.3908526932697582,0.16756908056785919,-0.2759208426047543
4205,-1.368438746253746,0.1744103504319896,-0.27576827399275367
11202,-1.4646502078016228,0.1481422297768414,-0.27574115433179736
12459,-1.330095578183641,0.18705781359374377,-0.27571814839700703
7974,-1.2574311151408541,0.21410646498654476,-0.2755189402629032
8918,-1.275905083681676,0.20683869072187597,-0.2754114008940875
13639,-1.3498469894793017,0.18037270674917785,-0.2752592274666257
5114,-1.2820091071743467,0.20443124592582185,-0.2749780088021092
9711,-1.2338970216397482,0.22354650137883367,-0.27484331935323714
8897,-1.3736401536410032,0.1727895545997664,-0.2747854487327854
18289,-1.3305667636257859,0.18681093300764418,-0.27465159652896415
11812,-1.2445760926259168,0.2191173090976748,-0.27462957415292083
885,-1.368111353241539,0.1745046080026129,-0.27432534838569655
14698,-1.3472218021556928,0.1811820337836183,-0.2739684126082381
5109,-1.347297383905413,0.18115444227012945,-0.2738926614963723
10777,-1.3372361129100065,0.18447237383255152,-0.27344523857022324
7110,-1.35570607611856,0.17841664330046408,-0.27338770221738823
9340,-1.3329958545249143,0.1858711021542912,-0.2729042444068166
13416,-1.3500375066943098,0.1802294979033081,-0.2727340862545371
747,-1.3725700185545726,0.1731562256848219,-0.27271233676200707
17507,-1.334675434204041,0.18529388116481008,-0.2726866021104522
11947,-1.3254512975454935,0.188415434210429,-0.2724888419245935
3538,-1.3336211631654107,0.1856316382679234,-0.272344102766692
5075,-1.3692205260035744,0.17418949715073703,-0.27233086142220325
13818,-1.3300043861263782,0.1868523659214389,-0.27232894028879034
7719,-1.3332516527015548,0.1857419845601834,-0.2720489119934402
3610,-1.2247091444857428,0.22674057391921154,-0.2717781209792973
9176,-1.3273154522228245,0.1877305949057868,-0.27168103799683263
3040,-1.3249640603558113,0.18851356944966108,-0.2713428749185746
1649,-1.2834158437873944,0.20338264442363382,-0.2712610057768413
12101,-1.3422662820135967,0.18272438682889935,-0.27109119259864695
10869,-1.3306504649871767,0.18654582941661144,-0.2703397071447372
9362,-1.3096400014706426,0.19373126916017186,-0.2699084130668776
5896,-1.309034108925597,0.1939309667587248,-0.26972061239586204
1108,-1.3331481257496465,0.18569363730578375,-0.2696109342196268
1309,-1.3153151588075753,0.19172951909868577,-0.269543858016842
7589,-1.320889769955233,0.18980940219995296,-0.2694479174649222
3517,-1.2044603846501258,0.23482705093839107,-0.26943665920937665
10051,-1.3476394334866237,0.18098747454487704,-0.2692483895150534
11371,-1.2908413357938322,0.2004065421204902,-0.26920264691959006
17052,-1.3397170065783008,0.18353344113956965,-0.2690000836376619
13398,-1.2662159799231556,0.20958346566524777,-0.26880429092901487
1482,-1.365765362853041,0.17539597637750112,-0.26874244667631886
10653,-1.3029407446794052,0.19599544684267053,-0.26850376267354703
16304,-1.2857750808440869,0.20218585870279343,-0.2684168571121697
6415,-1.2721450472750573,0.20723715432633957,-0.2681158004112763
12600,-1.3110389277939023,0.19313012368581114,-0.26804707614684975
18454,-1.2180878366430528,0.22871678983975002,-0.2677668949881171
4039,-1.3192267861393467,0.19030519391671347,-0.267580010715017
8699,-1.311223350310815,0.19304281212156704,-0.2675580593403674
3323,-1.2990246566679924,0.19731854280421746,-0.26754457612264665
14065,-1.2804151675997881,0.20405449002771547,-0.267319832139461
13485,-1.3113894037608074,0.1929636270833804,-0.26704579694983127
13220,-1.3436216567275447,0.18231361195385629,-0.26692309885801985
17391,-1.3027139436165547,0.19597114287338396,-0.26684311526450855
13446,-1.3095336465567733,0.19358923769934275,-0.2666923456056946
1911,-1.1904465267358568,0.24023397434483212,-0.2663727129280424
10855,-1.3308984136754844,0.18641131819993426,-0.26636350526459435
17392,-1.3295536508072157,0.1868566970180676,-0.26572696426903636
3073,-1.1839119277919725,0.24294754020178527,-0.26569419689613893
5249,-1.31075010204338,0.19312653723491932,-0.2652686535345083
3416,-1.3164135952506841,0.19120713447628324,-0.2651965702288003
12254,-1.3235255789003537,0.18884006085531915,-0.2649522811866841
12160,-1.3468005447407452,0.18141660029676024,-0.26491154209879075
16809,-1.2892110077529664,0.20064585457483802,-0.2648410490479171
19367,-1.2393399838450538,0.21947369229246474,-0.2643781464725323
6720,-1.3136635292363688,0.19212492833067366,-0.2643100680350202
16512,-1.3864839346080997,0.17002427654177,-0.26422317623847763
8353,-1.2476336445567786,0.21610431327718946,-0.2636255993391224
14802,-1.299210220279526,0.1970567694855061,-0.2635916589049621
19138,-1.264541782269792,0.2096099698813715,-0.2635249272136368
10764,-1.2905105849958889,0.20011003807373381,-0.263521262385418
8980,-1.3072642303628252,0.19428225863006754,-0.26333004051370484
7164,-1.3228596992231905,0.18908762565965892,-0.2632758999022642
7375,-1.2922801583518682,0.19946827562392877,-0.2631587340474406
11467,-1.2319730757479246,0.2222393093511581,-0.26313388526286824
11666,-1.1788281029593723,0.24463281126659472,-0.2631142646530133
16234,-1.300308580096833,0.19666148229909475,-0.2630163156330961
1035,-1.2831698439804304,0.202706978113506,-0.2629904486055461
17308,-1.2193600731189997,0.22730892464363198,-0.26277744077266746
16281,-1.296579914956693,0.19794181447994066,-0.26249673856278727
7615,-1.2192734363702196,0.2272912549194836,-0.26244465729433014
3307,-1.3207880792671696,0.18978992517603996,-0.2623690558851544
18262,-1.2870973109992039,0.20126276949317218,-0.2621670378520438
13528,-1.3123499589432381,0.1925768703574711,-0.2619964308477534
12415,-1.295226538714979,0.1984007057284632,-0.26197985416237957
9910,-1.2781372199634078,0.20446197608994038,-0.2618744299779053
15609,-1.2648546791400122,0.20934195518857573,-0.26181762340849835
5072,-1.2824120509850268,0.20291709508497965,-0.2617755613238853
15084,-1.3286954664371387,0.1872816068535518,-0.2616708007762857
19477,-1.2438521718093516,0.21732760686666708,-0.2615292289472557
13342,-1.2762151154232575,0.20513434593934451,-0.2614315093946369
15931,-1.3071080739295808,0.1943400225945623,-0.26120482826631797
10169,-1.284348371411654,0.20219597433565717,-0.26101095783434636
12525,-1.279100218927423,0.20405822720487668,-0.2607120432494948
6618,-1.2872238255596622,0.20116724737802186,-0.2605600011978296
16834,-1.1632468130874503,0.2510082842999177,-0.26052486346612314
2731,-1.2756225708792892,0.20528092930859423,-0.2600341747122732
3,-1.272960473751664,0.20623916328765224,-0.2599351710231562
11502,-1.2385995214669179,0.2191840848842892,-0.25979778861659786
10123,-1.264428925412075,0.2093539963040981,-0.25977042015583784
3951,-1.1818027004034897,0.24264335032765494,-0.25969372343978686
7082,-1.2976261493711763,0.19756257352242815,-0.25968497539382895
7485,-1.221998348479052,0.22577022751640585,-0.25966255865012006
5288,-1.2607789855983123,0.21069422136877064,-0.2595569307033479
4798,-1.2558376946888004,0.21253906233676906,-0.2594889690304131
14049,-1.2679936804316132,0.20802599278299355,-0.25947515158770873
5552,-1.2179771196681237,0.2273602329233883,-0.25936602515982793
12685,-1.2818720777045045,0.20302644124785235,-0.2593020211351123
10075,-1.1859625050194034,0.24075336535635208,-0.25921554511260436
12845,-1.2816942205684474,0.20308020968970666,-0.2588089924659921
8448,-1.2744792048174847,0.20564127685046504,-0.25861528674564654
8291,-1.2284560039536092,0.2230433401441978,-0.25856754618005345
13054,-1.2607472433368705,0.21064223089231499,-0.25853244785135243
12950,-1.2469189824627693,0.21583189314744372,-0.2583824578151423
16080,-1.2443723776268645,0.21680531429735145,-0.25836539518015067
3069,-1.2879776678217045,0.2008834871348356,-0.2582053328061269
14548,-1.2995051501135302,0.19696368630987865,-0.2581005597882149
11553,-1.206925750613626,0.23171104550143637,-0.2580911790020799
9748,-1.2715309701302921,0.2066787561302299,-0.2578804276930649
7918,-1.2533570448395064,0.2133553527015437,-0.2578491625372779
3406,-1.264710763463681,0.20914734091035617,-0.2577839140349826
6667,-1.2487101456731102,0.2150967460730451,-0.2576904844901184
2508,-1.2572557066062864,0.21187325044622496,-0.257386489628716
2912,-1.264816973367686,0.20908811085199475,-0.25725230564465
2871,-1.215056792827263,0.2282596701870196,-0.2572282688196914
13830,-1.2826867876870682,0.2027238066000755,-0.2571832198035697
10983,-1.2262340930534295,0.2237279030482455,-0.2568081220350029
8454,-1.1779672460566137,0.24376661853981915,-0.2567647337826398
12277,-1.2817459930127242,0.20305641477313252,-0.2565054425881772
6963,-1.2536384428809777,0.21316069669022475,-0.2562866177235027
2217,-1.2649891354197842,0.20899304155238066,-0.2561450303801676
5936,-1.184871412049054,0.2405638040117029,-0.25540768168676115
8406,-1.1453737814708136,0.25794585778035933,-0.25512901401252486
13624,-1.2422269087930322,0.21738018857630628,-0.2550732274063615
