sample	type	series
769_NC_S1	Normal liver	GSE89775
785_NC_S2	Normal liver	GSE89775
791_NC_S3	Normal liver	GSE89775
Sample_RNAseq_FT10	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT11	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT12	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT13	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT14	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT15	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT6	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT7	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT8	Hepatoblastoma liver	GSE89775
Sample_RNAseq_FT9	Hepatoblastoma liver	GSE89775
