sample	type	series
N175	Normal liver	GSE151347
N253	Normal liver	GSE151347
N254	Normal liver	GSE151347
N227	Normal liver	GSE151347
N528	Normal liver	GSE151347
N667	Normal liver	GSE151347
N734	Normal liver	GSE151347
N744	Normal liver	GSE151347
N843	Normal liver	GSE151347
N690	Normal liver	GSE151347
N794	Normal liver	GSE151347
T254	Hepatoblastoma	GSE151347
T734	Hepatoblastoma	GSE151347
T175	Hepatoblastoma	GSE151347
T744	Hepatoblastoma	GSE151347
T843	Hepatoblastoma	GSE151347
T690	Hepatoblastoma	GSE151347
T794	Hepatoblastoma	GSE151347
T253	Hepatoblastoma	GSE151347
T528	Hepatoblastoma	GSE151347
T227	Hepatoblastoma	GSE151347
T667	Hepatoblastoma	GSE151347
